group,arm,metric,level_median,paired_delta_median,positive_starts,finite_starts
full,BASE,年化,0.45221750000000005,0.0,0,14
full,BASE,最大回撤,0.46213550000000003,0.0,0,14
full,BASE,Sharpe,1.016263,0.0,0,14
full,BASE,Calmar,0.9675119999999999,0.0,0,14
full,BASE,平均仓位,1.575008,0.0,0,14
full,BASE,年均换手,6.367396,0.0,0,14
full,BASE,持仓数中位,7.0,0.0,0,14
full,BASE,单票权重中位,0.6282209999999999,0.0,0,14
full,BASE,单票权重P90,0.7294065000000001,0.0,0,14
full,BASE,单票权重最大,0.9178605,0.0,0,14
full,BASE,前三权重中位,1.419632,0.0,0,14
full,BASE,单票超60%天数占比,0.697838,0.0,0,14
full,BASE,滚动3年年化中位,0.469468,0.0,0,14
full,BASE,滚动3年回撤中位,0.4314525,0.0,0,14
full,BASE,滚动3年Calmar中位,1.155361,0.0,0,14
full,BASE,滚动3年Sharpe中位,1.008496,0.0,0,14
full,BASE,滚动3年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年年化中位,0.47825300000000004,0.0,0,14
full,BASE,滚动5年年化P25,0.41392799999999996,0.0,0,14
full,BASE,滚动5年年化最差,0.2594035,0.0,0,14
full,BASE,滚动5年回撤中位,0.44405300000000003,0.0,0,14
full,BASE,滚动5年Calmar中位,1.111793,0.0,0,14
full,BASE,滚动5年Sharpe中位,1.0437015,0.0,0,14
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年窗口数,102.0,0.0,0,14
full,BASE,互不重叠5年块中位,0.6085389999999999,0.0,0,14
full,BASE,滚动10年年化中位,0.4673345,0.0,0,14
full,BASE,滚动10年窗口数,42.0,0.0,0,14
full,BASE,逐年收益中位,0.39819550000000004,0.0,0,14
full,BASE,逐年为正比例,0.8,0.0,0,14
full,BASE,逐年最差,-0.1660505,0.0,0,14
full,BASE,完整自然年数,12.5,0.0,0,14
full,BASE,强平次数,0.0,0.0,0,14
full,BASE,最低担保比例,1.872982,0.0,0,14
full,BASE,最低股票同跌缓冲,0.3059185,0.0,0,14
full,BASE,最低总资产冲击缓冲,0.3059185,0.0,0,14
full,BASE,rf覆盖率,1.0,0.0,0,14
full,BASE,年化_交易日口径,0.45400450000000003,0.0,0,14
full,BASE,最低担保比例日,20200323.0,0.0,0,14
full,BASE,最低股票同跌缓冲日,20200323.0,0.0,0,14
full,BASE,滚动5年年化最差窗口末日,20181228.0,0.0,0,14
full,BASE,最大回撤起日,20150427.0,0.0,0,14
full,BASE,最大回撤止日,20160530.0,0.0,0,14
full,BASE,末次净值日,20260828.0,0.0,0,14
full,BASE,最低现金,0.0,0.0,0,14
full,BASE,负现金日数,0.0,0.0,0,14
full,BASE,最低现金日,20145812.5,0.0,0,14
full,BASE,滚动5年窗口年化,,0.0,0,14
full,REPEAT,年化,0.4306235,-0.022138999999999964,2,14
full,REPEAT,最大回撤,0.466903,0.002307500000000018,9,14
full,REPEAT,Sharpe,0.9802925,-0.0342289999999999,2,14
full,REPEAT,Calmar,0.9124135,-0.05018800000000001,2,14
full,REPEAT,平均仓位,1.5743170000000002,0.0003455000000001096,7,14
full,REPEAT,年均换手,6.4119765,0.17287300000000005,10,14
