group,arm,start,swap_sales,distinct_targets,repeated_target_days,multi_source_targets,extra_source_sales,maximum_sources_per_target,gross_swap_sales,extra_gross_swap_sales,extra_sales_for_gap_within_one_percent_of_tranche
full,BASE,2009-11-01,227,227,0,0,0,1,1096385469.6,0,0
full,BASE,2010-05-01,276,276,0,0,0,1,1688701953.8,0,0
full,BASE,2010-11-01,225,225,0,0,0,1,533279526.0,0,0
full,BASE,2011-05-01,229,229,0,0,0,1,649920964.4000001,0,0
full,BASE,2011-11-01,218,218,0,0,0,1,1137046037.8,0,0
full,BASE,2012-05-01,235,235,0,0,0,1,694201225.8,0,0
full,BASE,2012-11-01,218,218,0,0,0,1,934527715.8,0,0
full,BASE,2013-05-01,281,281,0,0,0,1,998898640.9200001,0,0
full,BASE,2013-11-01,257,257,0,0,0,1,1117008501.6,0,0
full,BASE,2014-05-01,253,253,0,0,0,1,1449463093.2,0,0
full,BASE,2014-11-01,211,211,0,0,0,1,1550736652.08,0,0
full,BASE,2015-05-01,194,194,0,0,0,1,828991774.6,0,0
full,BASE,2015-11-01,177,177,0,0,0,1,788563054.4,0,0
full,BASE,2016-05-01,197,197,0,0,0,1,966924308.16,0,0
full,REPEAT,2009-11-01,241,191,44,44,50,4,1025564944.0,177732589.0,21
full,REPEAT,2010-05-01,260,207,46,46,53,3,1237257577.8,258930035.0,25
full,REPEAT,2010-11-01,228,183,37,37,45,4,611564565.0,102589222.0,17
full,REPEAT,2011-05-01,274,214,47,47,60,6,1374152503.3999999,213856620.0,15
full,REPEAT,2011-11-01,255,194,52,52,61,4,778694191.6,186366167.0,27
full,REPEAT,2012-05-01,260,203,52,52,57,3,739750560.8,171378958.0,24
full,REPEAT,2012-11-01,240,196,38,38,44,4,883745753.4000001,149007270.0,18
full,REPEAT,2013-05-01,301,238,52,52,63,5,853725333.0,143991527.0,23
full,REPEAT,2013-11-01,247,197,45,45,50,3,812642118.4,129027159.0,24
full,REPEAT,2014-05-01,256,200,46,46,56,4,1284858105.4,216816581.0,25
full,REPEAT,2014-11-01,247,197,42,42,50,4,1352715997.44,230375501.0,21
full,REPEAT,2015-05-01,202,155,41,41,47,4,871833308.72,163045362.0,23
full,REPEAT,2015-11-01,206,157,44,44,49,4,910168244.6800001,191181805.0,26
full,REPEAT,2016-05-01,202,154,37,37,48,5,828189267.96,118810975.0,21
A,BASE,2009-11-01,233,233,0,0,0,1,1698684407.68,0,0
A,BASE,2010-05-01,214,214,0,0,0,1,1809296583.48,0,0
A,BASE,2010-11-01,232,232,0,0,0,1,1405445284.56,0,0
A,BASE,2011-05-01,229,229,0,0,0,1,1502673439.72,0,0
A,BASE,2011-11-01,223,223,0,0,0,1,1618066582.56,0,0
A,BASE,2012-05-01,236,236,0,0,0,1,1603525365.44,0,0
A,BASE,2012-11-01,232,232,0,0,0,1,2433706697.0,0,0
A,BASE,2013-05-01,202,202,0,0,0,1,1476257072.08,0,0
A,BASE,2013-11-01,188,188,0,0,0,1,1387758919.74,0,0
A,BASE,2014-05-01,179,179,0,0,0,1,2197873052.24,0,0
A,BASE,2014-11-01,184,184,0,0,0,1,1708247293.4,0,0
A,BASE,2015-05-01,168,168,0,0,0,1,647994598.56,0,0
A,BASE,2015-11-01,163,163,0,0,0,1,754998633.6,0,0
A,BASE,2016-05-01,150,150,0,0,0,1,1177743701.56,0,0
A,REPEAT,2009-11-01,243,203,39,39,40,3,2065157981.72,315071555.32,22
A,REPEAT,2010-05-01,252,214,35,35,38,3,1936876178.44,291565040.84000003,21
A,REPEAT,2010-11-01,239,203,32,32,36,4,1457873958.6399999,232516540.24,20
A,REPEAT,2011-05-01,238,204,31,31,34,3,1529053497.76,241340859.16,17
A,REPEAT,2011-11-01,240,199,35,35,41,4,1845313333.44,311423903.84000003,21
A,REPEAT,2012-05-01,251,211,33,33,40,4,2053040878.12,297125335.92,19
A,REPEAT,2012-11-01,254,217,32,32,37,3,3213430607.52,484091202.0,16
A,REPEAT,2013-05-01,224,193,27,27,31,4,1613674966.6,193712708.8,13
A,REPEAT,2013-11-01,192,162,25,25,30,3,1654887066.68,227414175.28,13
A,REPEAT,2014-05-01,211,182,25,25,29,3,2506955532.6800003,435463129.68,14
A,REPEAT,2014-11-01,198,169,26,26,29,3,1875591440.8400002,292658641.0,14
A,REPEAT,2015-05-01,174,151,20,20,23,4,755263474.28,85442527.48,14
A,REPEAT,2015-11-01,180,152,26,26,28,3,976491865.6800001,178942168.88,16
A,REPEAT,2016-05-01,162,143,18,18,19,3,1222015697.28,149274746.07999998,9
U,BASE,2009-11-01,217,217,0,0,0,1,1661752696.3999999,0,0
U,BASE,2010-05-01,201,201,0,0,0,1,1778729066.68,0,0
U,BASE,2010-11-01,199,199,0,0,0,1,952768479.0,0,0
U,BASE,2011-05-01,197,197,0,0,0,1,1214409384.32,0,0
