sequence,signal_date,exec_date,target,source,shares,price,candidate_pv,source_pv,funds_before,funds_after,buy_tranche,sell_tranche,gain_source
1,2013-08-06,2013-08-07,002024,601398,24100.0,3.89,0.7797,0.9903,0.0,93691.81311,109664.70712274848,109664.70712274848,False
2,2013-08-06,2013-08-07,002024,600066,6200,17.53,0.7797,0.9434,93691.81311,202311.51465,109664.70712274848,109664.70712274848,False
1,2013-08-29,2013-08-30,000338,600066,6100,17.3,0.4783,0.9224,0.0,105465.6267,106245.58444675177,106245.58444675177,False
2,2013-08-29,2013-08-30,000338,600585,7000,15.14,0.4783,0.7119,105465.6267,211380.9789,106245.58444675177,106245.58444675177,False
1,2013-10-22,2013-10-23,601088,002024,10800,11.36,0.5486,1.427,0.0,122613.16032,123789.91389738029,123789.91389738029,False
2,2013-10-22,2013-10-23,601088,600660,14400,8.54,0.5486,0.7215,122613.16032,244794.14495999998,123789.91389738029,123789.91389738029,False
1,2013-10-24,2013-10-25,600309,002024,5100.0,10.49,0.6696,1.2798,0.0,53466.36561,123141.18025593925,123141.18025593925,False
2,2013-10-24,2013-10-25,600309,601988,200.0,2.78,0.6696,1.0168,53466.36561,54017.08205,123141.18025593925,123141.18025593925,False
1,2014-04-21,2014-04-22,000338,601988,500.0,2.63,0.5062,0.8623,0.0,1309.32935,117179.21298924019,117179.21298924019,False
2,2014-04-21,2014-04-22,000338,600660,14200,8.21,0.5062,0.7311,1309.32935,117820.21433000002,117179.21298924019,117179.21298924019,False
1,2014-04-29,2014-04-30,000333,601988,300.0,2.6,0.49,0.8656,0.0,774.6022,126630.29795252543,126630.29795252543,False
2,2014-04-29,2014-04-30,000333,600897,8600,14.71,0.49,0.8394,774.6022,127203.43354000001,126630.29795252543,126630.29795252543,False
1,2014-05-12,2014-05-13,601088,600897,800.0,14.69,0.4326,0.8557,0.0,11741.00648,124369.83990779321,124369.83990779321,False
2,2014-05-12,2014-05-13,601088,000651,4200,29.44,0.4326,0.7284,11741.00648,135313.58120000002,124369.83990779321,124369.83990779321,False
1,2014-06-25,2014-06-26,600188,601398,100.0,3.39,0.5866,0.8348,24149.64492192126,24478.238031921257,124982.71499070179,124982.71499070179,False
2,2014-06-25,2014-06-26,600188,601939,400.0,4.11,0.5866,0.8298,24478.238031921257,26116.399591921258,124982.71499070179,124982.71499070179,False
3,2014-06-25,2014-06-26,600188,000651,4200,29.4,0.5866,0.7405,26116.399591921258,149521.07679192128,124982.71499070179,124982.71499070179,False
1,2015-01-19,2015-01-20,000651,601288,200.0,3.57,0.8435,1.1947,0.0,708.63586,198793.45242816128,198793.45242816128,False
2,2015-01-19,2015-01-20,000651,601398,500.0,4.64,0.8435,1.0562,708.63586,3022.45266,198793.45242816128,198793.45242816128,False
1,2015-04-29,2015-04-30,000792,600031,1400.0,10.38,0.7915,1.1904,0.0,14519.588680000003,328695.6642714075,328695.6642714075,False
2,2015-04-29,2015-04-30,000792,000338,5000.0,31.51,0.7915,1.0472,14519.588680000003,171848.48318,328695.6642714075,328695.6642714075,False
