group,arm,start,end,final_equity,total_return_pct,cagr_pct,mdd_pct,buys,sells,average_holding_days
full,BASE,2009-11-01,2026-08-28,567088527.9074972,18802.950930249906,36.57075625379389,48.276739349508766,2193,1075,144.47368421052633
full,BASE,2011-11-01,2026-08-28,576895780.9197335,19129.859363991116,42.58903296668408,47.10105263689186,2035,736,149.015873015873
full,REPEAT,2009-11-01,2026-08-28,503252473.9151958,16675.08246383986,35.60444721849989,48.051814529145986,2179,1061,133.01470588235293
full,REPEAT,2011-11-01,2026-08-28,288872418.1842136,9529.080606140453,36.08821925602501,48.69663937600538,2124,759,128.1381818181818
A,BASE,2009-11-01,2026-08-28,1143811564.4218397,38027.05214739466,42.38844845210225,48.97067831231173,2355,849,141.3483606557377
A,BASE,2011-11-01,2026-08-28,1064965320.0654002,35398.84400218001,48.60985358304906,49.06863505953333,2225,701,136.47791164658634
A,REPEAT,2009-11-01,2026-08-28,1260191205.8531377,41906.37352843792,43.211160360585495,49.566960994709554,2396,907,133.7984496124031
A,REPEAT,2011-11-01,2026-08-28,1071891067.0779912,35629.702235933044,48.67485717406974,49.562239105741625,2258,708,132.68774703557312
U,BASE,2009-11-01,2026-08-28,1181811271.1145682,39293.70903715227,42.66540785143842,46.88095888734532,2217,838,141.52988047808765
U,BASE,2011-11-01,2026-08-28,820194117.1757494,27239.803905858316,46.01447838470784,47.76634856753527,2066,668,139.9047619047619
U,REPEAT,2009-11-01,2026-08-28,820121998.1093194,27237.399936977316,39.599709332572864,46.74831852833897,2179,877,144.862660944206
U,REPEAT,2011-11-01,2026-08-28,1081635607.7865174,35954.520259550576,48.76565724043927,47.87261851268275,2236,745,127.40839694656489
