code,name,market,V_old,V_new,dV_pct,price,PV_old,PV_new,status_old,status_new,method
03888,金山软件,HK,27.915,27.915,0.0,24.38,0.8733655740641232,0.8733655740641232,active,active,ROIC·增长
00700,腾讯控股,HK,457.79999999999995,457.79999999999995,0.0,428.4,0.9357798165137615,0.9357798165137615,active,active,ROIC·增长
09992,泡泡玛特,HK,25.630000000000003,25.630000000000003,0.0,153.0,5.969566913772922,5.969566913772922,active,active,ROIC·增长
09618,京东集团,HK,48.8,48.8,0.0,106.2,2.1762295081967213,2.1762295081967213,active,active,ROIC·增长
09988,阿里巴巴,HK,46.565,46.565,0.0,107.5,2.3086008804896383,2.3086008804896383,active,active,ROIC·增长
03690,美团,HK,,,,75.1,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
06862,海底捞,HK,5.765000000000001,5.765000000000001,0.0,10.06,1.7450130095403296,1.7450130095403296,active,active,ROIC·增长
TSM,台积电,US,311.7,311.7,0.0,433.24,1.3899262111004171,1.3899262111004171,active,active,ROIC·增长
ADBE,Adobe,US,225.33,225.33,0.0,252.23,1.1193804642080503,1.1193804642080503,active,active,ROIC·增长
PDD,拼多多,US,139.85500000000002,139.85500000000002,0.0,77.81,0.5563619463015266,0.5563619463015266,active,active,ROIC·增长
MU,美光科技,US,199.8,198.41,-0.6956956956957083,975.26,4.881181181181181,4.9153772491305885,active,active,ROIC·增长
NVDA,英伟达,US,71.99000000000001,71.775,-0.29865259063759364,218.29,3.0322266981525208,3.0413096482061994,active,active,ROIC·增长
ASML,阿斯麦,US,409.855,409.905,0.012199436386017837,1698.3,4.143660562881995,4.143155121308596,active,active,ROIC·增长
GOOGL,谷歌-A,US,219.58499999999998,219.54000000000002,-0.0204932030876237,338.5,1.5415442767037824,1.5418602532568095,active,active,ROIC·增长
AAPL,苹果,US,149.85500000000002,150.18,0.21687631376996475,332.27,2.217276700810783,2.2124783593021706,active,active,ROIC·增长
DIS,迪士尼,US,37.83,37.864999999999995,0.09251916468411281,106.55,2.81654771345493,2.813944275716361,active,active,ROIC·零增长
UBER,优步,US,38.400000000000006,38.965,1.4713541666666607,71.67,1.8664062499999998,1.8393430001283202,active,active,ROIC·增长
GLW,康宁,US,21.700000000000003,21.700000000000003,0.0,166.4,7.668202764976958,7.668202764976958,active,active,ROIC·增长
MSFT,微软,US,264.21,283.03,7.123121759206685,495.63,1.8758941750879983,1.7511571211532349,active,active,ROIC·增长
META,Meta Platforms,US,576.8399999999999,566.23,-1.839331530407029,648.03,1.123413771583108,1.1444642636384508,active,active,ROIC·增长
005930,三星电子,KR,,,,259500.0,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
000660,SK海力士,KR,,,,1812000.0,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
BRK.B,伯克希尔哈撒韦,US,417.1,417.1,0.0,510.37,1.2236154399424597,1.2236154399424597,active,active,隐含PB（金融资本型，ROIC 不适用）
AMD,AMD,US,17.39,17.36,-0.17251293847039273,516.13,29.679700977573315,29.73099078341014,active,active,ROIC·零增长
SPCX,SpaceX,US,,,,151.21,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
TSLA,特斯拉,US,32.945,33.245000000000005,0.9106085900743688,365.44,11.092426771892548,10.992329673635131,active,active,ROIC·增长
INTC,英特尔,US,,,,102.94,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
00267,中信股份,HK,18.0,18.0,0.0,13.73,0.7627777777777778,0.7627777777777778,active,active,隐含PB（金融资本型，ROIC 不适用）
00316,东方海外国际,HK,166.31,166.31,0.0,148.9,0.8953159761890446,0.8953159761890446,active,active,ROIC·增长
ORCL,甲骨文,US,,,,150.28,,,unvaluable_pending_input,unvaluable_pending_input,无法估值
