cohort,arm,method,horizon,signals,complete,codes,missing,median,mean,positive_fraction,median_of_code_medians
current_rank1_rerank,BASE,daily,250,3038,2797,60,241,0.2417175123890305,0.2727318003494855,0.7325706113693242,0.2185140972614208
current_rank1_rerank,BASE,daily,750,3038,2285,47,753,0.8722310851449286,0.8635525838827539,0.8297592997811816,0.8004826529614651
current_rank1_rerank,BASE,ma60_episode,250,414,385,60,29,0.26098074525755166,0.2805692881090417,0.7688311688311689,0.24203269799999477
current_rank1_rerank,BASE,ma60_episode,750,414,295,47,119,0.800404019961978,0.8467379613518475,0.8338983050847457,0.7228438284271999
current_rank1_rerank,BASE,ma60_nonoverlap,250,170,157,60,13,0.18598979193706322,0.24135858908664393,0.732484076433121,0.19261992945481693
current_rank1_rerank,BASE,ma60_nonoverlap,750,99,69,47,30,0.709196701678912,0.861299272941354,0.8115942028985508,0.62210590429431
current_rank1_rerank,BASE,stop_episode,250,171,161,60,10,0.12976640048711485,0.2597218777302955,0.6956521739130435,0.19273043663063893
current_rank1_rerank,BASE,stop_episode,750,171,133,47,38,0.6573212202886931,0.8471519935022376,0.8421052631578947,0.7950024261357156
current_rank1_rerank,BOTH1,daily,250,2900,2661,62,239,0.23400094921689596,0.26501121942391226,0.7399473881999249,0.1743541924499567
current_rank1_rerank,BOTH1,daily,750,2900,2150,48,750,0.874590627100383,0.8880777927781746,0.8395348837209302,0.8124001643248093
current_rank1_rerank,BOTH1,ma60_episode,250,381,351,62,30,0.24848221360803535,0.25846414937440754,0.7663817663817664,0.22035850735637968
current_rank1_rerank,BOTH1,ma60_episode,750,381,259,48,122,0.7888995769089764,0.8570348453816465,0.8301158301158301,0.7423376444672258
current_rank1_rerank,BOTH1,ma60_nonoverlap,250,175,157,62,18,0.1678951307950245,0.21583368403930792,0.732484076433121,0.19530335502703977
current_rank1_rerank,BOTH1,ma60_nonoverlap,750,104,71,48,33,0.7495191139117374,0.896220638864125,0.8309859154929577,0.6693763912135129
current_rank1_rerank,BOTH1,stop_episode,250,150,140,62,10,0.14790637881550095,0.25089737806921086,0.7214285714285714,0.17744312025653108
current_rank1_rerank,BOTH1,stop_episode,750,150,114,48,36,0.6244781885271967,0.810637755287349,0.8157894736842105,0.6645124480403839
