cohort,arm,method,horizon,code,signal_date,exec_date,end_date,break_date,pv,forward_return,complete
old_rank1_filter,BASE,daily,250,000001,2024-08-28,2024-08-29,2025-09-10,,0.5962,0.22250423133179065,True
old_rank1_filter,BASE,daily,250,000001,2024-12-16,2024-12-17,2025-12-26,,0.6470,0.053249211955145315,True
old_rank1_filter,BASE,daily,250,000001,2024-12-17,2024-12-18,2025-12-29,,0.6447,0.044206879330138005,True
old_rank1_filter,BASE,daily,250,000001,2024-12-30,2024-12-31,2026-01-13,,0.6682,0.03164956047917511,True
old_rank1_filter,BASE,daily,250,000001,2024-12-31,2025-01-02,2026-01-14,,0.5981,0.0458917620877779,True
old_rank1_filter,BASE,daily,250,000001,2026-04-14,2026-04-15,,,0.7154,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-15,2026-04-16,,,0.7179,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-16,2026-04-17,,,0.7103,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-20,2026-04-21,,,0.7083,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-27,2026-04-28,,,0.7288,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-28,2026-04-29,,,0.7340,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-29,2026-04-30,,,0.7378,,False
old_rank1_filter,BASE,daily,250,000001,2026-04-30,2026-05-06,,,0.7224,,False
old_rank1_filter,BASE,daily,250,000001,2026-05-06,2026-05-07,,,0.7143,,False
old_rank1_filter,BASE,daily,250,000001,2026-05-07,2026-05-08,,,0.7149,,False
old_rank1_filter,BASE,daily,250,000001,2026-05-08,2026-05-11,,,0.7105,,False
old_rank1_filter,BASE,ma60_episode,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,0.5962,0.22250423133179065,True
old_rank1_filter,BASE,ma60_episode,250,000001,2024-12-16,2024-12-17,2025-12-26,2025-01-02,0.6470,0.053249211955145315,True
old_rank1_filter,BASE,ma60_episode,250,000001,2026-04-14,2026-04-15,,2026-05-15,0.7154,,False
old_rank1_filter,BASE,ma60_nonoverlap,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,0.5962,0.22250423133179065,True
old_rank1_filter,BASE,ma60_nonoverlap,250,000001,2026-04-14,2026-04-15,,2026-05-15,0.7154,,False
old_rank1_filter,BASE,stop_episode,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,0.5962,0.22250423133179065,True
old_rank1_filter,BASE,stop_episode,250,000001,2024-12-16,2024-12-17,2025-12-26,2025-01-02,0.6470,0.053249211955145315,True
old_rank1_filter,BASE,stop_episode,250,000001,2026-04-14,2026-04-15,,2026-05-18,0.7154,,False
old_rank1_filter,BASE,daily,750,000001,2024-08-28,2024-08-29,,,0.5962,,False
