cohort,arm,method,horizon,code,n,median
current_rank1_rerank,BASE,daily,250,000001,13,0.16373614812729542
current_rank1_rerank,BASE,daily,250,000022,1,0.7443181818181817
current_rank1_rerank,BASE,daily,250,000333,10,0.8437480608116954
current_rank1_rerank,BASE,daily,250,000338,260,0.09989950176204954
current_rank1_rerank,BASE,daily,250,000568,4,0.32199146879313856
current_rank1_rerank,BASE,daily,250,000651,228,0.2209520594556047
current_rank1_rerank,BASE,daily,250,000792,85,-0.23138319689733367
current_rank1_rerank,BASE,daily,250,000858,3,0.42617755913380395
current_rank1_rerank,BASE,daily,250,000933,230,-0.04807942544846888
current_rank1_rerank,BASE,daily,250,002001,14,-0.2679148627173292
current_rank1_rerank,BASE,daily,250,002128,353,0.33834045429375714
current_rank1_rerank,BASE,daily,250,002152,24,0.44930488141350744
current_rank1_rerank,BASE,daily,250,002236,4,0.16351354484601666
current_rank1_rerank,BASE,daily,250,002304,51,0.5810125498847978
current_rank1_rerank,BASE,daily,250,002466,146,0.5071768491496694
current_rank1_rerank,BASE,daily,250,002532,6,0.47203005121981867
current_rank1_rerank,BASE,daily,250,002714,6,0.6735855254095272
current_rank1_rerank,BASE,daily,250,002833,8,0.21607613506723689
current_rank1_rerank,BASE,daily,250,002841,4,0.2751527166044937
current_rank1_rerank,BASE,daily,250,300059,2,0.9887727168921628
current_rank1_rerank,BASE,daily,250,600000,11,-0.17100123536678635
current_rank1_rerank,BASE,daily,250,600009,1,1.0710910679250452
current_rank1_rerank,BASE,daily,250,600015,1,0.18460966542750912
current_rank1_rerank,BASE,daily,250,600016,5,-0.12655201528685056
current_rank1_rerank,BASE,daily,250,600031,17,-0.18115495491666833
current_rank1_rerank,BASE,daily,250,600036,2,0.43220299074653423
current_rank1_rerank,BASE,daily,250,600066,45,0.39724853202034205
current_rank1_rerank,BASE,daily,250,600176,16,0.2910454165890396
current_rank1_rerank,BASE,daily,250,600188,12,-0.02062431166528994
current_rank1_rerank,BASE,daily,250,600309,82,0.5668334362830981
current_rank1_rerank,BASE,daily,250,600426,2,0.7933238479156953
current_rank1_rerank,BASE,daily,250,600519,3,0.5123465225781778
current_rank1_rerank,BASE,daily,250,600566,4,-0.20365205309352669
current_rank1_rerank,BASE,daily,250,600585,224,0.07199190701469182
current_rank1_rerank,BASE,daily,250,600660,30,0.07869894238051323
current_rank1_rerank,BASE,daily,250,600750,1,0.3052891770077564
current_rank1_rerank,BASE,daily,250,600897,23,-0.08497267214416337
current_rank1_rerank,BASE,daily,250,600919,9,0.1958267896398358
current_rank1_rerank,BASE,daily,250,600938,93,0.4116320873509951
current_rank1_rerank,BASE,daily,250,600970,1,0.1021106798656839
current_rank1_rerank,BASE,daily,250,601009,30,0.14069777472943534
current_rank1_rerank,BASE,daily,250,601077,5,-0.022388211382113887
current_rank1_rerank,BASE,daily,250,601088,312,0.41543595327078664
current_rank1_rerank,BASE,daily,250,601166,17,0.17464449732681486
current_rank1_rerank,BASE,daily,250,601169,16,0.0302581351579696
current_rank1_rerank,BASE,daily,250,601187,7,0.303447126336426
current_rank1_rerank,BASE,daily,250,601225,67,0.38155979935448725
current_rank1_rerank,BASE,daily,250,601229,25,0.4665006930035387
current_rank1_rerank,BASE,daily,250,601288,20,0.3077322673831391
current_rank1_rerank,BASE,daily,250,601328,99,0.11153601615678066
current_rank1_rerank,BASE,daily,250,601398,25,-0.04126332782975606
current_rank1_rerank,BASE,daily,250,601818,8,-0.027449134157189636
current_rank1_rerank,BASE,daily,250,601825,75,0.008878305505624295
current_rank1_rerank,BASE,daily,250,601838,13,0.08699939698492454
current_rank1_rerank,BASE,daily,250,601857,12,0.08205173599574744
current_rank1_rerank,BASE,daily,250,601939,19,0.3573516948941986
current_rank1_rerank,BASE,daily,250,601988,8,0.3624380471699634
current_rank1_rerank,BASE,daily,250,603156,1,0.18598979193706322
current_rank1_rerank,BASE,daily,250,603993,2,1.585845767334038
current_rank1_rerank,BASE,daily,250,688516,2,0.1537836505000313
current_rank1_rerank,BASE,daily,750,000022,1,0.8477272727272727
current_rank1_rerank,BASE,daily,750,000333,10,2.4746712993689712
current_rank1_rerank,BASE,daily,750,000338,233,0.9959038508084523
current_rank1_rerank,BASE,daily,750,000568,4,2.1654154211468946
current_rank1_rerank,BASE,daily,750,000651,219,1.5929891637632387
current_rank1_rerank,BASE,daily,750,000792,71,-0.4566550001973656
current_rank1_rerank,BASE,daily,750,000858,3,2.488412378052545
current_rank1_rerank,BASE,daily,750,000933,116,0.8004826529614651
current_rank1_rerank,BASE,daily,750,002001,14,0.3481498609058611
current_rank1_rerank,BASE,daily,750,002128,266,0.8434716961367134
current_rank1_rerank,BASE,daily,750,002152,24,0.852118665715742
current_rank1_rerank,BASE,daily,750,002304,51,1.3737967190623603
current_rank1_rerank,BASE,daily,750,002466,106,1.3600526491546865
current_rank1_rerank,BASE,daily,750,002714,6,8.898200275401532
current_rank1_rerank,BASE,daily,750,002833,8,0.17793336072378152
current_rank1_rerank,BASE,daily,750,600000,11,-0.21078270938584487
current_rank1_rerank,BASE,daily,750,600009,1,1.9162990993486897
current_rank1_rerank,BASE,daily,750,600015,1,0.5973179727382545
current_rank1_rerank,BASE,daily,750,600016,5,-0.1973809524593212
current_rank1_rerank,BASE,daily,750,600031,17,-0.191737087070044
current_rank1_rerank,BASE,daily,750,600066,45,1.0453060332279636
current_rank1_rerank,BASE,daily,750,600176,3,-0.18712004276711525
current_rank1_rerank,BASE,daily,750,600188,12,0.19180542071507178
current_rank1_rerank,BASE,daily,750,600309,82,1.1192648734444355
current_rank1_rerank,BASE,daily,750,600519,3,1.7960186441624817
current_rank1_rerank,BASE,daily,750,600566,4,0.2334886848618053
current_rank1_rerank,BASE,daily,750,600585,224,0.21065833391444166
current_rank1_rerank,BASE,daily,750,600660,30,1.0254050973239237
current_rank1_rerank,BASE,daily,750,600750,1,1.8674839278563633
current_rank1_rerank,BASE,daily,750,600897,23,0.2518897992992737
current_rank1_rerank,BASE,daily,750,600919,2,0.8097851423634921
current_rank1_rerank,BASE,daily,750,600938,60,1.1091667182591238
current_rank1_rerank,BASE,daily,750,601009,15,0.3537993278028684
current_rank1_rerank,BASE,daily,750,601077,5,0.5850463605834779
current_rank1_rerank,BASE,daily,750,601088,303,0.3180874944999972
current_rank1_rerank,BASE,daily,750,601166,1,0.32586085186145164
current_rank1_rerank,BASE,daily,750,601169,14,0.4691911832011233
current_rank1_rerank,BASE,daily,750,601225,67,0.84034614027851
current_rank1_rerank,BASE,daily,750,601288,19,1.9817387384576808
current_rank1_rerank,BASE,daily,750,601328,79,0.8989054181609173
current_rank1_rerank,BASE,daily,750,601398,19,0.3054297004970541
current_rank1_rerank,BASE,daily,750,601818,4,0.26305310546931593
current_rank1_rerank,BASE,daily,750,601825,72,0.7711200685971685
current_rank1_rerank,BASE,daily,750,601857,12,-0.25246663284357146
current_rank1_rerank,BASE,daily,750,601939,11,0.7655804038627072
current_rank1_rerank,BASE,daily,750,601988,7,1.1329037242818334
current_rank1_rerank,BASE,daily,750,603156,1,0.7228438284271999
current_rank1_rerank,BASE,ma60_episode,250,000001,4,0.19312018972954303
current_rank1_rerank,BASE,ma60_episode,250,000022,1,0.7443181818181817
current_rank1_rerank,BASE,ma60_episode,250,000333,4,0.8712837097695537
current_rank1_rerank,BASE,ma60_episode,250,000338,33,0.3079052203406145
current_rank1_rerank,BASE,ma60_episode,250,000568,3,0.4830799917463373
