cohort,arm,method,horizon,year,n,median
old_rank1_filter,BASE,daily,250,2011,10,-0.1704065111273131
old_rank1_filter,BASE,daily,250,2012,190,-0.06099359726964082
old_rank1_filter,BASE,daily,250,2013,226,0.030543427385001598
old_rank1_filter,BASE,daily,250,2014,237,0.5089686780381013
old_rank1_filter,BASE,daily,250,2015,158,0.014891696195582504
old_rank1_filter,BASE,daily,250,2016,192,0.5281103867178282
old_rank1_filter,BASE,daily,250,2017,191,0.27885022808390425
old_rank1_filter,BASE,daily,250,2018,126,0.31185976059288223
old_rank1_filter,BASE,daily,250,2019,209,0.320222326025402
old_rank1_filter,BASE,daily,250,2020,232,0.3957794612170815
old_rank1_filter,BASE,daily,250,2021,210,0.3266828134606745
old_rank1_filter,BASE,daily,250,2022,226,0.16328578356097367
old_rank1_filter,BASE,daily,250,2023,239,0.39738993544290424
old_rank1_filter,BASE,daily,250,2024,239,0.16356088169749383
old_rank1_filter,BASE,daily,250,2025,148,0.4815422375566851
old_rank1_filter,BASE,daily,750,2011,10,-0.1876673020447444
old_rank1_filter,BASE,daily,750,2012,190,0.16933690471072194
old_rank1_filter,BASE,daily,750,2013,226,0.32450428985238433
old_rank1_filter,BASE,daily,750,2014,237,1.4319081029643677
old_rank1_filter,BASE,daily,750,2015,158,1.1804804106389823
old_rank1_filter,BASE,daily,750,2016,192,0.6861395616133892
old_rank1_filter,BASE,daily,750,2017,191,0.8873978169541534
old_rank1_filter,BASE,daily,750,2018,126,0.9395988955692992
old_rank1_filter,BASE,daily,750,2019,209,0.8339161271555302
old_rank1_filter,BASE,daily,750,2020,232,1.1504177464885301
old_rank1_filter,BASE,daily,750,2021,210,0.9569797846536771
old_rank1_filter,BASE,daily,750,2022,226,0.7330758782504765
old_rank1_filter,BASE,daily,750,2023,115,1.3004143477153698
old_rank1_filter,BASE,ma60_episode,250,2011,2,-0.14233007187921864
old_rank1_filter,BASE,ma60_episode,250,2012,23,0.020869886483530165
old_rank1_filter,BASE,ma60_episode,250,2013,27,-0.04712826311317009
old_rank1_filter,BASE,ma60_episode,250,2014,26,0.4958322236284405
old_rank1_filter,BASE,ma60_episode,250,2015,18,-0.05124981213940499
old_rank1_filter,BASE,ma60_episode,250,2016,22,0.4166038350755167
old_rank1_filter,BASE,ma60_episode,250,2017,11,0.12583855679773293
old_rank1_filter,BASE,ma60_episode,250,2018,23,0.2953573475596314
old_rank1_filter,BASE,ma60_episode,250,2019,29,0.25015049866257866
old_rank1_filter,BASE,ma60_episode,250,2020,19,0.32757516921996355
old_rank1_filter,BASE,ma60_episode,250,2021,29,0.18656703436879396
old_rank1_filter,BASE,ma60_episode,250,2022,38,0.27128346400570214
old_rank1_filter,BASE,ma60_episode,250,2023,30,0.39909558944331913
old_rank1_filter,BASE,ma60_episode,250,2024,43,0.26560149598753013
old_rank1_filter,BASE,ma60_episode,250,2025,22,0.386506887236155
old_rank1_filter,BASE,ma60_episode,750,2011,2,0.45226430795903877
old_rank1_filter,BASE,ma60_episode,750,2012,23,0.62210590429431
old_rank1_filter,BASE,ma60_episode,750,2013,27,0.26795552039192394
old_rank1_filter,BASE,ma60_episode,750,2014,26,1.344816355932474
old_rank1_filter,BASE,ma60_episode,750,2015,18,0.7613498145183569
old_rank1_filter,BASE,ma60_episode,750,2016,22,0.6893891308783998
old_rank1_filter,BASE,ma60_episode,750,2017,11,0.8808004938014813
old_rank1_filter,BASE,ma60_episode,750,2018,23,0.8251902803734186
old_rank1_filter,BASE,ma60_episode,750,2019,29,0.709196701678912
old_rank1_filter,BASE,ma60_episode,750,2020,19,0.49046314401911695
old_rank1_filter,BASE,ma60_episode,750,2021,29,0.809481215627575
old_rank1_filter,BASE,ma60_episode,750,2022,38,0.8862252757998784
old_rank1_filter,BASE,ma60_episode,750,2023,15,1.0936271624740987
old_rank1_filter,BASE,ma60_nonoverlap,250,2011,2,-0.14233007187921864
old_rank1_filter,BASE,ma60_nonoverlap,250,2012,10,0.05008388665367092
old_rank1_filter,BASE,ma60_nonoverlap,250,2013,10,-0.08330459275720703
old_rank1_filter,BASE,ma60_nonoverlap,250,2014,16,0.5352267217386156
old_rank1_filter,BASE,ma60_nonoverlap,250,2015,6,0.0465971392744135
old_rank1_filter,BASE,ma60_nonoverlap,250,2016,11,0.3662693720427781
old_rank1_filter,BASE,ma60_nonoverlap,250,2017,5,0.08787346221441106
old_rank1_filter,BASE,ma60_nonoverlap,250,2018,7,0.43760689137505815
old_rank1_filter,BASE,ma60_nonoverlap,250,2019,8,0.18243184237372112
old_rank1_filter,BASE,ma60_nonoverlap,250,2020,8,0.18218414761826063
old_rank1_filter,BASE,ma60_nonoverlap,250,2021,11,-0.0745733932624123
old_rank1_filter,BASE,ma60_nonoverlap,250,2022,12,0.19774849049936172
old_rank1_filter,BASE,ma60_nonoverlap,250,2023,14,0.22526635288062302
old_rank1_filter,BASE,ma60_nonoverlap,250,2024,24,0.2842083407999235
old_rank1_filter,BASE,ma60_nonoverlap,250,2025,9,0.30286881037516133
old_rank1_filter,BASE,ma60_nonoverlap,750,2011,2,0.45226430795903877
old_rank1_filter,BASE,ma60_nonoverlap,750,2012,10,0.8587211585005843
old_rank1_filter,BASE,ma60_nonoverlap,750,2013,5,0.18148972288396203
old_rank1_filter,BASE,ma60_nonoverlap,750,2014,7,1.9731203017687413
old_rank1_filter,BASE,ma60_nonoverlap,750,2015,4,0.37233080976628563
old_rank1_filter,BASE,ma60_nonoverlap,750,2016,6,0.9298210233541797
old_rank1_filter,BASE,ma60_nonoverlap,750,2017,1,-0.25116777311932537
old_rank1_filter,BASE,ma60_nonoverlap,750,2018,3,0.8251902803734186
old_rank1_filter,BASE,ma60_nonoverlap,750,2019,8,0.6312975403170511
old_rank1_filter,BASE,ma60_nonoverlap,750,2020,2,0.9152552017721478
old_rank1_filter,BASE,ma60_nonoverlap,750,2021,7,0.2529429033672175
old_rank1_filter,BASE,ma60_nonoverlap,750,2022,10,0.8816247133472036
old_rank1_filter,BASE,ma60_nonoverlap,750,2023,2,0.7442297826593415
old_rank1_filter,BASE,stop_episode,250,2011,2,-0.14233007187921864
old_rank1_filter,BASE,stop_episode,250,2012,20,-0.043694945061592216
old_rank1_filter,BASE,stop_episode,250,2013,19,0.012605504860294436
old_rank1_filter,BASE,stop_episode,250,2014,19,0.5085844555105437
old_rank1_filter,BASE,stop_episode,250,2015,3,-0.08985566599427397
old_rank1_filter,BASE,stop_episode,250,2016,12,0.4289563886334047
old_rank1_filter,BASE,stop_episode,250,2017,1,0.8036073191494708
old_rank1_filter,BASE,stop_episode,250,2018,8,0.4582630084856667
old_rank1_filter,BASE,stop_episode,250,2019,3,-0.24465811965811957
old_rank1_filter,BASE,stop_episode,250,2020,5,1.4518142801404608
old_rank1_filter,BASE,stop_episode,250,2021,8,-0.009460922948964112
old_rank1_filter,BASE,stop_episode,250,2022,14,0.27128346400570214
old_rank1_filter,BASE,stop_episode,250,2023,9,0.16389246528614887
old_rank1_filter,BASE,stop_episode,250,2024,29,0.3284161829216772
old_rank1_filter,BASE,stop_episode,250,2025,7,0.12315101856010391
