start,arm,buys,sells,buy_days,buy_amount
2009-11-01,BASE,2294,1051,1320,4052594437.0
2009-11-01,BOTH1,1879,825,1172,2209746435.0
2011-11-01,BASE,2002,730,1122,2420924182.0
2011-11-01,BOTH1,1729,604,1032,1617413990.0
