group,arm,metric,level_median,paired_delta_median,positive_starts,finite_delta_starts
full,BASE,年化,0.4493011736430007,0.0,0,14
full,BASE,最大回撤,0.46191115415401457,0.0,0,14
full,BASE,Sharpe,1.0133540103031593,0.0,0,14
full,BASE,Calmar,0.9581495046934456,0.0,0,14
full,BASE,平均仓位,1.5748647644538987,0.0,0,14
full,BASE,年均换手,6.401344261502748,0.0,0,14
full,BASE,持仓数中位,7.0,0.0,0,14
full,BASE,单票权重中位,0.6278742106862352,0.0,0,14
full,BASE,单票权重P90,0.7298977279044394,0.0,0,14
full,BASE,单票权重最大,0.9208451064703156,0.0,0,14
full,BASE,前三权重中位,1.421755110836462,0.0,0,14
full,BASE,单票超60%天数占比,0.7015757934193502,0.0,0,14
full,BASE,滚动3年年化中位,0.4561461745090375,0.0,0,14
full,BASE,滚动3年回撤中位,0.4313487425341494,0.0,0,14
full,BASE,滚动3年Calmar中位,1.0840092380561268,0.0,0,14
full,BASE,滚动3年Sharpe中位,0.9829611433684471,0.0,0,14
full,BASE,滚动3年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年年化中位,0.4619089111646766,0.0,0,14
full,BASE,滚动5年年化P25,0.39920954692247057,0.0,0,14
full,BASE,滚动5年年化最差,0.2620559383755683,0.0,0,14
full,BASE,滚动5年回撤中位,0.45352893009197714,0.0,0,14
full,BASE,滚动5年Calmar中位,1.0582608688678379,0.0,0,14
full,BASE,滚动5年Sharpe中位,1.0152975450265922,0.0,0,14
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年窗口数,102.0,0.0,0,14
full,BASE,互不重叠5年块中位,0.5815849315896806,0.0,0,14
full,BASE,滚动10年年化中位,0.44178678374504354,0.0,0,14
full,BASE,滚动10年窗口数,42.0,0.0,0,14
full,BASE,逐年收益中位,0.39607164027688596,0.0,0,14
full,BASE,逐年为正比例,0.8,0.0,0,14
full,BASE,逐年最差,-0.17570314764678474,0.0,0,14
full,BASE,完整自然年数,12.5,0.0,0,14
full,BASE,强平次数,0.0,0.0,0,14
full,BASE,最低担保比例,1.869181060083062,0.0,0,14
full,BASE,最低股票同跌缓冲,0.3045082525557453,0.0,0,14
full,BASE,最低总资产冲击缓冲,0.3045082525557454,0.0,0,14
full,BASE,rf覆盖率,1.0,0.0,0,14
full,BASE,年化_交易日口径,0.4510764601035553,0.0,0,14
full,BASE,最低担保比例日,20200323.0,0.0,0,14
full,BASE,最低股票同跌缓冲日,20200323.0,0.0,0,14
full,BASE,滚动5年年化最差窗口末日,20181228.0,0.0,0,14
full,BASE,最大回撤起日,20150917.0,0.0,0,14
full,BASE,最大回撤止日,20160613.0,0.0,0,14
full,BASE,末次净值日,20260828.0,0.0,0,14
full,BASE,最低现金,-5.684341886080802e-14,0.0,0,14
full,BASE,负现金日数,0.0,0.0,0,14
full,BASE,最低现金日,20145825.5,0.0,0,14
full,BASE,滚动5年窗口年化,,0.0,0,14
full,BOTH1,年化,0.3948147080267361,-0.05448646561626458,0,14
full,BOTH1,最大回撤,0.47889128130353,0.009619923254196416,9,14
full,BOTH1,Sharpe,0.9180854424309628,-0.09294524646793051,0,14
full,BOTH1,Calmar,0.8201201429763856,-0.14358263257596265,1,14
full,BOTH1,平均仓位,1.5570730226667118,-0.02094674715083278,1,14
full,BOTH1,年均换手,5.085657181550926,-1.2849030332649884,0,14
full,BOTH1,持仓数中位,8.0,1.0,13,14
full,BOTH1,单票权重中位,0.6105463821818482,-0.018239023204221494,0,14
full,BOTH1,单票权重P90,0.7217342539787369,-0.008599280874751258,6,14
full,BOTH1,单票权重最大,0.9408077615725912,-0.015251108533319235,3,14
full,BOTH1,前三权重中位,1.3202295612165331,-0.10383656918787021,0,14
full,BOTH1,单票超60%天数占比,0.56193996661124,-0.1257990754339987,0,14
full,BOTH1,滚动3年年化中位,0.4029356448800059,-0.06857797905983976,1,14
full,BOTH1,滚动3年回撤中位,0.4586130927959832,0.02824216149838199,12,14
full,BOTH1,滚动3年Calmar中位,0.9090239580737378,-0.21453577354642817,0,14
full,BOTH1,滚动3年Sharpe中位,0.9053319809912272,-0.09969116538763423,1,14
full,BOTH1,滚动3年为负的窗口占比,0.0,0.0,3,14
full,BOTH1,滚动5年年化中位,0.4084083344652317,-0.05860173207781616,1,14
full,BOTH1,滚动5年年化P25,0.3444631026522055,-0.06479827937594362,0,14
full,BOTH1,滚动5年年化最差,0.18889480943791515,-0.060769182796919896,0,14
full,BOTH1,滚动5年回撤中位,0.47501895621883305,0.022741191117050807,14,14
full,BOTH1,滚动5年Calmar中位,0.8823391753422504,-0.20155190048412414,0,14
full,BOTH1,滚动5年Sharpe中位,0.912727264495906,-0.10660049050201154,1,14
full,BOTH1,滚动5年为负的窗口占比,0.0,0.0,1,14
full,BOTH1,滚动5年窗口数,102.0,0.0,0,14
full,BOTH1,互不重叠5年块中位,0.5063441209592413,-0.08871977227658345,1,14
