group,arm,year,signal_days,company_days,selected_company_days,weighted_share,daily_share_min,daily_share_median,daily_share_max,cutoff_min,cutoff_p10,cutoff_median,cutoff_p90,cutoff_max,days_cutoff_above_base,execution_members_and_price,potential_new_entry_company_days,potential_addon_company_days
full,BASE,ALL,4088,488150,87899,0.18006555362081328,0.0,0.17204301075268819,0.4444444444444444,1.0454,1.0454,1.0454,1.0454,1.0454,0,87774,24597,42402
full,BASE,2009,44,1532,44,0.028720626631853787,0.02857142857142857,0.02857142857142857,0.029411764705882353,1.0454,1.0454,1.0454,1.0454,1.0454,0,44,29,41
full,FIX110FR09,ALL,4088,488150,98341,0.20145651951244495,0.0,0.1956521739130435,0.47297297297297297,1.1,1.1,1.1,1.1,1.1,4088,98202,27275,47103
full,FIX110FR09,2009,44,1532,44,0.028720626631853787,0.02857142857142857,0.02857142857142857,0.029411764705882353,1.1,1.1,1.1,1.1,1.1,44,44,29,41
full,PCT16OP09,ALL,4088,488150,75766,0.15521048857933012,0.14285714285714285,0.15555555555555556,0.16,0.5816,0.79184,0.9955,1.4519900000000001,1.855,1795,75640,21405,37259
full,PCT16OP09,2009,44,1532,220,0.14360313315926893,0.14285714285714285,0.14285714285714285,0.14705882352941177,1.5475,1.57138,1.6685,1.78593,1.855,44,220,119,201
full,PCT17OP09,ALL,4088,488150,80719,0.1653569599508348,0.14285714285714285,0.16541353383458646,0.17,0.6153,0.81042,1.0225,1.4648,1.855,1928,80579,22856,39746
full,PCT17OP09,2009,44,1532,220,0.14360313315926893,0.14285714285714285,0.14285714285714285,0.14705882352941177,1.5475,1.57138,1.6685,1.78593,1.855,44,220,119,201
full,PCT18OP09,ALL,4088,488150,85694,0.17554849943664858,0.16326530612244897,0.17567567567567569,0.18,0.6657,0.82901,1.0421,1.4864600000000001,1.8978,2033,85551,24409,42337
full,PCT18OP09,2009,44,1532,264,0.17232375979112272,0.17142857142857143,0.17142857142857143,0.17647058823529413,1.5993,1.63444,1.70825,1.83725,1.8699,44,263,153,242
full,PCT19OP09,ALL,4088,488150,91106,0.18663525555669364,0.1702127659574468,0.1875,0.19,0.679,0.84677,1.0693,1.5384200000000001,1.9144,2188,90955,25983,45053
full,PCT19OP09,2009,44,1532,264,0.17232375979112272,0.17142857142857143,0.17142857142857143,0.17647058823529413,1.5993,1.63444,1.70825,1.83725,1.8699,44,263,153,242
full,PCT20OP09,ALL,4088,488150,96058,0.1967796783775479,0.17647058823529413,0.19658119658119658,0.2,0.679,0.86077,1.09125,1.5521300000000005,1.9527,2380,95898,27465,47500
full,PCT20OP09,2009,44,1532,300,0.195822454308094,0.17647058823529413,0.2,0.2,1.6143,1.6635,1.7421,1.87616,1.9106,44,299,183,277
