group,arm,year,signal_days,company_days,selected_company_days,weighted_share,daily_share_min,daily_share_median,daily_share_max,cutoff_min,cutoff_p10,cutoff_median,cutoff_p90,cutoff_max,days_cutoff_above_base,execution_members_and_price,potential_new_entry_company_days,potential_addon_company_days
U3,BASE,ALL,4088,467684,71542,0.15297080934990293,0.0,0.12914197937239413,0.3939393939393939,1.0454,1.0454,1.0454,1.0454,1.0454,0,71456,19514,33730
U3,BASE,2009,44,1314,44,0.0334855403348554,0.03333333333333333,0.03333333333333333,0.034482758620689655,1.0454,1.0454,1.0454,1.0454,1.0454,0,44,29,41
U3,FIX110FR09,ALL,4088,467684,81279,0.1737904225930329,0.0,0.15439618644067798,0.4264705882352941,1.1,1.1,1.1,1.1,1.1,4088,81181,21893,38002
U3,FIX110FR09,2009,44,1314,44,0.0334855403348554,0.03333333333333333,0.03333333333333333,0.034482758620689655,1.1,1.1,1.1,1.1,1.1,44,44,29,41
U3,PCT16OP09,ALL,4088,467684,72754,0.15556230275143046,0.13333333333333333,0.1554054054054054,0.16,0.759,0.8587400000000001,1.0911,1.58686,1.9984,2254,72644,19947,34923
U3,PCT16OP09,2009,44,1314,176,0.1339421613394216,0.13333333333333333,0.13333333333333333,0.13793103448275862,1.5993,1.62249,1.67385,1.7973000000000001,1.855,44,175,101,162
U3,PCT17OP09,ALL,4088,467684,77328,0.16534241068755826,0.13793103448275862,0.16477272727272727,0.17,0.774,0.874,1.11225,1.6264600000000002,2.023,2341,77213,21307,37190
U3,PCT17OP09,2009,44,1314,214,0.1628614916286149,0.13793103448275862,0.16666666666666666,0.16666666666666666,1.6143,1.66112,1.737,1.8543,1.8929,44,213,133,198
U3,PCT18OP09,ALL,4088,467684,82309,0.17599276434515612,0.1590909090909091,0.17613636363636365,0.18,0.7866,0.89027,1.1382500000000002,1.6466500000000002,2.0652,2510,82186,22806,39706
U3,PCT18OP09,2009,44,1314,220,0.167427701674277,0.16666666666666666,0.16666666666666666,0.1724137931034483,1.6143,1.66112,1.74405,1.8543,1.8929,44,219,136,203
U3,PCT19OP09,ALL,4088,467684,87083,0.1862005114564535,0.16666666666666666,0.18661691542288558,0.19,0.7927,0.9094,1.1643,1.6812300000000004,2.1114,2695,86954,24214,42081
U3,PCT19OP09,2009,44,1314,220,0.167427701674277,0.16666666666666666,0.16666666666666666,0.1724137931034483,1.6143,1.66112,1.74405,1.8543,1.8929,44,219,136,203
U3,PCT20OP09,ALL,4088,467684,91889,0.19647668083577802,0.1724137931034483,0.19594594594594594,0.2,0.7982,0.9268,1.18545,1.7068900000000002,2.1379,2836,91755,25695,44523
U3,PCT20OP09,2009,44,1314,258,0.1963470319634703,0.1724137931034483,0.2,0.2,1.6577,1.74708,1.8698000000000001,1.96405,2.002,44,257,156,241
U3,PCT21OP09,ALL,4088,467684,96240,0.20577997109159177,0.19047619047619047,0.20512820512820512,0.21,0.8189,0.944,1.2016499999999999,1.7299200000000001,2.2236,2990,96098,26950,46653
U3,PCT21OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.90795,1.96405,2.002,44,263,159,247
U3,PCT22OP09,ALL,4088,467684,100986,0.2159278487183654,0.2,0.21621621621621623,0.22,0.8292,0.96194,1.23275,1.75836,2.2363,3119,100837,28327,49070
U3,PCT22OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.90795,1.96405,2.002,44,263,159,247
U3,PCT23OP09,ALL,4088,467684,105739,0.22609069371626997,0.2,0.2265625,0.23,0.8368,0.9895,1.25705,1.8186,2.3198,3265,105583,29662,51497
U3,PCT23OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.90795,1.96405,2.002,44,263,159,247
U3,PCT24OP09,ALL,4088,467684,110364,0.235979849642066,0.20689655172413793,0.2361111111111111,0.24,0.8431,1.0133400000000001,1.2849,1.8707900000000002,2.4285,3414,110201,30946,53782
U3,PCT24OP09,2009,44,1314,302,0.2298325722983257,0.20689655172413793,0.23333333333333334,0.23333333333333334,1.7511,1.80939,1.9593500000000001,2.03831,2.051,44,301,193,285
