group,arm,year,signal_days,company_days,selected_company_days,weighted_share,daily_share_min,daily_share_median,daily_share_max,cutoff_min,cutoff_p10,cutoff_median,cutoff_p90,cutoff_max,days_cutoff_above_base,execution_members_and_price,potential_new_entry_company_days,potential_addon_company_days
U2,BASE,ALL,4088,469917,73545,0.15650636176175792,0.0,0.14035087719298245,0.40298507462686567,1.0454,1.0454,1.0454,1.0454,1.0454,0,73455,20118,34798
U2,BASE,2009,44,1357,44,0.032424465733235076,0.03225806451612903,0.03225806451612903,0.03333333333333333,1.0454,1.0454,1.0454,1.0454,1.0454,0,44,29,41
U2,FIX110FR09,ALL,4088,469917,83362,0.1773972850524667,0.0,0.16279069767441862,0.43478260869565216,1.1,1.1,1.1,1.1,1.1,4088,83261,22528,39122
U2,FIX110FR09,2009,44,1357,44,0.032424465733235076,0.03225806451612903,0.03225806451612903,0.03333333333333333,1.1,1.1,1.1,1.1,1.1,44,44,29,41
U2,PCT16OP09,ALL,4088,469917,73326,0.15604032201431317,0.12903225806451613,0.15609756097560976,0.16,0.7174,0.8559,1.0734,1.55935,1.9144,2192,73215,20313,35478
U2,PCT16OP09,2009,44,1357,176,0.1296978629329403,0.12903225806451613,0.12903225806451613,0.13333333333333333,1.5993,1.62249,1.67385,1.7973000000000001,1.855,44,175,100,161
U2,PCT17OP09,ALL,4088,469917,77566,0.16506319201050398,0.14634146341463414,0.1657142857142857,0.17,0.774,0.8634,1.0901,1.60762,1.9527,2279,77450,21525,37554
U2,PCT17OP09,2009,44,1357,220,0.16212232866617537,0.16129032258064516,0.16129032258064516,0.16666666666666666,1.6143,1.66112,1.73955,1.8426200000000001,1.8886,44,219,136,203
U2,PCT18OP09,ALL,4088,469917,82523,0.1756118633716167,0.1590909090909091,0.17564271588661834,0.18,0.7866,0.88407,1.1224,1.63373,2.041,2488,82402,22927,39953
U2,PCT18OP09,2009,44,1357,220,0.16212232866617537,0.16129032258064516,0.16129032258064516,0.16666666666666666,1.6143,1.66112,1.73955,1.8426200000000001,1.8886,44,219,136,203
U2,PCT19OP09,ALL,4088,469917,87216,0.18559873339334393,0.16129032258064516,0.18604651162790697,0.19,0.7927,0.9047700000000001,1.14045,1.6665900000000002,2.041,2643,87088,24285,42289
U2,PCT19OP09,2009,44,1357,220,0.16212232866617537,0.16129032258064516,0.16129032258064516,0.16666666666666666,1.6143,1.66112,1.73955,1.8426200000000001,1.8886,44,219,136,203
U2,PCT20OP09,ALL,4088,469917,92308,0.19643468953027876,0.18181818181818182,0.19594594594594594,0.2,0.8069,0.9181100000000001,1.1671,1.68823,2.0805,2799,92173,25870,44916
U2,PCT20OP09,2009,44,1357,264,0.19454679439941047,0.1935483870967742,0.1935483870967742,0.2,1.6454,1.70006,1.8104,1.89834,1.9358,44,262,156,231
U2,PCT21OP09,ALL,4088,469917,96775,0.20594062355692602,0.19047619047619047,0.20454545454545456,0.21,0.8259,0.94055,1.1887,1.7041700000000004,2.1381,2909,96636,27172,47072
U2,PCT21OP09,2009,44,1357,264,0.19454679439941047,0.1935483870967742,0.1935483870967742,0.2,1.6454,1.70006,1.8104,1.89834,1.9358,44,262,156,231
U2,PCT22OP09,ALL,4088,469917,101411,0.21580619556219502,0.1935483870967742,0.2159090909090909,0.22,0.8271,0.95878,1.21365,1.7271400000000001,2.2363,3083,101263,28509,49403
U2,PCT22OP09,2009,44,1357,264,0.19454679439941047,0.1935483870967742,0.1935483870967742,0.2,1.6454,1.70006,1.8104,1.89834,1.9358,44,262,156,231
U2,PCT23OP09,ALL,4088,469917,106129,0.22584626646833378,0.2,0.22580645161290322,0.23,0.8388,0.9831799999999999,1.2377,1.75556,2.2421,3230,105976,29894,51870
U2,PCT23OP09,2009,44,1357,301,0.22181282240235814,0.2,0.22580645161290322,0.22580645161290322,1.6729,1.7782499999999999,1.8851499999999999,1.96405,2.002,44,299,178,268
U2,PCT24OP09,ALL,4088,469917,110896,0.23599061110791905,0.21951219512195122,0.2361111111111111,0.24,0.8471,1.00637,1.2659500000000001,1.79666,2.3198,3419,110733,31201,54234
U2,PCT24OP09,2009,44,1357,308,0.22697126013264554,0.22580645161290322,0.22580645161290322,0.23333333333333334,1.7445,1.7949,1.91595,1.96405,2.002,44,306,181,275
U2,BASE,2010,242,11679,397,0.03399263635585238,0.0,0.03225806451612903,0.08333333333333333,1.0454,1.0454,1.0454,1.0454,1.0454,0,394,67,140
U2,FIX110FR09,2010,242,11679,492,0.042126894425892625,0.0,0.037037037037037035,0.09803921568627451,1.1,1.1,1.1,1.1,1.1,242,489,104,187
U2,PCT16OP09,2010,242,11679,1784,0.15275280417843992,0.12903225806451613,0.15384615384615385,0.16,1.3245,1.3794,1.5147,1.77679,1.8911,242,1770,439,784
U2,PCT17OP09,2010,242,11679,1867,0.15985957701858036,0.14634146341463414,0.1568627450980392,0.16981132075471697,1.3245,1.38359,1.5634000000000001,1.81009,1.9222,242,1853,464,835
U2,PCT18OP09,2010,242,11679,2004,0.17159003339326998,0.1590909090909091,0.17307692307692307,0.18,1.3416,1.45696,1.58385,1.8541800000000002,1.9984,242,1988,485,877
U2,PCT19OP09,2010,242,11679,2087,0.1786968062334104,0.16129032258064516,0.17647058823529413,0.18867924528301888,1.3416,1.46501,1.6292,1.8638,2.023,242,2071,508,912
U2,PCT20OP09,2010,242,11679,2246,0.192310985529583,0.18181818181818182,0.1935483870967742,0.2,1.3675,1.50674,1.6477,1.9398100000000003,2.0805,242,2229,542,998
U2,PCT21OP09,2010,242,11679,2329,0.19941775836972345,0.19047619047619047,0.19607843137254902,0.20930232558139536,1.3675,1.5071800000000002,1.6732,2.00632,2.1114,242,2311,560,1037
U2,PCT22OP09,2010,242,11679,2454,0.21012072951451322,0.1935483870967742,0.21153846153846154,0.22,1.4862,1.5638800000000002,1.68565,2.025,2.1141,242,2434,589,1098
U2,PCT23OP09,2010,242,11679,2558,0.21902560150697833,0.2,0.21739130434782608,0.22916666666666666,1.5221,1.5694,1.7177,2.05286,2.1632,242,2537,628,1172
U2,PCT24OP09,2010,242,11679,2695,0.23075605788166795,0.21951219512195122,0.23076923076923078,0.24,1.5318,1.5984500000000001,1.76735,2.0925599999999998,2.3198,242,2673,667,1247
U2,BASE,2011,244,13404,509,0.037973739182333634,0.0,0.018518518518518517,0.16071428571428573,1.0454,1.0454,1.0454,1.0454,1.0454,0,505,38,93
U2,FIX110FR09,2011,244,13404,600,0.044762757385854966,0.017543859649122806,0.019230769230769232,0.16666666666666666,1.1,1.1,1.1,1.1,1.1,244,595,42,104
U2,PCT16OP09,2011,244,13404,1953,0.14570277529095793,0.14285714285714285,0.14545454545454545,0.15789473684210525,1.0145,1.16699,1.4764,1.6493700000000002,1.7836,240,1936,323,634
U2,PCT17OP09,2011,244,13404,2188,0.16323485526708445,0.15384615384615385,0.16363636363636364,0.16981132075471697,1.032,1.18793,1.5488499999999998,1.70373,1.8996,242,2169,355,724
U2,PCT18OP09,2011,244,13404,2294,0.17114294240525216,0.16363636363636364,0.16981132075471697,0.17857142857142858,1.047,1.18793,1.5526499999999999,1.7257,2.041,244,2275,374,758
U2,PCT19OP09,2011,244,13404,2432,0.1814383766039988,0.17307692307692307,0.18181818181818182,0.18867924528301888,1.1152,1.21,1.5944,1.84965,2.041,244,2413,400,821
U2,PCT20OP09,2011,244,13404,2605,0.19434497165025366,0.18518518518518517,0.19642857142857142,0.2,1.1162,1.21181,1.6357,1.87668,2.0462,244,2585,421,869
U2,PCT21OP09,2011,244,13404,2676,0.19964189794091317,0.19230769230769232,0.2,0.20754716981132076,1.1605,1.21521,1.6495,1.9052300000000002,2.1381,244,2656,432,894
U2,PCT22OP09,2011,244,13404,2849,0.21254849298716802,0.2037037037037037,0.21428571428571427,0.21818181818181817,1.1641,1.29332,1.6776,1.9458700000000004,2.2363,244,2828,446,943
U2,PCT23OP09,2011,244,13404,2921,0.21792002387347062,0.21153846153846154,0.21818181818181817,0.22807017543859648,1.1641,1.32963,1.69135,2.02862,2.2421,244,2898,467,973
U2,PCT24OP09,2011,244,13404,3093,0.23075201432408238,0.2222222222222222,0.23214285714285715,0.23636363636363636,1.1849,1.3518999999999999,1.7177,2.1191400000000002,2.2652,244,3069,502,1033
U2,BASE,2012,243,14809,2417,0.16321156053751099,0.05357142857142857,0.1746031746031746,0.25806451612903225,1.0454,1.0454,1.0454,1.0454,1.0454,0,2403,332,666
U2,FIX110FR09,2012,243,14809,3100,0.20933216287392803,0.07142857142857142,0.22580645161290322,0.2857142857142857,1.1,1.1,1.1,1.1,1.1,243,3079,458,907
U2,PCT16OP09,2012,243,14809,2267,0.15308258491457896,0.14285714285714285,0.15625,0.15873015873015872,0.8652,0.9149999999999999,1.0205,1.13028,1.2138,93,2251,349,700
U2,PCT17OP09,2012,243,14809,2355,0.1590249172800324,0.15517241379310345,0.15873015873015872,0.16666666666666666,0.8664,0.92086,1.0268,1.16208,1.2377,97,2339,379,744
U2,PCT18OP09,2012,243,14809,2567,0.17334053616044298,0.16363636363636364,0.1746031746031746,0.17857142857142858,0.8928,0.93124,1.0354,1.1742,1.2655,110,2549,421,817
U2,PCT19OP09,2012,243,14809,2679,0.18090350462556554,0.1746031746031746,0.17857142857142858,0.1896551724137931,0.8934,0.93912,1.0399,1.1837199999999999,1.2655,115,2660,439,851
U2,PCT20OP09,2012,243,14809,2832,0.19123505976095617,0.18518518518518517,0.19047619047619047,0.2,0.9232,0.95592,1.0589,1.1979,1.3196,129,2811,491,930
U2,PCT21OP09,2012,243,14809,3004,0.20284961847525154,0.19298245614035087,0.203125,0.20967741935483872,0.9488,0.9997,1.0722,1.20434,1.3196,147,2981,530,984
U2,PCT22OP09,2012,243,14809,3154,0.21297859409818354,0.2037037037037037,0.21428571428571427,0.21875,0.9488,1.0204,1.0778,1.25522,1.3754,178,3131,560,1047
U2,PCT23OP09,2012,243,14809,3263,0.22033898305084745,0.21428571428571427,0.21875,0.22950819672131148,0.9878,1.03774,1.0862,1.26818,1.3754,201,3240,585,1097
U2,PCT24OP09,2012,243,14809,3459,0.23357417786481194,0.2222222222222222,0.234375,0.23809523809523808,1.0171,1.0490199999999998,1.0977,1.3063,1.4093,227,3434,620,1159
U2,BASE,2013,238,16018,3684,0.22999125983268823,0.12698412698412698,0.2318840579710145,0.40298507462686567,1.0454,1.0454,1.0454,1.0454,1.0454,0,3682,744,1394
U2,FIX110FR09,2013,238,16018,4290,0.2678236983393682,0.140625,0.2753623188405797,0.43478260869565216,1.1,1.1,1.1,1.1,1.1,238,4288,859,1588
U2,PCT16OP09,2013,238,16018,2511,0.1567611437133225,0.14705882352941177,0.15873015873015872,0.15942028985507245,0.7937,0.8358,0.9081,1.0621500000000001,1.18,30,2510,587,1044
