group,arm,year,signal_days,company_days,selected_company_days,weighted_share,daily_share_min,daily_share_median,daily_share_max,cutoff_min,cutoff_p10,cutoff_median,cutoff_p90,cutoff_max,days_cutoff_above_base,execution_members_and_price,potential_new_entry_company_days,potential_addon_company_days
U4,BASE,ALL,4088,466762,71422,0.1530158838980037,0.0,0.1328125,0.3939393939393939,1.0454,1.0454,1.0454,1.0454,1.0454,0,71339,19406,33628
U4,BASE,2009,44,1314,44,0.0334855403348554,0.03333333333333333,0.03333333333333333,0.034482758620689655,1.0454,1.0454,1.0454,1.0454,1.0454,0,44,29,41
U4,FIX110FR09,ALL,4088,466762,81006,0.173548832167143,0.0,0.15625,0.4264705882352941,1.1,1.1,1.1,1.1,1.1,4088,80912,21714,37803
U4,FIX110FR09,2009,44,1314,44,0.0334855403348554,0.03333333333333333,0.03333333333333333,0.034482758620689655,1.1,1.1,1.1,1.1,1.1,44,44,29,41
U4,PCT16OP09,ALL,4088,466762,72682,0.15571533243923028,0.13333333333333333,0.15609756097560976,0.16,0.7607,0.8603,1.0873,1.59185,1.9984,2260,72577,19859,34884
U4,PCT16OP09,2009,44,1314,176,0.1339421613394216,0.13333333333333333,0.13333333333333333,0.13793103448275862,1.6143,1.64295,1.6869,1.83278,1.8886,44,176,101,160
U4,PCT17OP09,ALL,4088,466762,77159,0.16530694443849328,0.13793103448275862,0.16535433070866143,0.17,0.774,0.8758,1.1053,1.63515,2.023,2378,77049,21095,37067
U4,PCT17OP09,2009,44,1314,214,0.1628614916286149,0.13793103448275862,0.16666666666666666,0.16666666666666666,1.6454,1.69298,1.79495,1.89834,1.9358,44,214,120,186
U4,PCT18OP09,ALL,4088,466762,82083,0.17585621794404857,0.1590909090909091,0.17592592592592593,0.18,0.7866,0.8932,1.1354,1.653,2.0652,2560,81966,22557,39491
U4,PCT18OP09,2009,44,1314,220,0.167427701674277,0.16666666666666666,0.16666666666666666,0.1724137931034483,1.6454,1.69921,1.8063,1.89834,1.9358,44,219,121,188
U4,PCT19OP09,ALL,4088,466762,86674,0.18569206576370828,0.16666666666666666,0.18584070796460178,0.19,0.7927,0.9098,1.1607500000000002,1.6844299999999999,2.1114,2719,86550,23874,41751
U4,PCT19OP09,2009,44,1314,220,0.167427701674277,0.16666666666666666,0.16666666666666666,0.1724137931034483,1.6454,1.69921,1.8063,1.89834,1.9358,44,219,121,188
U4,PCT20OP09,ALL,4088,466762,91812,0.19669981703737666,0.1724137931034483,0.19594594594594594,0.2,0.8069,0.92917,1.1826,1.71204,2.1379,2852,91683,25446,44351
U4,PCT20OP09,2009,44,1314,258,0.1963470319634703,0.1724137931034483,0.2,0.2,1.6729,1.7782499999999999,1.8851499999999999,1.96405,2.002,44,257,143,226
U4,PCT21OP09,ALL,4088,466762,96224,0.206152171770624,0.19047619047619047,0.2057142857142857,0.21,0.8269,0.9485,1.1992,1.73123,2.2236,3010,96086,26729,46522
U4,PCT21OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.91595,1.96405,2.002,44,263,146,232
U4,PCT22OP09,ALL,4088,466762,100772,0.21589589555276564,0.2,0.21621621621621623,0.22,0.8323,0.96607,1.2295500000000001,1.76116,2.2652,3142,100628,28100,48930
U4,PCT22OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.91595,1.96405,2.002,44,263,146,232
U4,PCT23OP09,ALL,4088,466762,105509,0.22604453661609128,0.2,0.22641509433962265,0.23,0.8388,0.99607,1.2547,1.8186900000000001,2.3198,3301,105357,29455,51335
U4,PCT23OP09,2009,44,1314,264,0.2009132420091324,0.2,0.2,0.20689655172413793,1.7445,1.7949,1.91595,1.96405,2.002,44,263,146,232
U4,PCT24OP09,ALL,4088,466762,110248,0.23619746251837126,0.20689655172413793,0.23648648648648649,0.24,0.8471,1.01827,1.28395,1.8692,2.4285,3481,110089,30728,53615
U4,PCT24OP09,2009,44,1314,302,0.2298325722983257,0.20689655172413793,0.23333333333333334,0.23333333333333334,1.7511,1.80939,1.9593500000000001,2.03831,2.051,44,301,180,270
U4,BASE,2010,242,11439,291,0.025439286650931026,0.0,0.022222222222222223,0.06382978723404255,1.0454,1.0454,1.0454,1.0454,1.0454,0,289,49,104
U4,FIX110FR09,2010,242,11439,356,0.03112160153859603,0.0,0.023255813953488372,0.08,1.1,1.1,1.1,1.1,1.1,242,354,82,140
U4,PCT16OP09,2010,242,11439,1749,0.15289798059270915,0.13333333333333333,0.1547008547008547,0.16,1.3416,1.4215,1.56345,1.81297,1.9984,242,1736,418,743
U4,PCT17OP09,2010,242,11439,1821,0.15919223708366115,0.13793103448275862,0.16,0.16981132075471697,1.3416,1.46051,1.5949499999999999,1.85301,2.023,242,1807,427,772
U4,PCT18OP09,2010,242,11439,1976,0.17274237258501618,0.1590909090909091,0.17307692307692307,0.18,1.3675,1.49818,1.6317499999999998,1.8873199999999999,2.0652,242,1961,465,849
U4,PCT19OP09,2010,242,11439,2048,0.17903662907596818,0.16666666666666666,0.18,0.18867924528301888,1.3675,1.5071800000000002,1.66175,1.9953,2.1114,242,2032,477,882
U4,PCT20OP09,2010,242,11439,2209,0.1931112859515692,0.1724137931034483,0.19230769230769232,0.2,1.4604,1.5572199999999998,1.68385,2.0252,2.1379,242,2192,521,968
U4,PCT21OP09,2010,242,11439,2290,0.2001923245038902,0.19047619047619047,0.2,0.20930232558139536,1.4862,1.5649,1.69585,2.05649,2.2236,242,2271,548,1018
U4,PCT22OP09,2010,242,11439,2426,0.21208147565346622,0.2,0.21153846153846154,0.22,1.5318,1.59647,1.7402,2.0691,2.2236,242,2406,584,1096
U4,PCT23OP09,2010,242,11439,2491,0.2177637905411312,0.2,0.22,0.22916666666666666,1.5318,1.5998,1.8545500000000001,2.12936,2.3198,242,2471,608,1143
