arm,kind,value,group,exclusion_group,start,end,cagr,base_cagr,delta_pp
BASE,fixed,1.0454,full,full,2009-11-01,2026-08-28,0.3171902906642554,0.3171902906642554,0.0
BASE,fixed,1.0454,full,full,2010-05-01,2026-08-28,0.42150631552147355,0.42150631552147355,0.0
BASE,fixed,1.0454,full,full,2010-11-01,2026-08-28,0.34762338931737813,0.34762338931737813,0.0
BASE,fixed,1.0454,full,full,2011-05-01,2026-08-28,0.31325227361749697,0.31325227361749697,0.0
BASE,fixed,1.0454,full,full,2011-11-01,2026-08-28,0.3323652934000796,0.3323652934000796,0.0
BASE,fixed,1.0454,full,full,2012-05-01,2026-08-28,0.39847921911522177,0.39847921911522177,0.0
BASE,fixed,1.0454,full,full,2012-11-01,2026-08-28,0.5003010251284332,0.5003010251284332,0.0
BASE,fixed,1.0454,full,full,2013-05-01,2026-08-28,0.4931181239971951,0.4931181239971951,0.0
BASE,fixed,1.0454,full,full,2013-11-01,2026-08-28,0.41697297508389597,0.41697297508389597,0.0
BASE,fixed,1.0454,full,full,2014-05-01,2026-08-28,0.4929665032489996,0.4929665032489996,0.0
BASE,fixed,1.0454,full,full,2014-11-01,2026-08-28,0.5279156947520107,0.5279156947520107,0.0
BASE,fixed,1.0454,full,full,2015-05-01,2026-08-28,0.4970778116275161,0.4970778116275161,0.0
BASE,fixed,1.0454,full,full,2015-11-01,2026-08-28,0.5936193389038193,0.5936193389038193,0.0
BASE,fixed,1.0454,full,full,2016-05-01,2026-08-28,0.7061667460063654,0.7061667460063654,0.0
BASE,fixed,1.0454,A,A,2009-11-01,2026-08-28,0.32484186578832164,0.32484186578832164,0.0
BASE,fixed,1.0454,A,A,2010-05-01,2026-08-28,0.3577877601083479,0.3577877601083479,0.0
BASE,fixed,1.0454,A,A,2010-11-01,2026-08-28,0.39384145779326096,0.39384145779326096,0.0
BASE,fixed,1.0454,A,A,2011-05-01,2026-08-28,0.4595414701476832,0.4595414701476832,0.0
BASE,fixed,1.0454,A,A,2011-11-01,2026-08-28,0.4343883464327476,0.4343883464327476,0.0
BASE,fixed,1.0454,A,A,2012-05-01,2026-08-28,0.44367740634309305,0.44367740634309305,0.0
BASE,fixed,1.0454,A,A,2012-11-01,2026-08-28,0.5076581123683039,0.5076581123683039,0.0
BASE,fixed,1.0454,A,A,2013-05-01,2026-08-28,0.5273589932880105,0.5273589932880105,0.0
BASE,fixed,1.0454,A,A,2013-11-01,2026-08-28,0.5092937156190205,0.5092937156190205,0.0
BASE,fixed,1.0454,A,A,2014-05-01,2026-08-28,0.5759327684444389,0.5759327684444389,0.0
BASE,fixed,1.0454,A,A,2014-11-01,2026-08-28,0.5567072004372051,0.5567072004372051,0.0
BASE,fixed,1.0454,A,A,2015-05-01,2026-08-28,0.470629288674965,0.470629288674965,0.0
BASE,fixed,1.0454,A,A,2015-11-01,2026-08-28,0.5189473402580713,0.5189473402580713,0.0
BASE,fixed,1.0454,A,A,2016-05-01,2026-08-28,0.6848724220753288,0.6848724220753288,0.0
BASE,fixed,1.0454,U,A,2009-11-01,2026-08-28,0.32484186578832164,0.32484186578832164,0.0
BASE,fixed,1.0454,U,A,2010-05-01,2026-08-28,0.3577877601083479,0.3577877601083479,0.0
BASE,fixed,1.0454,U,A,2010-11-01,2026-08-28,0.39384145779326096,0.39384145779326096,0.0
BASE,fixed,1.0454,U,A,2011-05-01,2026-08-28,0.4595414701476832,0.4595414701476832,0.0
BASE,fixed,1.0454,U,A,2011-11-01,2026-08-28,0.4343883464327476,0.4343883464327476,0.0
BASE,fixed,1.0454,U,A,2012-05-01,2026-08-28,0.44367740634309305,0.44367740634309305,0.0
BASE,fixed,1.0454,U,A,2012-11-01,2026-08-28,0.5076581123683039,0.5076581123683039,0.0
BASE,fixed,1.0454,U,A,2013-05-01,2026-08-28,0.5273589932880105,0.5273589932880105,0.0
BASE,fixed,1.0454,U,A,2013-11-01,2026-08-28,0.5092937156190205,0.5092937156190205,0.0
BASE,fixed,1.0454,U,A,2014-05-01,2026-08-28,0.5759327684444389,0.5759327684444389,0.0
BASE,fixed,1.0454,U,A,2014-11-01,2026-08-28,0.5567072004372051,0.5567072004372051,0.0
BASE,fixed,1.0454,U,A,2015-05-01,2026-08-28,0.470629288674965,0.470629288674965,0.0
BASE,fixed,1.0454,U,A,2015-11-01,2026-08-28,0.5189473402580713,0.5189473402580713,0.0
BASE,fixed,1.0454,U,A,2016-05-01,2026-08-28,0.6848724220753288,0.6848724220753288,0.0
FIX110FR09,fixed_control,1.1,full,full,2009-11-01,2026-08-28,0.3491452749911088,0.3171902906642554,3.1954984326853397
FIX110FR09,fixed_control,1.1,full,full,2010-05-01,2026-08-28,0.32541897788210083,0.42150631552147355,-9.608733763937272
FIX110FR09,fixed_control,1.1,full,full,2010-11-01,2026-08-28,0.38374109951161395,0.34762338931737813,3.611771019423582
FIX110FR09,fixed_control,1.1,full,full,2011-05-01,2026-08-28,0.3824797413458758,0.31325227361749697,6.922746772837884
FIX110FR09,fixed_control,1.1,full,full,2011-11-01,2026-08-28,0.32079069139023764,0.3323652934000796,-1.157460200984195
FIX110FR09,fixed_control,1.1,full,full,2012-05-01,2026-08-28,0.39179432191273933,0.39847921911522177,-0.6684897202482443
FIX110FR09,fixed_control,1.1,full,full,2012-11-01,2026-08-28,0.5092835627640337,0.5003010251284332,0.8982537635600529
FIX110FR09,fixed_control,1.1,full,full,2013-05-01,2026-08-28,0.496447898267111,0.4931181239971951,0.3329774269915875
FIX110FR09,fixed_control,1.1,full,full,2013-11-01,2026-08-28,0.5196662149253342,0.41697297508389597,10.269323984143819
FIX110FR09,fixed_control,1.1,full,full,2014-05-01,2026-08-28,0.504943855924316,0.4929665032489996,1.197735267531641
FIX110FR09,fixed_control,1.1,full,full,2014-11-01,2026-08-28,0.45619115414183087,0.5279156947520107,-7.172454061017985
FIX110FR09,fixed_control,1.1,full,full,2015-05-01,2026-08-28,0.4733169349022184,0.4970778116275161,-2.3760876725297697
FIX110FR09,fixed_control,1.1,full,full,2015-11-01,2026-08-28,0.6026833942301504,0.5936193389038193,0.9064055326331033
FIX110FR09,fixed_control,1.1,full,full,2016-05-01,2026-08-28,0.6428931705340353,0.7061667460063654,-6.327357547233015
FIX110FR09,fixed_control,1.1,A,A,2009-11-01,2026-08-28,0.3550712109616345,0.32484186578832164,3.0229345173312883
FIX110FR09,fixed_control,1.1,A,A,2010-05-01,2026-08-28,0.36686211791335266,0.3577877601083479,0.9074357805004762
FIX110FR09,fixed_control,1.1,A,A,2010-11-01,2026-08-28,0.4069615418326622,0.39384145779326096,1.3120084039401236
FIX110FR09,fixed_control,1.1,A,A,2011-05-01,2026-08-28,0.3994358322370122,0.4595414701476832,-6.010563791067103
FIX110FR09,fixed_control,1.1,A,A,2011-11-01,2026-08-28,0.4468712696321455,0.4343883464327476,1.2482923199397922
FIX110FR09,fixed_control,1.1,A,A,2012-05-01,2026-08-28,0.4688495052284605,0.44367740634309305,2.517209888536742
FIX110FR09,fixed_control,1.1,A,A,2012-11-01,2026-08-28,0.5142926678285911,0.5076581123683039,0.6634555460287128
FIX110FR09,fixed_control,1.1,A,A,2013-05-01,2026-08-28,0.5326601587800037,0.5273589932880105,0.530116549199322
FIX110FR09,fixed_control,1.1,A,A,2013-11-01,2026-08-28,0.5513524256279214,0.5092937156190205,4.2058710008900935
FIX110FR09,fixed_control,1.1,A,A,2014-05-01,2026-08-28,0.5774940013983432,0.5759327684444389,0.15612329539043124
FIX110FR09,fixed_control,1.1,A,A,2014-11-01,2026-08-28,0.4825836641102692,0.5567072004372051,-7.412353632693591
FIX110FR09,fixed_control,1.1,A,A,2015-05-01,2026-08-28,0.49248647846452154,0.470629288674965,2.185718978955653
FIX110FR09,fixed_control,1.1,A,A,2015-11-01,2026-08-28,0.5592634278064519,0.5189473402580713,4.031608754838056
FIX110FR09,fixed_control,1.1,A,A,2016-05-01,2026-08-28,0.6834477116987667,0.6848724220753288,-0.14247103765621105
FIX110FR09,fixed_control,1.1,U,U1,2009-11-01,2026-08-28,0.3550712109616345,0.32484186578832164,3.0229345173312883
FIX110FR09,fixed_control,1.1,U,U1,2010-05-01,2026-08-28,0.36686211791335266,0.3577877601083479,0.9074357805004762
FIX110FR09,fixed_control,1.1,U,U1,2010-11-01,2026-08-28,0.4069615418326622,0.39384145779326096,1.3120084039401236
FIX110FR09,fixed_control,1.1,U,U1,2011-05-01,2026-08-28,0.3994358322370122,0.4595414701476832,-6.010563791067103
FIX110FR09,fixed_control,1.1,U,U1,2011-11-01,2026-08-28,0.4468712696321455,0.4343883464327476,1.2482923199397922
FIX110FR09,fixed_control,1.1,U,U1,2012-05-01,2026-08-28,0.4688495052284605,0.44367740634309305,2.517209888536742
FIX110FR09,fixed_control,1.1,U,U1,2012-11-01,2026-08-28,0.5142926678285911,0.5076581123683039,0.6634555460287128
FIX110FR09,fixed_control,1.1,U,U1,2013-05-01,2026-08-28,0.5326601587800037,0.5273589932880105,0.530116549199322
FIX110FR09,fixed_control,1.1,U,U1,2013-11-01,2026-08-28,0.5513524256279214,0.5092937156190205,4.2058710008900935
FIX110FR09,fixed_control,1.1,U,U1,2014-05-01,2026-08-28,0.5774940013983432,0.5759327684444389,0.15612329539043124
FIX110FR09,fixed_control,1.1,U,U1,2014-11-01,2026-08-28,0.4825836641102692,0.5567072004372051,-7.412353632693591
FIX110FR09,fixed_control,1.1,U,U1,2015-05-01,2026-08-28,0.49248647846452154,0.470629288674965,2.185718978955653
FIX110FR09,fixed_control,1.1,U,U1,2015-11-01,2026-08-28,0.5592634278064519,0.5189473402580713,4.031608754838056
FIX110FR09,fixed_control,1.1,U,U1,2016-05-01,2026-08-28,0.6834477116987667,0.6848724220753288,-0.14247103765621105
PCT16OP09,fraction,0.16,full,full,2009-11-01,2026-08-28,0.3338610346647959,0.3171902906642554,1.6670744000540472
PCT16OP09,fraction,0.16,full,full,2010-05-01,2026-08-28,0.43924784245362347,0.42150631552147355,1.774152693214992
PCT16OP09,fraction,0.16,full,full,2010-11-01,2026-08-28,0.29946363707667323,0.34762338931737813,-4.81597522407049
PCT16OP09,fraction,0.16,full,full,2011-05-01,2026-08-28,0.3709869441624638,0.31325227361749697,5.773467054496684
PCT16OP09,fraction,0.16,full,full,2011-11-01,2026-08-28,0.4017654571264766,0.3323652934000796,6.940016372639701
PCT16OP09,fraction,0.16,full,full,2012-05-01,2026-08-28,0.4081579079050086,0.39847921911522177,0.9678688789786838
PCT16OP09,fraction,0.16,full,full,2012-11-01,2026-08-28,0.4598912325530664,0.5003010251284332,-4.040979257536681
PCT16OP09,fraction,0.16,full,full,2013-05-01,2026-08-28,0.44368741500022435,0.4931181239971951,-4.943070899697077
PCT16OP09,fraction,0.16,full,full,2013-11-01,2026-08-28,0.46846163988984757,0.41697297508389597,5.14886648059516
PCT16OP09,fraction,0.16,full,full,2014-05-01,2026-08-28,0.4626142329256242,0.4929665032489996,-3.0352270323375397
PCT16OP09,fraction,0.16,full,full,2014-11-01,2026-08-28,0.5389542155361973,0.5279156947520107,1.1038520784186545
PCT16OP09,fraction,0.16,full,full,2015-05-01,2026-08-28,0.47633065856180345,0.4970778116275161,-2.074715306571262
PCT16OP09,fraction,0.16,full,full,2015-11-01,2026-08-28,0.6250843164977824,0.5936193389038193,3.146497759396305
PCT16OP09,fraction,0.16,full,full,2016-05-01,2026-08-28,0.7125176980724643,0.7061667460063654,0.6350952066098925
PCT16OP09,fraction,0.16,A,A,2009-11-01,2026-08-28,0.3597938440765063,0.32484186578832164,3.4951978288184637
PCT16OP09,fraction,0.16,A,A,2010-05-01,2026-08-28,0.40701211317243025,0.3577877601083479,4.922435306408235
PCT16OP09,fraction,0.16,A,A,2010-11-01,2026-08-28,0.3881577284600035,0.39384145779326096,-0.5683729333257448
PCT16OP09,fraction,0.16,A,A,2011-05-01,2026-08-28,0.4627074673456555,0.4595414701476832,0.3165997197972281
PCT16OP09,fraction,0.16,A,A,2011-11-01,2026-08-28,0.38357601090411086,0.4343883464327476,-5.081233552863673
PCT16OP09,fraction,0.16,A,A,2012-05-01,2026-08-28,0.45448233489715495,0.44367740634309305,1.08049285540619
PCT16OP09,fraction,0.16,A,A,2012-11-01,2026-08-28,0.537845528186266,0.5076581123683039,3.0187415817962027
PCT16OP09,fraction,0.16,A,A,2013-05-01,2026-08-28,0.48526806385815835,0.5273589932880105,-4.209092942985215
PCT16OP09,fraction,0.16,A,A,2013-11-01,2026-08-28,0.5249626934187048,0.5092937156190205,1.5668977799684347
PCT16OP09,fraction,0.16,A,A,2014-05-01,2026-08-28,0.5329046742160042,0.5759327684444389,-4.302809422843468
PCT16OP09,fraction,0.16,A,A,2014-11-01,2026-08-28,0.40098577340457897,0.5567072004372051,-15.572142703262614
PCT16OP09,fraction,0.16,A,A,2015-05-01,2026-08-28,0.44510287069963783,0.470629288674965,-2.5526417975327176
PCT16OP09,fraction,0.16,A,A,2015-11-01,2026-08-28,0.5319903320336961,0.5189473402580713,1.3042991775624735
PCT16OP09,fraction,0.16,A,A,2016-05-01,2026-08-28,0.6089031261417597,0.6848724220753288,-7.596929593356916
PCT16OP09,fraction,0.16,U,U2,2009-11-01,2026-08-28,0.3291172160623612,0.297016684127815,3.2100531934546206
PCT16OP09,fraction,0.16,U,U2,2010-05-01,2026-08-28,0.3719467098146312,0.3254120906730591,4.653461914157209
PCT16OP09,fraction,0.16,U,U2,2010-11-01,2026-08-28,0.3521967749224546,0.36190675509102754,-0.970998016857294
PCT16OP09,fraction,0.16,U,U2,2011-05-01,2026-08-28,0.4272315102953501,0.4256749818504688,0.15565284448813
PCT16OP09,fraction,0.16,U,U2,2011-11-01,2026-08-28,0.34811902447170273,0.39675730587595437,-4.863828140425164
PCT16OP09,fraction,0.16,U,U2,2012-05-01,2026-08-28,0.4146386778286808,0.4106576740093759,0.39810038193048847
PCT16OP09,fraction,0.16,U,U2,2012-11-01,2026-08-28,0.49747839428952534,0.46767173320895816,2.9806661080567176
PCT16OP09,fraction,0.16,U,U2,2013-05-01,2026-08-28,0.445577888649487,0.48741248213969923,-4.1834593490212235
PCT16OP09,fraction,0.16,U,U2,2013-11-01,2026-08-28,0.4801744288262024,0.4569234398487596,2.325098897744282
PCT16OP09,fraction,0.16,U,U2,2014-05-01,2026-08-28,0.4886277401187269,0.5281135653137616,-3.948582519503474
PCT16OP09,fraction,0.16,U,U2,2014-11-01,2026-08-28,0.35431072793027063,0.5085671679834873,-15.42564400532167
PCT16OP09,fraction,0.16,U,U2,2015-05-01,2026-08-28,0.3967311120427113,0.4273098550923906,-3.0578743049679336
PCT16OP09,fraction,0.16,U,U2,2015-11-01,2026-08-28,0.4782877727945689,0.46632417376042645,1.1963599034142458
PCT16OP09,fraction,0.16,U,U2,2016-05-01,2026-08-28,0.5527907435255377,0.6226640041781661,-6.987326065262844
PCT17OP09,fraction,0.17,full,full,2009-11-01,2026-08-28,0.37479607489073263,0.3171902906642554,5.760578422647722
PCT17OP09,fraction,0.17,full,full,2010-05-01,2026-08-28,0.4258136566979316,0.42150631552147355,0.4307341176458035
PCT17OP09,fraction,0.17,full,full,2010-11-01,2026-08-28,0.3864485216125395,0.34762338931737813,3.882513229516138
PCT17OP09,fraction,0.17,full,full,2011-05-01,2026-08-28,0.3540995383372407,0.31325227361749697,4.084726471974376
PCT17OP09,fraction,0.17,full,full,2011-11-01,2026-08-28,0.3751195881565159,0.3323652934000796,4.275429475643633
PCT17OP09,fraction,0.17,full,full,2012-05-01,2026-08-28,0.34215446572054664,0.39847921911522177,-5.632475339467513
PCT17OP09,fraction,0.17,full,full,2012-11-01,2026-08-28,0.38251877537823,0.5003010251284332,-11.778224975020324
PCT17OP09,fraction,0.17,full,full,2013-05-01,2026-08-28,0.5053612932724312,0.4931181239971951,1.2243169275236054
PCT17OP09,fraction,0.17,full,full,2013-11-01,2026-08-28,0.4788465659504042,0.41697297508389597,6.187359086650823
PCT17OP09,fraction,0.17,full,full,2014-05-01,2026-08-28,0.39998554196074676,0.4929665032489996,-9.298096128825284
PCT17OP09,fraction,0.17,full,full,2014-11-01,2026-08-28,0.5162747927495575,0.5279156947520107,-1.1640902002453268
PCT17OP09,fraction,0.17,full,full,2015-05-01,2026-08-28,0.4994498473127511,0.4970778116275161,0.237203568523503
PCT17OP09,fraction,0.17,full,full,2015-11-01,2026-08-28,0.6133065323439073,0.5936193389038193,1.9687193440087958
PCT17OP09,fraction,0.17,full,full,2016-05-01,2026-08-28,0.7075679957687504,0.7061667460063654,0.14012497623849818
PCT17OP09,fraction,0.17,A,A,2009-11-01,2026-08-28,0.4096159784674631,0.32484186578832164,8.477411267914148
PCT17OP09,fraction,0.17,A,A,2010-05-01,2026-08-28,0.4096990873270321,0.3577877601083479,5.191132721868419
PCT17OP09,fraction,0.17,A,A,2010-11-01,2026-08-28,0.40890580993851255,0.39384145779326096,1.5064352145251592
PCT17OP09,fraction,0.17,A,A,2011-05-01,2026-08-28,0.44564027658382277,0.4595414701476832,-1.3901193563860437
PCT17OP09,fraction,0.17,A,A,2011-11-01,2026-08-28,0.36922979410459744,0.4343883464327476,-6.515855232815015
PCT17OP09,fraction,0.17,A,A,2012-05-01,2026-08-28,0.4419981719866568,0.44367740634309305,-0.16792343564362433
PCT17OP09,fraction,0.17,A,A,2012-11-01,2026-08-28,0.5199829143180685,0.5076581123683039,1.2324801949764597
