arm,kind,value,eligible_share,eligible_delta_pp,eligible_company_days,observations,pv_cutoff_p10,pv_cutoff_median,pv_cutoff_p90,days_cutoff_above_base,signal_days,potential_new_entry_company_days,potential_addon_company_days,U_group,verdict,U_excellent,U_inferior_count,drawdown_gate_triggered,new_negative_starts,increased_negative_starts,engine_risk_gates_passed,full_cagr_level,full_cagr_delta_pp,full_cagr_better_starts,full_roll5_level,full_roll5_delta_pp,full_roll5_better_starts,full_roll5p25_level,full_roll5p25_delta_pp,full_roll5p25_better_starts,full_roll5dd_level,full_roll5dd_delta_pp,full_roll5dd_better_starts,full_mdd_level,full_mdd_delta_pp,full_mdd_better_starts,full_block5_level,full_block5_delta_pp,full_block5_better_starts,A_cagr_level,A_cagr_delta_pp,A_cagr_better_starts,A_roll5_level,A_roll5_delta_pp,A_roll5_better_starts,A_roll5p25_level,A_roll5p25_delta_pp,A_roll5p25_better_starts,A_roll5dd_level,A_roll5dd_delta_pp,A_roll5dd_better_starts,A_mdd_level,A_mdd_delta_pp,A_mdd_better_starts,A_block5_level,A_block5_delta_pp,A_block5_better_starts,U_cagr_level,U_cagr_delta_pp,U_cagr_better_starts,U_roll5_level,U_roll5_delta_pp,U_roll5_better_starts,U_roll5p25_level,U_roll5p25_delta_pp,U_roll5p25_better_starts,U_roll5dd_level,U_roll5dd_delta_pp,U_roll5dd_better_starts,U_mdd_level,U_mdd_delta_pp,U_mdd_better_starts,U_block5_level,U_block5_delta_pp,U_block5_better_starts
PCT16OP09,fraction,0.16,0.15521048857933012,-2.485506504148316,75766,488150,0.79184,0.9955,1.4519900000000001,1795,4088,21405,37259,U2,fail,False,10,True,0,0,False,0.4517893237766454,1.0358604786986692,9,0.5448620665356181,0.3731130966304508,8,0.31640155964503247,-2.1099022300014925,5,0.49845253553050645,4.332845684871906,3,0.6735404321065692,1.1586805314974358,6,0.6491202919706451,0.4055808697576657,7,0.4585949011214052,-0.12588660676425834,7,0.4823979806735026,-4.325743127293247,3,0.3759727320091195,-0.7639465181530247,4,0.5009733624539389,-0.9186897837579311,8,0.6250259819539689,-3.6140822983252994,9,0.6030877285485701,-5.541489451847331,4,0.42093509406201546,-0.407672586184582,7,0.4823979806735026,-4.112898731472403,3,0.3759727320091195,-0.7639465181530247,4,0.5009733624539389,-0.9186897837579311,8,0.6250259819539689,-3.6140822983252994,9,0.5436641907602986,-4.533365092610175,3
PCT17OP09,fraction,0.17,0.1653569599508348,-1.470859366997848,80719,488150,0.81042,1.0225,1.4648,1928,4088,22856,39746,U1,fail,False,12,False,0,0,True,0.4128995993293392,0.8275255225847045,10,0.4827387419607082,0.6997093399109144,8,0.3466891602326997,-1.34248665807013,6,0.4833524144521782,2.8550160476100537,3,0.6805966368465195,0.6781338227536904,4,0.6335736157193345,1.0599237100499204,9,0.4572962820622829,-2.4639535445906913,4,0.45631324888156,-7.24887438003875,5,0.37211483443583193,-0.6430394875127865,7,0.5314701311296072,1.6120634715750648,5,0.6390488647999878,-0.09322825898140374,7,0.588554585041208,-4.33546658041164,3,0.4572962820622829,-2.4639535445906913,4,0.45631324888156,-7.24887438003875,5,0.37211483443583193,-0.6430394875127865,7,0.5314701311296072,1.6120634715750648,5,0.6390488647999878,-0.09322825898140374,7,0.588554585041208,-4.33546658041164,3
PCT18OP09,fraction,0.18,0.17554849943664858,-0.4517054184164704,85694,488150,0.82901,1.0421,1.4864600000000001,2033,4088,24409,42337,U2,fail,False,9,True,0,1,False,0.4489265875368278,0.7697779210173006,8,0.51440564715584,0.3947394228542511,7,0.3114501392883541,-1.826522602165792,5,0.49412901923342156,3.4870143234932485,2,0.6960638171818198,1.8519713985302444,2,0.635593731073148,0.2792512991500573,7,0.478432200234978,-0.08738721964283158,7,0.4965167553236869,-3.8459660797145134,5,0.38991626994228645,-0.5859870370838016,7,0.5305824742273055,3.1590509854326543,5,0.6383255012356183,-0.13927058407851023,7,0.6363599866994163,-2.8252721057872296,6,0.4293384430372351,0.09453268319216113,8,0.4965167553236869,-3.6783946937165024,5,0.38991626994228645,-0.5859870370838016,7,0.5305824742273055,3.1590509854326543,5,0.6383255012356183,-0.13927058407851023,7,0.5782999286995556,-2.65584155145554,6
PCT20OP09,fraction,0.2,0.1967796783775479,1.6714124756734616,96058,488150,0.86077,1.09125,1.5521300000000005,2380,4088,27465,47500,U4,fail,False,11,True,1,1,False,0.46387486828166846,0.6999413392811737,9,0.5535245423254603,1.3443508417814831,9,0.39748080878476044,-0.5623055811986188,6,0.5511007959668657,5.702722091879503,2,0.6827546209090232,0.1993075135196143,7,0.6393051053480459,0.39622301882280553,8,0.49215925523726534,2.5286338446713352,8,0.5452713182602812,1.3168996768627483,8,0.4300166865371524,3.9651736016643624,10,0.559707564535334,3.2115404280952333,4,0.6384019812491227,-0.003289408715084763,7,0.6690684472552306,2.1256385244081244,11,0.3904649300229456,-1.922902072987842,5,0.3213680643431529,-6.163461210310361,3,0.25378049998675956,-5.039208162599651,4,0.44232969163326713,-6.479882688864647,12,0.6354113056528958,-0.47891605049866226,7,0.49388019611529266,-2.3787614970628423,2
FIX110FR09,fixed_control,1.1,0.20145651951244495,2.139096589163167,98341,488150,1.1,1.1,1.1,4088,4088,27275,47103,U1,pass,False,4,False,0,2,True,0.4647540445220246,0.6156155952758202,8,0.5592714491061296,0.7251646496826969,9,0.43758224507464205,0.18300256387115965,7,0.5271737447033521,0.3757069139725955,3,0.6833104760318471,0.3338314343356408,6,0.6295887721517588,-0.2158139538931403,7,0.48753507128739537,1.0778640502201342,11,0.5146885887443144,4.977804120549845,10,0.4016360495261282,2.0038759912633375,11,0.5448433880325858,1.9613916761315464,5,0.6279226691786672,-0.2610140637644143,7,0.6640450697994029,4.809220732088187,9,0.48753507128739537,1.0778640502201342,11,0.5146885887443144,4.977804120549845,10,0.4016360495261282,2.0038759912633375,11,0.5448433880325858,1.9613916761315464,5,0.6279226691786672,-0.2610140637644143,7,0.6640450697994029,4.809220732088187,9
PCT24OP09,fraction,0.24,0.23620813274608216,5.614257912526888,115305,488150,0.93077,1.1928,1.69219,2975,4088,33107,57158,U4,fail,False,12,True,0,2,False,0.4527535040697809,0.5553650575762181,7,0.5666746803171074,-0.21312618286719598,7,0.4472930093228207,1.3318849832500756,10,0.555914030512343,4.896261125429241,3,0.6651954278948824,-0.8799550077188745,8,0.6567327250330793,-0.23442347527801166,7,0.46824613810933335,0.0734228202359577,7,0.5131031093001025,-1.616129697664892,6,0.40897901724223096,3.0066282989573923,8,0.5273700734973366,1.0493231079561516,6,0.6374982743208522,-1.3470392715598412,8,0.6571548212258549,0.0843404372410761,8,0.38813564342105455,-3.343982208209295,2,0.31596827532077176,-6.307992788707539,1,0.23379422574645725,-5.357297372360758,0,0.4769324981481033,-2.7965334553887997,13,0.6267101995745366,-0.3428666805637137,7,0.4985380084079196,-4.60793218904238,4
PCT23OP09,fraction,0.23,0.22598996210181296,4.592440848099969,110317,488150,0.9149700000000001,1.1685500000000002,1.67029,2820,4088,31639,54582,U2,fail,False,5,True,0,2,False,0.44593058301755595,0.35045325207363476,7,0.5563500134447581,0.6342396771577552,9,0.36420938802984915,-0.1770851656988759,7,0.5505875405626381,5.742476221755116,2,0.6888140481917779,0.14320430673017692,7,0.6453976342940545,-0.38495250694247085,7,0.4632611184483165,-0.13088536280780882,7,0.4755775132589818,-0.3174880389457235,7,0.3973875340591122,2.6112954629070484,9,0.5225478426123769,0.22858159839795889,6,0.6396234839997008,-1.378975818503675,9,0.6283513814628578,0.6812222450242988,8,0.4172643386746324,0.06801739934321205,7,0.4756587195838805,-0.12607713509539265,7,0.3973875340591122,2.6112954629070484,8,0.5225478426123769,0.22858159839795889,6,0.6396234839997008,-1.378975818503675,9,0.5825449351705856,0.1653959339421196,7
BASE,fixed,1.0454,0.18006555362081328,0.0,87899,488150,1.0454,1.0454,1.0454,0,4088,24597,42402,A,pass,True,0,False,0,0,True,0.4572364093852366,0.0,0,0.5199538620061581,0.0,0,0.40994352866334094,0.0,0,0.4697761783723764,0.0,0,0.6689672533939561,0.0,0,0.6611546440962315,0.0,0,0.4891437005216345,0.0,0,0.526649672725389,0.0,0,0.3827618687625576,0.0,0,0.5011818936111451,0.0,0,0.6525676472556761,0.0,0,0.6256808214112366,0.0,0,0.4891437005216345,0.0,0,0.526649672725389,0.0,0,0.3827618687625576,0.0,0,0.5011818936111451,0.0,0,0.6525676472556761,0.0,0,0.6256808214112366,0.0,0
PCT21OP09,fraction,0.21,0.2059633309433576,2.5897777322544306,100541,488150,0.87526,1.11185,1.5882200000000002,2520,4088,28765,49754,U4,fail,False,11,True,1,3,False,0.4522160287954,-0.22014392066752597,6,0.5467881627351451,0.20999619434092232,8,0.4334349693435958,-0.30468666799966515,6,0.553873527338528,7.300982443624482,3,0.6928793216799953,0.7247118144024789,7,0.6434330976639859,-1.7660205631702897,6,0.49016210746419986,1.4721031208616453,8,0.5080053726012358,0.9657361075428805,7,0.4060400200765313,2.2831966696784667,10,0.5329102380220727,0.3280920199601911,6,0.6398026251784248,-0.21787153696561368,8,0.6706670175323314,2.6239024695005444,9,0.3967924346158809,-1.6497420632751392,4,0.3231518125027628,-6.221130967291211,1,0.23911267251839774,-4.608393964254809,1,0.46283232373132016,-4.431614413393098,12,0.6270541164370356,-1.9515816414212184,9,0.521476147475519,-1.4730096529903758,4
PCT22OP09,fraction,0.22,0.21596230666803237,3.589675304721909,105422,488150,0.89781,1.1376,1.6179299999999999,2670,4088,30177,52115,U4,fail,False,11,True,1,3,False,0.45950574751777395,-0.31866133791793594,7,0.5422821893976197,0.9608751865139875,7,0.39536306366066365,-0.285669933438526,7,0.552574062877462,7.690034611060426,4,0.6887058602591176,0.7355880398393466,7,0.6552446094187225,0.5758753240407588,7,0.4929997528188279,-0.2042525676507867,7,0.4972045008817665,-1.6177723964662771,5,0.4009885500596333,-0.02001383458457573,7,0.5314520572959442,3.8668617260948004,4,0.6260232867333118,-1.37018686686749,8,0.6302825153196479,-1.374260292779378,5,0.40567160803690827,-1.8600764117658986,4,0.3354254176647453,-5.383694361952907,4,0.2558703749053466,-3.808768470940882,2,0.46459438466030034,-4.11966245998327,13,0.6337985842036673,-0.8924693913731574,8,0.5154313480816357,-2.5471645548600708,5
