group,arm,metric,paired_delta_median,positive_starts
full,PCT16OP09,年化,-0.004239536761913465,7
full,PCT16OP09,最大回撤,-0.002489129103617871,7
full,PCT16OP09,Sharpe,-0.010969011648153504,6
full,PCT16OP09,Calmar,-0.008344407637987827,6
full,PCT16OP09,平均仓位,-0.0021080747851045523,4
full,PCT16OP09,年均换手,-0.2154817982357855,6
full,PCT16OP09,持仓数中位,0.0,4
full,PCT16OP09,单票权重中位,-0.0039007644091028637,6
full,PCT16OP09,单票权重P90,0.02488610462517027,10
full,PCT16OP09,单票权重最大,-0.010825984575002445,5
full,PCT16OP09,前三权重中位,0.014111451260160779,13
full,PCT16OP09,单票超60%天数占比,-0.016732837244618215,5
full,PCT16OP09,滚动3年年化中位,-0.002462359510849499,6
full,PCT16OP09,滚动3年回撤中位,0.01613628394233063,10
full,PCT16OP09,滚动3年Calmar中位,-0.04097054446895043,5
full,PCT16OP09,滚动3年Sharpe中位,-0.011674848124534842,5
full,PCT16OP09,滚动3年为负的窗口占比,0.0,5
full,PCT16OP09,滚动5年年化中位,-0.011868857663067556,6
full,PCT16OP09,滚动5年年化P25,-0.01777568478916225,4
full,PCT16OP09,滚动5年年化最差,-0.000549279919015766,7
full,PCT16OP09,滚动5年回撤中位,0.006152146478678122,9
full,PCT16OP09,滚动5年Calmar中位,0.03258626111526031,8
full,PCT16OP09,滚动5年Sharpe中位,-0.009445658344958141,5
full,PCT16OP09,滚动5年为负的窗口占比,0.0,1
full,PCT16OP09,滚动5年窗口数,0.0,0
full,PCT16OP09,互不重叠5年块中位,-0.007692666322168973,7
full,PCT16OP09,滚动10年年化中位,-0.015281038505888356,6
full,PCT16OP09,滚动10年窗口数,0.0,0
full,PCT16OP09,逐年收益中位,0.03647861155209947,9
full,PCT16OP09,逐年为正比例,0.0,3
full,PCT16OP09,逐年最差,-0.07216918250171594,5
full,PCT16OP09,完整自然年数,0.0,0
full,PCT16OP09,强平次数,0.0,0
full,PCT16OP09,最低担保比例,0.030798201376338374,9
full,PCT16OP09,最低股票同跌缓冲,0.011955917367691443,9
full,PCT16OP09,最低总资产冲击缓冲,0.01195591736769136,9
full,PCT16OP09,rf覆盖率,0.0,0
full,PCT16OP09,年化_交易日口径,-0.004259588285635663,7
full,PCT16OP09,最低担保比例日,0.0,3
full,PCT16OP09,最低股票同跌缓冲日,0.0,3
