security_code,security_name,ex_dividend_date,cash_per_share,share_ratio,plan,report_date
600883,博闻科技,1996-07-19,0.200000,0.000000,10派2.00元(含税),1995-12-31
600883,博闻科技,2000-03-23,0.000000,0.500000,10送5.00,1999-12-31
600883,博闻科技,2001-06-26,0.040000,0.000000,"10派0.40元(含税,扣税后0.32元)",2000-12-31
600883,博闻科技,2002-05-27,0.030000,0.800000,"10转8.00派0.30元(含税,扣税后0.24元)",2001-12-31
600883,博闻科技,2003-08-21,0.020000,0.000000,"10派0.20元(含税,扣税后0.16元)",2002-12-31
600883,博闻科技,2007-06-12,0.050000,0.000000,"10派0.50元(含税,扣税后0.45元)",2006-12-31
600883,博闻科技,2010-05-26,0.050000,0.000000,"10派0.50元(含税,扣税后0.45元)",2009-12-31
600883,博闻科技,2011-06-23,0.060000,0.000000,"10派0.60元(含税,扣税后0.54元)",2010-12-31
600883,博闻科技,2012-06-21,0.050000,0.000000,"10派0.50元(含税,扣税后0.45元)",2011-12-31
600883,博闻科技,2013-06-27,0.020000,0.000000,"10派0.20元(含税,扣税后0.18元)",2012-12-31
600883,博闻科技,2014-06-26,0.020000,0.000000,"10派0.20元(含税,扣税后0.18元)",2013-12-31
600883,博闻科技,2015-06-02,0.020000,0.000000,"10派0.20元(含税,扣税后0.18元)",2014-12-31
600883,博闻科技,2016-06-07,0.100000,0.000000,"10派1.00元(含税,扣税后0.90元)",2015-12-31
600883,博闻科技,2017-06-16,0.020000,0.000000,"10派0.20元(含税,扣税后0.18元)",2016-12-31
600883,博闻科技,2018-06-01,0.040000,0.000000,"10派0.40元(含税,扣税后0.36元)",2017-12-31
600883,博闻科技,2019-06-06,0.020000,0.000000,"10派0.20元(含税,扣税后0.18元)",2018-12-31
600883,博闻科技,2020-06-05,0.010000,0.000000,"10派0.10元(含税,扣税后0.09元)",2019-12-31
600883,博闻科技,2021-06-23,0.030000,0.000000,"10派0.30元(含税,扣税后0.27元)",2020-12-31
600883,博闻科技,2022-07-06,0.070000,0.000000,"10派0.70元(含税,扣税后0.63元)",2021-12-31
600883,博闻科技,2023-06-29,0.105000,0.000000,"10派1.05元(含税,扣税后0.945元)",2022-12-31
600883,博闻科技,2024-07-04,0.050000,0.000000,"10派0.50元(含税,扣税后0.45元)",2023-12-31
600883,博闻科技,2025-06-30,0.060000,0.000000,"10派0.60元(含税,扣税后0.54元)",2024-12-31
600883,博闻科技,2026-06-26,0.035000,0.000000,"10派0.35元(含税,扣税后0.315元)",2025-12-31
