tag,group,rank,peak,trough,recovery,drawdown,peak_to_trough_sessions,recovery_sessions,index_same_interval,exposure_peak,exposure_trough,exposure_median,exposure_max,top1_peak,top3_peak,top3_stock_share_peak,cap_days,spread_min,spread_max,vol20_peak,vol20_trough
BASE20091101,full,1,2011-07-13,2013-06-25,2014-12-01,0.4628639095528936,469,820,-0.30288289738430585,0.9261579534502871,1.4581108671140564,1.5204742283680808,2.079249701738117,0.6213559838245881,0.8902473345389464,0.961226247879684,0,0.035395534142640364,0.07371925408942202,0.14920267104654816,0.5573552835469617
BASE20100501,full,1,2011-07-13,2013-06-25,2014-12-01,0.45961223592520717,469,820,-0.30288289738430585,0.8919437780284112,1.450463700098982,1.5133617059466091,2.080025036841828,0.6218523577650784,0.8919437780284112,1.0,0,0.035395534142640364,0.07371925408942202,0.1509392888384064,0.5569533055640085
BASE20101101,full,1,2011-07-13,2013-06-25,2014-12-04,0.5103950402387067,469,823,-0.30288289738430585,0.815695005136686,1.352109728147881,1.3444960094939087,2.10373775888516,0.6217998964828814,0.8156950051366861,1.0000000000000002,0,0.035395534142640364,0.07371925408942202,0.1452996268938391,0.5563368322602268
BASE20110501,full,1,2024-05-29,2024-09-11,2025-09-12,0.4939228105428485,74,317,-0.1182752551528703,1.6660007762485143,1.6660736936197815,1.7407910456371476,1.8492206114336427,0.6103103466313606,1.457072552401597,0.87459296128458,0,0.06295652278589853,0.07037703130755064,0.4059595901895065,0.3796833154373073
BASE20111101,full,1,2024-05-29,2024-09-11,2024-11-07,0.47500191750839327,74,108,-0.1182752551528703,1.6660017949047483,1.6967467570838854,1.7440171667879212,1.9065755114950373,0.6119633999817261,1.4451393174482334,0.8674296281480642,0,0.06295652278589853,0.07037703130755064,0.39221394534535614,0.35510332218937246
BASE20120501,full,1,2013-02-08,2013-06-25,2014-12-04,0.5038263927174981,84,438,-0.21874785783608064,1.6659679331368717,1.2182285444070744,1.8791005588153076,2.1633821514110867,0.5906415209238626,1.6611365692912003,0.9970999658819517,0,0.0540360900900901,0.06825110256410256,0.42844478568853145,0.5747365335481017
BASE20121101,full,1,2013-02-08,2013-06-25,2014-12-04,0.4875190785980733,84,438,-0.21874785783608064,1.6658969935268075,1.1830747320604675,1.8419509100943028,1.9841823058415056,0.6263610863845801,1.6228650018690782,0.9741688760920159,0,0.0540360900900901,0.06825110256410256,0.4328188959988118,0.5566604076449551
BASE20130501,full,1,2015-06-09,2016-06-13,2017-03-21,0.45219742546726416,246,434,-0.4233449804982078,0.29957900419140493,1.7105211420846804,0.8264179972899472,1.7547433318129388,0.21527996306543143,0.299579004191405,1.0000000000000002,38,0.025245510403916767,0.06896388693957116,0.14622808904048618,0.2928396238332841
BASE20131101,full,1,2015-04-27,2016-06-13,2017-03-21,0.4597123912645773,276,464,-0.3621877073544125,1.6656098942538704,1.710613876532761,0.7201455670858867,1.7547348344244678,0.6422689474823037,1.4857699920127074,0.8920275973013931,64,0.025245510403916767,0.06896388693957116,0.6110323434310775,0.292865626070323
BASE20140501,full,1,2021-09-22,2021-11-16,2022-03-29,0.45566442120355466,34,123,0.012765021973258683,1.6660029104254104,2.0812411467601897,1.8495270637409273,2.0812411467601897,0.6133693503803357,1.4135229632659292,0.8484516770171722,0,0.049194598263614844,0.05213017727639001,0.9094998881115591,0.7591346329336778
BASE20141101,full,1,2015-04-27,2016-05-30,2017-03-21,0.46095839875513556,268,464,-0.3621107457166689,1.6659666790952268,1.6691437172445651,0.6610079861181011,1.733858331608797,0.6352589056445639,1.1802462478626157,0.7084452904565882,64,0.025245510403916767,0.06896388693957116,0.5714081244315643,0.2548069052785509
