tag,rank,peak,trough,code,name,pnl_over_peak,share_of_net_loss
BASE20091101,1,2011-07-13,2013-06-25,601088,中国神华,-0.08200526594338302,0.1771692807559711
BASE20091101,1,2011-07-13,2013-06-25,600660,福耀玻璃,-0.0819377745504004,0.17702346814973913
BASE20091101,1,2011-07-13,2013-06-25,000338,潍柴动力,-0.07707295465084515,0.16651320844023954
BASE20091101,1,2011-07-13,2013-06-25,002128,电投能源,-0.04191034184059639,0.09054571111642719
BASE20091101,1,2011-07-13,2013-06-25,000792,盐湖股份,-0.03569891755090458,0.07712616346646725
BASE20091101,1,2011-07-13,2013-06-25,600585,海螺水泥,-0.025358833212279733,0.05478680166871351
BASE20091101,1,2011-07-13,2013-06-25,600897,厦门空港,-0.01637280753704627,0.035372832487332376
BASE20091101,1,2011-07-13,2013-06-25,600066,宇通客车,-0.01633674497184064,0.0352949206768383
BASE20091101,1,2011-07-13,2013-06-25,000933,神火股份,-0.015861645858612047,0.03426848698126779
BASE20091101,1,2011-07-13,2013-06-25,002001,新 和 成,-0.013511373941428458,0.029190813244609752
BASE20091101,1,2011-07-13,2013-06-25,600309,万华化学,-0.011699582606823687,0.025276506474926883
BASE20091101,1,2011-07-13,2013-06-25,002024,ST易购,-0.006015799983464606,0.012996908722642921
BASE20091101,1,2011-07-13,2013-06-25,000651,格力电器,-0.0003501493761307172,0.0007564845063615917
BASE20091101,1,2011-07-13,2013-06-25,601939,建设银行,-1.4102679130693526e-06,3.046830577980491e-06
BASE20091101,1,2011-07-13,2013-06-25,000022,000022,2.2967220298553344e-05,-4.961981226995788e-05
BASE20091101,1,2011-07-13,2013-06-25,RESIDUAL,未分摊费用税息等,-0.038753274481523416,0.08372498629015468
BASE20091101,2,2015-04-27,2016-06-13,601088,中国神华,-0.15174602525181943,0.33214906650561715
BASE20091101,2,2015-04-27,2016-06-13,000792,盐湖股份,-0.11978262614197438,0.262186026886863
BASE20091101,2,2015-04-27,2016-06-13,600188,兖矿能源,-0.0383520477896664,0.08394682398288239
BASE20091101,2,2015-04-27,2016-06-13,000338,潍柴动力,-0.038306943369478076,0.0838480972384028
BASE20091101,2,2015-04-27,2016-06-13,600585,海螺水泥,-0.03712658894881965,0.08126448018275427
BASE20091101,2,2015-04-27,2016-06-13,600660,福耀玻璃,-0.01674713517009944,0.03665694244156306
BASE20091101,2,2015-04-27,2016-06-13,000333,美的集团,-0.013056944764810096,0.028579674544029477
BASE20091101,2,2015-04-27,2016-06-13,002304,洋河股份,-0.01269060478032949,0.02777781180220813
BASE20091101,2,2015-04-27,2016-06-13,601398,工商银行,-0.00893496587298502,0.019557287046211697
BASE20091101,2,2015-04-27,2016-06-13,002128,电投能源,-0.006417071790083838,0.014045998247656379
BASE20091101,2,2015-04-27,2016-06-13,600031,三一重工,-0.0026441027389268942,0.0057875404316000915
BASE20091101,2,2015-04-27,2016-06-13,601288,农业银行,-0.0023927319331443243,0.00523732780923393
BASE20091101,2,2015-04-27,2016-06-13,600690,海尔智家,-0.0012438773511788594,0.0027226591296603607
BASE20091101,2,2015-04-27,2016-06-13,601225,陕西煤业,-0.0006207875186936696,0.0013588098567344088
BASE20091101,2,2015-04-27,2016-06-13,000568,泸州老窖,-0.0003604167589988208,0.0007888976983468169
BASE20091101,2,2015-04-27,2016-06-13,600309,万华化学,4.123234699347687e-05,-9.025136270285817e-05
BASE20091101,2,2015-04-27,2016-06-13,600519,贵州茅台,0.0006837871960796454,-0.0014967066088844684
BASE20091101,2,2015-04-27,2016-06-13,601009,南京银行,0.001440599599601025,-0.0031532543367893528
BASE20091101,2,2015-04-27,2016-06-13,000651,格力电器,0.0028565435115076782,-0.006252541107455312
BASE20091101,2,2015-04-27,2016-06-13,600887,伊利股份,0.003178448839811907,-0.006957143116779783
BASE20091101,2,2015-04-27,2016-06-13,RESIDUAL,未分摊费用税息等,-0.01463895380491684,0.03204245272884788
BASE20091101,3,2021-09-22,2021-11-16,002128,电投能源,-0.22652175899597737,0.5252695195691351
BASE20091101,3,2021-09-22,2021-11-16,601088,中国神华,-0.09946140663867217,0.23063588024536524
BASE20091101,3,2021-09-22,2021-11-16,600585,海螺水泥,-0.08191256557064357,0.1899427858704351
BASE20091101,3,2021-09-22,2021-11-16,601225,陕西煤业,-0.0188201998308472,0.04364118205315446
BASE20091101,3,2021-09-22,2021-11-16,000338,潍柴动力,-0.0016506219216145055,0.0038275412816838085
BASE20091101,3,2021-09-22,2021-11-16,601169,北京银行,3.4445365643042246e-07,-7.987356597838046e-07
BASE20091101,3,2021-09-22,2021-11-16,601328,交通银行,0.0007039156507481726,-0.001632273373315337
BASE20091101,3,2021-09-22,2021-11-16,RESIDUAL,未分摊费用税息等,-0.003586333912176273,0.008316163089201425
BASE20091101,4,2020-01-02,2020-03-23,002466,天齐锂业,-0.1713022529214816,0.3994116887515625
BASE20091101,4,2020-01-02,2020-03-23,600309,万华化学,-0.09579928676340232,0.2233674937416275
BASE20091101,4,2020-01-02,2020-03-23,002128,电投能源,-0.08865539298246411,0.20671065105191586
BASE20091101,4,2020-01-02,2020-03-23,000338,潍柴动力,-0.03503969807665657,0.0816992464690886
BASE20091101,4,2020-01-02,2020-03-23,600585,海螺水泥,-0.0292890173604521,0.06829084665438752
BASE20091101,4,2020-01-02,2020-03-23,600566,济川药业,-0.0014253733039838144,0.0033234283188705045
BASE20091101,4,2020-01-02,2020-03-23,600066,宇通客车,-0.0010962576325611905,0.0025560557719503693
BASE20091101,4,2020-01-02,2020-03-23,601225,陕西煤业,-0.00013894244991575342,0.000323960938129444
BASE20091101,4,2020-01-02,2020-03-23,600016,民生银行,-9.364993560496326e-07,2.183560244744617e-06
BASE20091101,4,2020-01-02,2020-03-23,RESIDUAL,未分摊费用税息等,-0.006139271089755388,0.014314444742222932
