tag,rank,point,name,equity_weight,date,code,shares,price,market_value,ma20,ma60,entry_stop,avg_cost
BASE20091101,1,peak,格力电器,0.6213559838245881,2011-07-13,000651,126400.0,24.4,3084160.0,22.96049999999974,22.251999999999995,13.144333333333353,20.889655146959196
BASE20091101,1,peak,中国神华,0.19521331386396065,2011-07-13,601088,32000.0,30.28,968960.0,29.864,28.46433333333336,28.23433333333336,30.1581875
BASE20091101,1,peak,福耀玻璃,0.07367803685039767,2011-07-13,600660,35300.0,10.36,365708.0,10.181999999999963,10.314999999999989,8.90516666666666,11.19659891186817
BASE20091101,1,peak,神火股份,0.03591061891134077,2011-07-13,000933,11260.0,15.83,178245.8,14.8565,15.37662499999999,11.688139880952383,12.756361744295319
BASE20091101,1,trough,格力电器,1.1410981503707516,2013-06-25,000651,127400.0,23.88,3042312.0,25.71099999999973,26.707999999999995,12.644333333333353,20.410850946433612
BASE20091101,1,trough,福耀玻璃,0.21729951800505476,2013-06-25,600660,79800.0,7.26,579348.0,7.978999999999971,7.879999999999989,6.601499999999984,7.115325814536341
BASE20091101,1,trough,宇通客车,0.09971319873825023,2013-06-25,600066,15200.0,17.49,265848.0,18.030500000000075,16.716574074074042,16.66711111111108,17.495
BASE20091101,2,peak,中国神华,0.6419729916006766,2015-04-27,601088,251000.0,24.44,6134440.0,21.589999999999993,19.72583333333336,13.010333333333357,17.306258964143428
BASE20091101,2,peak,洋河股份,0.41868727455577087,2015-04-27,002304,40700.0,98.3,4000810.0,90.0600000000001,82.6794999999999,39.29168233333326,77.68251991400491
BASE20091101,2,peak,海螺水泥,0.3534903526076786,2015-04-27,600585,134200.0,25.17,3377814.0,24.153499999999973,21.614333333333324,15.449499999999993,22.910193740685543
BASE20091101,2,peak,格力电器,0.10031411421005466,2015-04-27,000651,18700.0,51.26,958562.0,45.855499999999715,42.29199999999999,40.65599999999999,43.85850267379679
BASE20091101,2,peak,电投能源,0.05630224656645875,2015-04-27,002128,36900.0,14.58,538002.0,12.39700000000001,10.930666666666689,6.732500000000021,9.11840108401084
BASE20091101,2,peak,泸州老窖,0.036385767161086595,2015-04-27,000568,13200.0,26.34,347688.0,25.381499999999985,22.245666666666718,20.48816666666672,25.03219696969697
BASE20091101,2,peak,潍柴动力,0.03635688358806578,2015-04-27,000338,10200.0,34.06,347412.0,33.3645,29.154499999999977,16.96983333333331,17.24
BASE20091101,2,peak,三一重工,0.022485547644821073,2015-04-27,600031,18700.0,11.49,214863.0,10.732500000000023,9.247999999999994,5.715499999999996,6.616470588235295
