tag,group,rank,peak,trough,recovery,drawdown,peak_to_trough_sessions,recovery_sessions,index_same_interval,exposure_peak,exposure_trough,exposure_median,exposure_max,top1_peak,top3_peak,top3_stock_share_peak,cap_days,spread_min,spread_max,vol20_peak,vol20_trough
BASE20091101,full,1,2011-07-13,2013-06-25,2014-12-01,0.4628639095528936,469,820,-0.30288289738430585,0.9261579534502871,1.4581108671140564,1.5204742283680808,2.079249701738117,0.6213559838245881,0.8902473345389464,0.961226247879684,0,0.035395534142640364,0.07371925408942202,0.14920267104654816,0.5573552835469617
BASE20091101,full,2,2015-04-27,2016-06-13,2017-03-21,0.45686121249193146,276,464,-0.3621877073544125,1.665995177934613,1.7108205296534624,0.6974471012148606,1.7555807899915403,0.6419729916006766,1.414150618764126,0.8488323600775923,64,0.025245510403916767,0.06896388693957116,0.5873224834654646,0.2935885748134404
BASE20091101,full,3,2021-09-22,2021-11-16,2022-03-29,0.43124862676552644,34,123,0.012765021973258683,1.666001078625357,1.9563062023147306,1.8187348736299516,1.9563062023147306,0.6347632527815954,1.482584988310061,0.8899063796125298,0,0.049194598263614844,0.05213017727639001,0.872220999006712,0.6750516133835508
BASE20091101,full,4,2020-01-02,2020-03-23,2020-07-09,0.42888642908002894,51,123,-0.14978180451996992,1.6660233342207715,1.5136930135310385,1.680762786398634,2.0680892606358507,0.4833741426250179,1.166281353827786,0.7000390269883443,0,0.04993581300813008,0.05905442350907519,0.21853043643077436,0.9273769335808255
BASE20091101,full,5,2024-05-29,2024-09-11,2024-11-07,0.37707672643905554,74,108,-0.1182752551528703,1.666024158166139,1.8207403383143879,1.7076683150823921,1.8207403383143879,0.6283423301447976,1.3299975511941489,0.798306281859761,0,0.06295652278589853,0.07037703130755064,0.35796931839615814,0.3770000276904966
BASE20091101,full,6,2026-03-12,2026-06-30,,0.35015631575165473,73,,0.06226480301052151,1.666001458252242,1.7465382595694892,1.6712121066946233,1.909070270055882,0.6357087504919318,1.4574314550838234,0.8748080308481699,0,0.054729166064981946,0.057141754688672164,0.4792737384093341,0.39559045412129135
BASE20091101,full,7,2018-06-12,2019-01-03,2019-02-25,0.3374349157937221,138,170,-0.22507089742416908,1.2869565441125115,1.7903495537863394,1.6659780763354735,1.7903495537863394,0.6460179029109875,1.2835354344990386,0.9973417054141233,0,0.04355227490039841,0.06679302775024776,0.3820994622700655,0.29322479018332165
BASE20091101,full,8,2024-11-07,2025-04-09,2025-07-22,0.2838312728294904,101,171,-0.11069541935017002,1.6660248421447452,1.6660453651381673,1.7092003473606638,1.7676363392925407,0.6124909957629049,1.093506882348388,0.6563568889769192,0,0.06436090987124463,0.06887987563884157,0.3970071399915457,0.5450088674634125
BASE20091101,full,9,2015-01-05,2015-02-06,2015-04-07,0.28350897985823487,24,60,-0.09037934500238909,1.6659362453006394,1.8578028183860722,1.7443929113818755,1.8578028183860722,0.6238547264056102,1.3655604951942601,0.8196955309942412,0,0.04227393563579278,0.045237821829855536,0.8618775939024308,0.7804388091303859
BASE20091101,full,10,2021-05-10,2021-07-28,2021-08-31,0.26244184013953,56,80,-0.046458430981367815,1.6660025488472177,1.781253527246455,1.7592396600506335,1.8562551433900274,0.6406242372123695,1.5604672830164654,0.9366535988172546,0,0.03905440223463687,0.04232449704142012,0.4592324204491893,0.3414329829433014
BASE20091101,full,11,2022-04-14,2022-04-26,2023-05-05,0.2607213144457047,8,256,-0.09720701312396063,1.6660017609461542,1.6660191551355117,1.673854442070121,1.760443575507539,0.5863869909222095,1.4714184727886506,0.883203431881731,0,0.057446232081911255,0.057446232081911255,0.43248316202685066,0.6932939151549379
BASE20091101,full,12,2019-04-19,2019-06-05,2019-11-25,0.2569503675993764,30,146,-0.12704429683954555,1.665985647639772,1.7374724257255147,1.7119715840080254,1.7889795041837637,0.5896331819051471,1.3001247161898473,0.7803937074918709,0,0.047630592502037494,0.05435701393728222,0.6674160403851659,0.5853362163008986
BASE20091101,full,13,2020-07-20,2020-09-25,2020-11-23,0.2457424692008695,49,84,-0.023562592141529337,1.666002325328492,1.7581071300729378,1.7029240395757783,1.7939864515334678,0.4993366022091979,1.3360872106475354,0.8019719962780328,0,0.03902715224913496,0.05254544426494346,0.7526691623990284,0.4169101103512003
BASE20091101,full,14,2021-01-08,2021-02-05,2021-03-15,0.23655440120114024,20,41,-0.0021872719696184317,1.6659936429304283,1.8338241829305577,1.68627686828053,1.8338241829305577,0.5978849606242388,1.31234652160301,0.7877260079424044,0,0.03090992476489029,0.03242796040868455,0.6229778120486363,0.3829326395533448
