tag,indicator,observation_days,active_days,active_fraction,state_entries,holding_ma_coverage_min
BASE20091101,vol20_gt40_3d,4089,1435,0.35094155050134507,48,0.0
BASE20091101,held_below_ma60_gt50_3d,4089,860,0.2103203717290291,92,0.0
BASE20091101,account_dd_gt10_3d,4089,2225,0.5441428222059184,46,0.0
BASE20091101,index_below_ma120_3d,4089,1871,0.4575690877965273,43,0.0
BASE20111101,vol20_gt40_3d,3603,1397,0.3877324451845684,50,0.3613635473073426
BASE20111101,held_below_ma60_gt50_3d,3603,778,0.21593116847071883,69,0.3613635473073426
BASE20111101,account_dd_gt10_3d,3603,2053,0.5698029419927838,43,0.3613635473073426
BASE20111101,index_below_ma120_3d,3603,1592,0.4418540105467666,37,0.3613635473073426
