臂                          Δ主(全)     符   Δ复利(全)     符   Δ主(去)   Δ复利(去)    ΔP25    Δ滚5回撤    |滚5中位      年化   滚5P25    滚5回撤    换手   |去:滚5    去:年化  判定
BASE                       +0.00  0/14    +0.00  0/14   +0.00    +0.00   +0.00    +0.00    51.73   44.74   41.70    46.1  6.59   51.44   48.88  
EBDS03_M10                 -3.17  6/14    +0.78  7/14   -0.13    +0.55   -2.94    -0.29    51.57   44.94   43.73    51.0  7.46   47.64   49.14  不采纳（主读数 -3.17pp < −1pp；回撤通道未过：主读数 -3.17pp < −1pp）
EBDS03_M11                 -4.51  5/14    -1.91  6/14   -0.15    +0.97   -2.52    +0.06    51.15   48.04   44.45    49.4  7.13   48.44   49.41  不采纳（主读数 -4.51pp < −1pp；回撤通道未过：主读数 -4.51pp < −1pp；复利读数 -1.91pp < −0.15pp）
EBDS03_M12                 -1.76  4/14    -1.31  6/14   +0.35    +0.98   -0.77    +2.16    48.08   42.43   41.93    51.1  6.74   48.88   49.16  不采纳（主读数 -1.76pp < −1pp；回撤通道未过：主读数 -1.76pp < −1pp；复利读数 -1.31pp < −0.15pp）
EBDS03_M13                 -1.04  6/14    +0.67  8/14   +0.03    +1.28   +1.55    +2.73    54.41   51.03   48.35    50.1  6.81   48.37   49.33  不采纳（主读数 -1.04pp < −1pp；回撤通道未过：主读数 -1.04pp < −1pp）
EBDS03_M14                 +0.64  7/14    +1.31  8/14   +2.12    +1.86   +0.59    +0.56    52.96   47.66   43.50    48.2  6.67   51.50   49.12  可采纳
EBDS03_M15                 -0.86  6/14    +1.87  9/14   +2.12    +2.88   +2.02    +0.12    50.88   46.54   43.81    47.2  6.53   51.90   49.90  可采纳·回撤通道（ΔMDD -11.1／-10.3pp；回撤段 2011-03~2014-03×2 -11.5、2015-06~2016-06×22 -10.4、2018-07~2019-01×1 +1.9、2020-01~2020-03×3 -1.3）
EBDS03_M16                 +0.31  7/14    +3.05  9/14   +1.55    +2.51   +3.10    -0.02    53.17   48.38   46.18    45.9  6.38   51.50   49.87  可采纳
EBDS03_M17                 -0.99  6/14    +1.41  7/14   +3.97    +2.63   +1.05    +0.47    51.46   47.78   40.84    46.8  6.47   53.85   50.05  可采纳·回撤通道（ΔMDD -11.8／-10.4pp；回撤段 2011-03~2014-03×2 -11.2、2015-06~2016-06×22 -11.4、2018-07~2019-01×1 +7.7、2020-01~2020-03×3 -0.1）
EBDS03_M18                 +0.29  7/14    +0.30  7/14   +1.46    +1.45   +3.53    +0.35    47.79   45.54   40.34    46.0  5.82   50.91   48.46  可采纳
EBDS03_M19                 -3.26  6/14    -0.36  7/14   +1.79    +1.29   -0.52    -0.85    48.50   44.62   41.43    44.3  5.70   53.01   48.31  不采纳（主读数 -3.26pp < −1pp；回撤通道未过：主读数 -3.26pp < −1pp；复利读数 -0.36pp < −0.15pp）
EBDS03_M20                 -6.39  3/14    -3.32  4/14   +3.34    +0.22   -6.15    -2.73    46.63   42.63   37.83    43.3  5.61   52.10   46.91  不采纳（主读数 -6.39pp < −1pp；回撤通道未过：主读数 -6.39pp < −1pp；复利读数 -3.32pp < −0.15pp）
