group,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,min_ratio_delta,turnover_delta,negative_flips,forced_delta,identical_nav_paths,cagr_positive,P_positive,track_a_pass
full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11,3,3,True
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,1,2,
