group,arm,metric,level_median,paired_delta_median,positive_starts,finite_delta_starts
full,BASE,年化,0.4247014055052134,0.0,0,14
full,BASE,最大回撤,0.4720834518567812,0.0,0,14
full,BASE,Sharpe,0.9748229620674826,0.0,0,14
full,BASE,Calmar,0.8556461110483651,0.0,0,14
full,BASE,平均仓位,1.5769298670414598,0.0,0,14
full,BASE,年均换手,6.19652610165341,0.0,0,14
full,BASE,持仓数中位,7.0,0.0,0,14
full,BASE,单票权重中位,0.6285206244964142,0.0,0,14
full,BASE,单票权重P90,0.7306962656665683,0.0,0,14
full,BASE,单票权重最大,0.9273956186492893,0.0,0,14
full,BASE,前三权重中位,1.4260112599418688,0.0,0,14
full,BASE,单票超60%天数占比,0.706721151841908,0.0,0,14
full,BASE,滚动3年年化中位,0.4482649695867226,0.0,0,14
full,BASE,滚动3年回撤中位,0.43106911898843636,0.0,0,14
full,BASE,滚动3年Calmar中位,1.0845896098352905,0.0,0,14
full,BASE,滚动3年Sharpe中位,0.9854542832868527,0.0,0,14
full,BASE,滚动3年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年年化中位,0.45779159523343194,0.0,0,14
full,BASE,滚动5年年化P25,0.38690618547051636,0.0,0,14
full,BASE,滚动5年年化最差,0.26217808990612934,0.0,0,14
full,BASE,滚动5年回撤中位,0.45527658243538105,0.0,0,14
full,BASE,滚动5年Calmar中位,1.0400729526618764,0.0,0,14
full,BASE,滚动5年Sharpe中位,1.0173225173595934,0.0,0,14
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年窗口数,102.0,0.0,0,14
full,BASE,互不重叠5年块中位,0.5562637540908454,0.0,0,14
full,BASE,滚动10年年化中位,0.432991373594219,0.0,0,14
full,BASE,滚动10年窗口数,42.0,0.0,0,14
full,BASE,逐年收益中位,0.3831216390196929,0.0,0,14
full,BASE,逐年为正比例,0.8,0.0,0,14
full,BASE,逐年最差,-0.17285067540687216,0.0,0,14
full,BASE,完整自然年数,12.5,0.0,0,14
full,BASE,强平次数,0.0,0.0,0,14
full,BASE,最低担保比例,1.8684252454676047,0.0,0,14
full,BASE,最低股票同跌缓冲,0.3042268194251845,0.0,0,14
full,BASE,最低总资产冲击缓冲,0.30422681942518454,0.0,0,14
full,BASE,rf覆盖率,1.0,0.0,0,14
full,BASE,年化_交易日口径,0.42638295758825073,0.0,0,14
full,BASE,最低担保比例日,20165470.0,0.0,0,14
full,BASE,最低股票同跌缓冲日,20165470.0,0.0,0,14
full,BASE,滚动5年年化最差窗口末日,20181228.0,0.0,0,14
full,BASE,最大回撤起日,20175669.5,0.0,0,14
full,BASE,最大回撤止日,20180468.0,0.0,0,14
full,BASE,末次净值日,20260828.0,0.0,0,14
full,BASE,最低现金,0.0,0.0,0,14
full,BASE,负现金日数,0.0,0.0,0,14
full,BASE,最低现金日,20145818.5,0.0,0,14
full,BASE,滚动5年窗口年化,,0.0,0,14
full,BOTH1,年化,0.3948147080267361,-0.04539570890809774,0,14
full,BOTH1,最大回撤,0.47889128130353,0.004754455781423861,8,14
full,BOTH1,Sharpe,0.9180854424309628,-0.08647320325464353,0,14
full,BOTH1,Calmar,0.8201201429763856,-0.08602868395847635,2,14
full,BOTH1,平均仓位,1.5570730226667118,-0.02056546014872429,0,14
full,BOTH1,年均换手,5.085657181550926,-1.2185012930634622,0,14
full,BOTH1,持仓数中位,8.0,1.0,12,14
full,BOTH1,单票权重中位,0.6105463821818482,-0.018149656832302685,0,14
full,BOTH1,单票权重P90,0.7224696779641825,-0.007482282993052314,6,14
full,BOTH1,单票权重最大,0.9409226705246203,-0.019906485987539912,3,14
full,BOTH1,前三权重中位,1.3202295612165331,-0.10808922155883582,0,14
full,BOTH1,单票超60%天数占比,0.56193996661124,-0.12690762500055242,0,14
full,BOTH1,滚动3年年化中位,0.4029356448800059,-0.06325662372870167,1,14
full,BOTH1,滚动3年回撤中位,0.4586130927959832,0.02824216149838199,12,14
full,BOTH1,滚动3年Calmar中位,0.9090239580737378,-0.2043610181763506,0,14
full,BOTH1,滚动3年Sharpe中位,0.9025648672562083,-0.0993706806499201,1,14
full,BOTH1,滚动3年为负的窗口占比,0.0,0.0,3,14
full,BOTH1,滚动5年年化中位,0.4084083344652317,-0.05633616860061841,1,14
full,BOTH1,滚动5年年化P25,0.3444631026522055,-0.06704104126963639,0,14
full,BOTH1,滚动5年年化最差,0.18889480943791515,-0.0704822320649976,0,14
full,BOTH1,滚动5年回撤中位,0.4743907157303959,0.020238572491225515,13,14
full,BOTH1,滚动5年Calmar中位,0.8823391753422504,-0.1940676050756422,0,14
full,BOTH1,滚动5年Sharpe中位,0.9078448639201104,-0.11003543655571751,0,14
full,BOTH1,滚动5年为负的窗口占比,0.0,0.0,1,14
full,BOTH1,滚动5年窗口数,102.0,0.0,0,14
full,BOTH1,互不重叠5年块中位,0.5063441209592413,-0.05790137120036265,1,14
full,BOTH1,滚动10年年化中位,0.38858859484518027,-0.05848091421139345,1,14
full,BOTH1,滚动10年窗口数,42.0,0.0,0,14
full,BOTH1,逐年收益中位,0.4069317384505903,0.0012225970896062033,7,14
full,BOTH1,逐年为正比例,0.7303030303030302,-0.07179487179487187,0,14
full,BOTH1,逐年最差,-0.23333684716723058,-0.05471931959923093,3,14
full,BOTH1,完整自然年数,12.5,0.0,0,14
full,BOTH1,强平次数,0.0,0.0,0,14
full,BOTH1,最低担保比例,1.8025577884278365,-0.05795300198191844,2,14
full,BOTH1,最低股票同跌缓冲,0.27874425066396286,-0.022025572439738572,2,14
full,BOTH1,最低总资产冲击缓冲,0.2787442506639628,-0.022025572439738572,2,14
