arm,method,horizon,signals,complete,codes,missing,median,mean,positive_fraction,median_of_code_medians
CURRENT_BASE,daily,250,3040,2799,60,241,0.24630870883685452,0.2775705258688881,0.7388352983208288,0.22013344278097152
CURRENT_BASE,daily,750,3040,2287,47,753,0.8743608237166736,0.8864838543786275,0.8342807170966331,0.8004826529614651
CURRENT_BASE,ma60_episode,250,414,385,60,29,0.2611723210779129,0.28225483961431286,0.7688311688311689,0.24203269799999483
CURRENT_BASE,ma60_episode,750,414,295,47,119,0.8004040199619784,0.8586414349498774,0.8372881355932204,0.7338569743984944
CURRENT_BASE,ma60_nonoverlap,250,170,157,60,13,0.18598979193706344,0.24351781201364522,0.732484076433121,0.19261992945481693
CURRENT_BASE,ma60_nonoverlap,750,99,69,47,30,0.7091967016789114,0.8731955996382643,0.8115942028985508,0.62210590429431
CURRENT_BASE,stop_episode,250,171,161,60,10,0.12976640048711485,0.2613271793458239,0.6956521739130435,0.19273043663063905
CURRENT_BASE,stop_episode,750,171,133,47,38,0.6601003359449407,0.8600034960090036,0.8421052631578947,0.7950024261357155
CURRENT_BOTH1,daily,250,2902,2663,62,239,0.24010186757215624,0.2699909677700025,0.7465264739016148,0.1743541924499568
CURRENT_BOTH1,daily,750,2902,2152,48,750,0.881219551606389,0.9112311327318671,0.8434014869888475,0.8235549234328964
CURRENT_BOTH1,ma60_episode,250,381,351,62,30,0.251597414926245,0.2603430313238031,0.7663817663817664,0.2237666479665123
CURRENT_BOTH1,ma60_episode,750,381,259,48,122,0.7888995769089757,0.8699251244198125,0.8301158301158301,0.7423376444672254
CURRENT_BOTH1,ma60_nonoverlap,250,175,157,62,18,0.16789513079502427,0.21671989465083125,0.732484076433121,0.19530335502703988
CURRENT_BOTH1,ma60_nonoverlap,750,104,71,48,33,0.7495191139117376,0.9104004443393738,0.8309859154929577,0.6693763912135131
CURRENT_BOTH1,stop_episode,250,150,140,62,10,0.14790637881550095,0.2531699733640469,0.7214285714285714,0.17744312025653097
CURRENT_BOTH1,stop_episode,750,150,114,48,36,0.6313874037551075,0.8274763784920429,0.8157894736842105,0.6645124480403842
CURRENT_OLD,daily,250,3038,2797,60,241,0.2417175123890305,0.2727318003494855,0.7325706113693242,0.2185140972614208
CURRENT_OLD,daily,750,3038,2285,47,753,0.8722310851449286,0.8635525838827539,0.8297592997811816,0.8004826529614651
CURRENT_OLD,ma60_episode,250,414,385,60,29,0.26098074525755166,0.2805692881090417,0.7688311688311689,0.24203269799999477
CURRENT_OLD,ma60_episode,750,414,295,47,119,0.800404019961978,0.8467379613518475,0.8338983050847457,0.7228438284271999
CURRENT_OLD,ma60_nonoverlap,250,170,157,60,13,0.18598979193706322,0.24135858908664393,0.732484076433121,0.19261992945481693
CURRENT_OLD,ma60_nonoverlap,750,99,69,47,30,0.709196701678912,0.861299272941354,0.8115942028985508,0.62210590429431
CURRENT_OLD,stop_episode,250,171,161,60,10,0.12976640048711485,0.2597218777302955,0.6956521739130435,0.19273043663063893
CURRENT_OLD,stop_episode,750,171,133,47,38,0.6573212202886931,0.8471519935022376,0.8421052631578947,0.7950024261357156
CURRENT_OLD_BOTH1,daily,250,2900,2661,62,239,0.23400094921689596,0.26501121942391226,0.7399473881999249,0.1743541924499567
CURRENT_OLD_BOTH1,daily,750,2900,2150,48,750,0.874590627100383,0.8880777927781746,0.8395348837209302,0.8124001643248093
CURRENT_OLD_BOTH1,ma60_episode,250,381,351,62,30,0.24848221360803535,0.25846414937440754,0.7663817663817664,0.22035850735637968
CURRENT_OLD_BOTH1,ma60_episode,750,381,259,48,122,0.7888995769089764,0.8570348453816465,0.8301158301158301,0.7423376444672258
CURRENT_OLD_BOTH1,ma60_nonoverlap,250,175,157,62,18,0.1678951307950245,0.21583368403930792,0.732484076433121,0.19530335502703977
CURRENT_OLD_BOTH1,ma60_nonoverlap,750,104,71,48,33,0.7495191139117374,0.896220638864125,0.8309859154929577,0.6693763912135129
CURRENT_OLD_BOTH1,stop_episode,250,150,140,62,10,0.14790637881550095,0.25089737806921086,0.7214285714285714,0.17744312025653108
CURRENT_OLD_BOTH1,stop_episode,750,150,114,48,36,0.6244781885271967,0.810637755287349,0.8157894736842105,0.6645124480403839
FIXED,daily,250,3076,2833,66,243,0.2831858407079646,0.2971120132646028,0.7387927991528415,0.2336203159613675
FIXED,daily,750,3076,2322,45,754,0.9528857665937891,0.9687997974968837,0.8389319552110249,0.9075333623521868
FIXED,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30275411268365626,0.7734806629834254,0.29216629822684903
FIXED,ma60_episode,750,394,282,45,112,0.8413161266628782,0.8511120589454625,0.8439716312056738,0.8728920705083159
FIXED,ma60_nonoverlap,250,169,153,66,16,0.18286890482480134,0.23031774827010706,0.7581699346405228,0.22539715462701881
FIXED,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8484915703189606,0.8656716417910447,0.8094812156275757
FIXED,stop_episode,250,170,159,66,11,0.20359518688129885,0.2872163857106062,0.7421383647798742,0.25871669759299865
FIXED,stop_episode,750,170,117,45,53,0.8845295004312599,0.9107031367776405,0.8717948717948718,0.8989914782713844
FIXED_BOTH1,daily,250,2422,2222,56,200,0.2683311692446817,0.28484563333875407,0.738073807380738,0.24291642420768145
FIXED_BOTH1,daily,750,2422,1816,40,606,0.9707394387890579,1.0021921957402995,0.8436123348017621,0.8264167378289462
FIXED_BOTH1,ma60_episode,250,285,260,56,25,0.2632911206225409,0.2775680591489085,0.7384615384615385,0.2371680652651289
FIXED_BOTH1,ma60_episode,750,285,202,40,83,0.8844660370603589,0.8856600724223312,0.8267326732673267,0.8623394029705983
FIXED_BOTH1,ma60_nonoverlap,250,143,129,56,14,0.20325066540850756,0.23334977495514042,0.7209302325581395,0.21155603834078734
FIXED_BOTH1,ma60_nonoverlap,750,87,56,40,31,0.9298210233541797,0.9496027233252412,0.8571428571428571,0.8683919963546562
FIXED_BOTH1,stop_episode,250,122,113,56,9,0.16389246528614887,0.24797411709477818,0.7256637168141593,0.21204094344931212
FIXED_BOTH1,stop_episode,750,122,84,40,38,0.8683919963546562,0.875710998974887,0.8452380952380952,0.8387858496966366
MA_FIX,daily,250,3076,2833,66,243,0.28075192544588856,0.29255165324740684,0.7338510412989764,0.23084170401126125
MA_FIX,daily,750,3076,2322,45,754,0.94442661874537,0.9481012848864105,0.838501291989664,0.9075333623521871
MA_FIX,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30065988371139635,0.7707182320441989,0.29216629822684903
MA_FIX,ma60_episode,750,394,282,45,112,0.8413161266628787,0.839447589790741,0.8439716312056738,0.8728920705083156
MA_FIX,ma60_nonoverlap,250,169,153,66,16,0.18286890482480112,0.22832861778343333,0.7516339869281046,0.22539715462701893
MA_FIX,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8369181396899549,0.8656716417910447,0.809481215627575
MA_FIX,stop_episode,250,170,159,66,11,0.20359518688129885,0.2852645889154314,0.7421383647798742,0.25871669759299876
MA_FIX,stop_episode,750,170,117,45,53,0.8845295004312597,0.8965906512961062,0.8717948717948718,0.8989914782713844
OLD,daily,250,3076,2833,66,243,0.28075192544588856,0.29255165324740684,0.7338510412989764,0.23084170401126125
OLD,daily,750,3076,2322,45,754,0.94442661874537,0.9481012848864105,0.838501291989664,0.9075333623521871
OLD,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30065988371139635,0.7707182320441989,0.29216629822684903
OLD,ma60_episode,750,394,282,45,112,0.8413161266628787,0.839447589790741,0.8439716312056738,0.8728920705083156
OLD,ma60_nonoverlap,250,169,153,66,16,0.18286890482480112,0.22832861778343333,0.7516339869281046,0.22539715462701893
OLD,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8369181396899549,0.8656716417910447,0.809481215627575
OLD,stop_episode,250,170,159,66,11,0.20359518688129885,0.2852645889154314,0.7421383647798742,0.25871669759299876
OLD,stop_episode,750,170,117,45,53,0.8845295004312597,0.8965906512961062,0.8717948717948718,0.8989914782713844
OLD_BOTH1,daily,250,2422,2222,56,200,0.26434452822949595,0.27996834479663923,0.7322232223222322,0.24291642420768167
OLD_BOTH1,daily,750,2422,1816,40,606,0.9632163255474223,0.979503082743347,0.8430616740088106,0.8264167378289464
OLD_BOTH1,ma60_episode,250,285,260,56,25,0.2632911206225409,0.2751838863976727,0.7384615384615385,0.237168065265129
OLD_BOTH1,ma60_episode,750,285,202,40,83,0.8844660370603586,0.87082984342175,0.8267326732673267,0.8623394029705982
OLD_BOTH1,ma60_nonoverlap,250,143,129,56,14,0.20325066540850734,0.23234080391261513,0.7209302325581395,0.21155603834078718
OLD_BOTH1,ma60_nonoverlap,750,87,56,40,31,0.9298210233541797,0.9334588051616566,0.8571428571428571,0.8683919963546561
OLD_BOTH1,stop_episode,250,122,113,56,9,0.16389246528614887,0.24573642460518652,0.7256637168141593,0.2120409434493118
OLD_BOTH1,stop_episode,750,122,84,40,38,0.8683919963546561,0.8578191227935879,0.8452380952380952,0.8387858496966366
RETURN_FIX,daily,250,3076,2833,66,243,0.2831858407079646,0.2971120132646028,0.7387927991528415,0.2336203159613675
RETURN_FIX,daily,750,3076,2322,45,754,0.9528857665937891,0.9687997974968837,0.8389319552110249,0.9075333623521868
RETURN_FIX,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30275411268365626,0.7734806629834254,0.29216629822684903
RETURN_FIX,ma60_episode,750,394,282,45,112,0.8413161266628782,0.8511120589454625,0.8439716312056738,0.8728920705083159
RETURN_FIX,ma60_nonoverlap,250,169,153,66,16,0.18286890482480134,0.23031774827010706,0.7581699346405228,0.22539715462701881
RETURN_FIX,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8484915703189606,0.8656716417910447,0.8094812156275757
RETURN_FIX,stop_episode,250,170,159,66,11,0.20359518688129885,0.2872163857106062,0.7421383647798742,0.25871669759299865
RETURN_FIX,stop_episode,750,170,117,45,53,0.8845295004312599,0.9107031367776405,0.8717948717948718,0.8989914782713844
TREND_BOTH1,daily,250,2422,2222,56,200,0.2683311692446817,0.28484563333875407,0.738073807380738,0.24291642420768145
TREND_BOTH1,daily,750,2422,1816,40,606,0.9707394387890579,1.0021921957402995,0.8436123348017621,0.8264167378289462
TREND_BOTH1,ma60_episode,250,285,260,56,25,0.2632911206225409,0.2775680591489085,0.7384615384615385,0.2371680652651289
TREND_BOTH1,ma60_episode,750,285,202,40,83,0.8844660370603589,0.8856600724223312,0.8267326732673267,0.8623394029705983
TREND_BOTH1,ma60_nonoverlap,250,143,129,56,14,0.20325066540850756,0.23334977495514042,0.7209302325581395,0.21155603834078734
TREND_BOTH1,ma60_nonoverlap,750,87,56,40,31,0.9298210233541797,0.9496027233252412,0.8571428571428571,0.8683919963546562
TREND_BOTH1,stop_episode,250,122,113,56,9,0.16389246528614887,0.24797411709477818,0.7256637168141593,0.21204094344931212
TREND_BOTH1,stop_episode,750,122,84,40,38,0.8683919963546562,0.875710998974887,0.8452380952380952,0.8387858496966366
TREND_FIXED,daily,250,3076,2833,66,243,0.2831858407079646,0.2971120132646028,0.7387927991528415,0.2336203159613675
TREND_FIXED,daily,750,3076,2322,45,754,0.9528857665937891,0.9687997974968837,0.8389319552110249,0.9075333623521868
TREND_FIXED,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30275411268365626,0.7734806629834254,0.29216629822684903
TREND_FIXED,ma60_episode,750,394,282,45,112,0.8413161266628782,0.8511120589454625,0.8439716312056738,0.8728920705083159
TREND_FIXED,ma60_nonoverlap,250,169,153,66,16,0.18286890482480134,0.23031774827010706,0.7581699346405228,0.22539715462701881
TREND_FIXED,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8484915703189606,0.8656716417910447,0.8094812156275757
TREND_FIXED,stop_episode,250,170,159,66,11,0.20359518688129885,0.2872163857106062,0.7421383647798742,0.25871669759299865
TREND_FIXED,stop_episode,750,170,117,45,53,0.8845295004312599,0.9107031367776405,0.8717948717948718,0.8989914782713844
