start,arm,buys,sells,buy_days,buy_amount
2009-11-01,BASE,2242,1032,1302,3750928369.0
2009-11-01,BOTH1,1879,825,1172,2209746435.0
2011-11-01,BASE,2019,730,1115,2366649085.0
2011-11-01,BOTH1,1729,604,1032,1617413990.0
