code,gap_events,ma20_changed,ma60_changed,trend_changed,return_points_changed,checked_windows,final_tri_old,final_tri_new
000001,1,19,59,3,1,122,27.849188072471314,34.632081688272564
000022,0,0,0,0,0,0,1.1351724137931034,1.1351724137931092
000063,0,0,0,0,0,0,21.6635611153817,24.14495630481394
000333,0,0,0,0,0,0,12.129781432174266,12.129781432174326
000338,0,0,0,0,0,0,10.103577370365173,10.103577370365146
000408,1,19,59,7,1,122,22.68336086606067,45.80724273898774
000423,1,19,59,0,1,122,32.18699381614618,38.40589580105062
000425,1,19,59,0,1,122,14.543670490876242,18.24537046661324
000426,3,38,118,0,2,244,20.606923907129143,47.617159902513706
000538,0,0,0,0,0,0,98.14228409922275,111.42724760129433
000568,0,0,0,0,0,0,224.05276289113857,249.2469218140567
000596,0,0,0,0,0,0,11.410569045498821,11.41056904549888
000651,1,19,59,3,1,122,133.24376613501823,164.7162804244291
000661,0,0,0,0,0,0,24.7912871951258,32.41987254705115
000708,1,19,59,2,1,122,3.0652737326414465,3.2579330271026627
000725,0,0,0,0,0,0,0.9949235176429149,0.9949235176429073
000733,0,0,0,0,0,0,5.175728952531695,5.208751921287597
000778,1,19,59,0,1,122,2.2277433449071387,2.4514922216032806
000786,1,19,59,2,1,122,5.156750232812523,11.902469425085638
000792,4,76,236,12,4,488,15.980564711168734,19.747109982436616
000858,0,0,0,0,0,0,23.799199309676037,25.006919871659413
000869,0,0,0,0,0,0,2.495227978163425,2.4952279781634212
000893,2,38,118,31,2,244,5.457880210290144,8.29940482986708
000895,3,44,124,0,3,256,40.31052967589045,42.67035440457009
000933,0,0,0,0,0,0,27.279397222646278,27.126142182069625
000951,0,0,0,0,0,0,13.245086012383146,13.24508601238316
000975,0,0,0,0,0,0,14.123149897348432,14.123149897348263
000999,1,19,59,0,1,122,2.916086950873285,2.94479511472136
001232,0,0,0,0,0,0,0.8413537810682179,0.8413537810682177
001872,2,38,118,2,2,244,6.166605613468162,6.637337762114202
002001,0,0,0,0,0,0,38.59697243808726,38.596972438086866
002003,0,0,0,0,0,0,11.558120529188518,13.514188525313823
002007,0,0,0,0,0,0,17.42919709410082,17.42919709410063
002022,1,19,59,0,1,122,3.171685170378704,3.192141056675889
002024,0,0,0,0,0,0,2.6260497804274054,2.6260497804274032
002027,0,0,0,0,0,0,4.4985336015852155,4.498533601585213
002032,1,19,59,11,1,122,22.759796088940295,30.090713834714975
002049,1,19,59,0,1,122,44.75605767936057,44.84640876912436
002050,1,19,59,4,1,122,50.66675302466172,51.4654092829323
002063,1,19,59,0,1,122,7.638084934563763,7.6572761027411325
002128,1,19,59,0,1,122,3.7769366184624644,3.895335885498946
002130,0,0,0,0,0,0,6.304329207201463,7.009454303304583
002138,0,0,0,0,0,0,10.277245216408257,10.277245216408287
002142,0,0,0,0,0,0,3.712189826395416,3.8809718051214674
002152,0,0,0,0,0,0,2.3891724329747124,2.3891724329747333
002153,0,0,0,0,0,0,4.390550008306425,4.390550008306419
002158,0,0,0,0,0,0,3.8538781566805156,3.8538781566805222
002179,0,0,0,0,0,0,11.768940941355003,11.768940941354957
002222,0,0,0,0,0,0,9.888550012659733,9.888550012659678
002223,0,0,0,0,0,0,18.546954474758365,18.54695447475844
002236,0,0,0,0,0,0,19.84500661294851,19.845006612948414
002252,4,76,236,3,4,488,5.964021162708264,6.10326558240655
002262,0,0,0,0,0,0,14.418759364040937,14.418759364041012
002270,1,19,59,1,1,122,2.6815402333410656,4.083837085767051
002273,0,0,0,0,0,0,7.926406469294058,7.926406469294086
002275,0,0,0,0,0,0,0.8137326173823269,0.8137326173823238
002287,0,0,0,0,0,0,1.4459707690710863,1.4459707690710883
002294,0,0,0,0,0,0,6.601914804018008,6.601914804017984
002304,0,0,0,0,0,0,2.4444537598899543,2.444453759889946
002311,0,0,0,0,0,0,9.090928330281004,9.090928330281049
002352,1,19,59,5,1,122,1.9385200673861986,3.894942035130832
002371,0,0,0,0,0,0,76.38607225955573,76.38607225955549
002372,0,0,0,0,0,0,3.537222968196353,3.537222968196355
002379,0,0,0,0,0,0,3.001832672493517,3.00183267249349
002409,1,19,59,1,1,122,14.200250559919624,14.212471085358443
002410,0,0,0,0,0,0,3.093179629245977,3.0931796292459492
002414,1,19,59,0,1,122,7.948266175990962,7.9527541862540625
002415,0,0,0,0,0,0,10.59922366228045,10.59922366228039
002460,0,0,0,0,0,0,12.675622567229983,12.675622567229926
002463,0,0,0,0,0,0,19.605534337324055,19.605534337323967
002466,0,0,0,0,0,0,3.8210858299305865,5.136850711160658
002475,0,0,0,0,0,0,49.12853135423437,49.1285313542342
