code,gap_events,ma20_changed,ma60_changed,trend_changed,return_points_changed,checked_windows,final_tri_old,final_tri_new
002484,0,0,0,0,0,0,12.6322922735766,12.632292273576557
002507,1,19,59,47,1,122,1.409779797853776,2.281658373943413
002508,0,0,0,0,0,0,3.130659483261993,3.130659483262008
002532,2,38,118,0,2,244,3.0312039541893063,3.148825999593607
002568,0,0,0,0,0,0,4.902996159160473,4.902996159160476
002594,0,0,0,0,0,0,11.46901411181563,11.469014111815703
002595,0,0,0,0,0,0,14.886502605456666,14.88650260545674
002607,1,19,59,12,1,122,0.4248676921516093,0.552327999797091
002648,0,0,0,0,0,0,10.56302037866307,10.563020378663161
002677,0,0,0,0,0,0,3.0886267186719762,3.0886267186720096
002683,1,19,59,0,1,122,2.2384024450420137,5.645418970111508
002690,0,0,0,0,0,0,6.391256263372182,6.391256263372205
002714,0,0,0,0,0,0,24.187358257534555,24.18735825753464
002807,0,0,0,0,0,0,1.1195575924711278,1.1195575924711252
002812,0,0,0,0,0,0,5.8455101454692775,5.845510145469281
002833,0,0,0,0,0,0,5.042132580222266,5.042132580222255
002837,0,0,0,0,0,0,36.167283311545866,36.16728331154584
002839,0,0,0,0,0,0,1.139897792479066,1.139897792479064
002841,0,0,0,0,0,0,3.3347563859659304,3.33475638596594
002901,0,0,0,0,0,0,2.940711682389768,2.9407116823897685
002906,0,0,0,0,0,0,1.478500024819234,1.478500024819238
002916,0,0,0,0,0,0,30.89795373401404,30.897953734014212
002920,0,0,0,0,0,0,3.1842218306969365,3.1842218306969308
002936,0,0,0,0,0,0,0.37783858733700776,0.3778385873370084
002938,0,0,0,0,0,0,4.471936832955993,4.47193683295599
002948,0,0,0,0,0,0,1.194474577866126,1.2974281773392191
002958,0,0,0,0,0,0,0.6631153055801621,0.6631153055801623
002966,0,0,0,0,0,0,1.0614214616504354,1.061421461650437
300015,0,0,0,0,0,0,10.60135290845891,10.601352908458892
300033,0,0,0,0,0,0,43.38937926698798,43.38937926698798
300034,0,0,0,0,0,0,3.4442339083046374,3.4442339083046165
300054,1,19,59,0,1,122,28.405345856597208,28.475344244612437
300059,1,19,59,4,1,122,19.442799455501564,27.25596892766913
300124,1,19,59,0,1,122,16.71637252096363,16.914467676692194
300144,0,0,0,0,0,0,1.5673174312138156,1.5673174312138172
300146,1,19,59,0,1,122,2.310050894220106,2.3517988019469667
300274,1,19,59,0,1,122,27.795566331737998,27.882973773032926
300308,1,19,59,0,1,122,261.2083815513227,261.40058786593033
300316,0,0,0,0,0,0,12.113383273064214,12.113383273064217
300346,0,0,0,0,0,0,9.260095451839922,9.26009545183987
300357,0,0,0,0,0,0,4.4481212970624435,4.44812129706243
300360,0,0,0,0,0,0,1.2963722735524021,1.2963722735524026
300394,0,0,0,0,0,0,118.6831045098377,118.68310450983793
300395,0,0,0,0,0,0,23.609274564273807,23.609274564273843
300408,0,0,0,0,0,0,11.810664114680968,11.810664114680947
300415,0,0,0,0,0,0,4.569948452311252,4.5699484523112694
300435,0,0,0,0,0,0,2.645517591403188,2.6455175914031983
300470,0,0,0,0,0,0,2.343067965707511,2.3430679657075
300476,0,0,0,0,0,0,53.009376858924696,53.00937685892467
300487,0,0,0,0,0,0,17.847442945670146,17.847442945670082
300502,0,0,0,0,0,0,216.1948694283902,216.19486942838935
300529,0,0,0,0,0,0,2.282597409056789,2.2825974090567875
300573,0,0,0,0,0,0,23.13599751715408,23.135997517154134
300595,0,0,0,0,0,0,4.319393708139677,4.319393708139692
300604,0,0,0,0,0,0,135.12937550695244,135.12937550695267
300627,0,0,0,0,0,0,9.383574549988502,9.383574549988449
300628,0,0,0,0,0,0,6.611860170626346,6.611860170626324
300661,0,0,0,0,0,0,26.227744193948922,26.227744193948812
300685,0,0,0,0,0,0,4.624218714819655,4.624218714819623
300699,0,0,0,0,0,0,3.694704425833912,3.6947044258339137
300750,0,0,0,0,0,0,19.535545431621024,19.53554543162107
300759,0,0,0,0,0,0,9.32123430563076,9.321234305630792
300760,0,0,0,0,0,0,2.6072349199403635,2.6072349199403595
300776,0,0,0,0,0,0,5.755433750474963,5.755433750474972
300782,0,0,0,0,0,0,8.07369759257426,8.073697592574241
300811,0,0,0,0,0,0,13.513034056689586,13.513034056689554
300832,0,0,0,0,0,0,2.432795659282924,2.4327956592829305
300866,0,0,0,0,0,0,1.2127826229846532,1.2127826229846508
300896,0,0,0,0,0,0,0.7417817626021319,0.7417817626021341
300910,0,0,0,0,0,0,0.7856765493156849,0.785676549315684
301498,0,0,0,0,0,0,0.6744846286088954,0.6744846286088956
301589,0,0,0,0,0,0,0.6964378438315465,0.696437843831545
600000,0,0,0,0,0,0,4.430076274809383,4.430076274809382
600007,0,0,0,0,0,0,5.969357699851576,5.969357699851588
600009,0,0,0,0,0,0,7.048347294574863,7.048347294574889
600015,1,19,59,1,1,122,4.4999585338636665,4.586345172384604
600016,0,0,0,0,0,0,4.730711248676267,4.730711248676277
600031,1,19,59,38,1,122,17.33433066504332,34.779778834349855
600036,0,0,0,0,0,0,17.819245017117144,19.17840273761442
600066,0,0,0,0,0,0,51.58983728922951,68.5255948719841
600085,0,0,0,0,0,0,11.042825049293366,14.172124918665304
600132,1,19,59,0,1,122,13.25744812429922,15.831258973560868
600160,0,0,0,0,0,0,26.181723497851845,28.608666411254173
600176,2,38,118,1,2,244,114.69708642760891,116.98904948301991
600183,0,0,0,0,0,0,207.3522872262767,207.35228722627633
600188,0,0,0,0,0,0,20.31347516370999,19.578933843717355
600271,0,0,0,0,0,0,3.789734962608214,3.789734962608214
600276,0,0,0,0,0,0,89.4557258665233,89.45572586652311
600285,0,0,0,0,0,0,7.559258239954269,7.559258239954336
600298,0,0,0,0,0,0,8.942858172268382,8.942858172268382
600309,1,19,59,1,1,122,89.16157645779506,92.4984618042696
600315,1,19,59,0,1,122,4.564541343271599,4.597907873558691
600406,0,0,0,0,0,0,66.16047492402267,66.16047492402295
600415,0,0,0,0,0,0,22.663395908826626,22.66339590882645
600426,0,0,0,0,0,0,27.19749544904479,27.197495449044776
600436,0,0,0,0,0,0,38.76265537069871,42.86019286321598
600486,0,0,0,0,0,0,13.055538162495944,13.055538162496001
600519,1,19,59,34,1,122,134.3661618252291,269.75050623564545
600563,0,0,0,0,0,0,23.34630998886856,23.3463099888683
600566,0,0,0,0,0,0,2.5951939037070337,2.5951939037070253
600570,0,0,0,0,0,0,35.81990159153801,35.8199015915381
600585,0,0,0,0,0,0,15.215086947781337,15.215086947781407
600588,0,0,0,0,0,0,4.777910355221452,4.777910355221431
600600,0,0,0,0,0,0,5.74167385080131,5.741673850801299
600660,0,0,0,0,0,0,83.81384028889434,115.7770651262458
600690,1,19,59,0,1,122,44.36366901031052,68.07359703009774
600717,1,19,34,3,1,68,8.770763584785657,12.681484329852099
600750,1,19,59,2,1,122,26.201734136178047,41.09699369817379
600763,1,19,59,12,1,122,5.348839069058704,10.697678138117482
600803,0,0,0,0,0,0,11.748975520777119,13.476464022245722
600809,0,0,0,0,0,0,82.99932653594857,91.63992806711657
600862,0,0,0,0,0,0,16.567778991553773,16.567778991553904
600885,0,0,0,0,0,0,24.502564544653072,24.502564544653115
600887,1,19,59,4,1,122,160.13764871941726,278.01963246633676
600897,0,0,0,0,0,0,5.217474398879503,5.936924344016515
600900,2,38,118,4,2,244,13.280631057023088,13.935848970344006
600908,0,0,0,0,0,0,1.1524736356993193,1.1524736356993235
600919,0,0,0,0,0,0,2.1494077906126887,2.2647606237403926
600926,0,0,0,0,0,0,2.066201827482698,2.066201827482698
600928,0,0,0,0,0,0,0.6800371814094177,0.680037181409418
600938,0,0,0,0,0,0,3.0448290688368074,3.0448290688368163
600970,1,19,59,0,1,122,5.703079727409805,5.715070818118707
600988,1,19,59,27,1,122,6.194460835824639,12.388921671649182
600989,0,0,0,0,0,0,1.8659351553617303,1.86593515536172
600993,1,19,59,0,1,122,10.705268300879922,10.955391392021951
601009,0,0,0,0,0,0,4.043273192180314,4.245243578692138
601077,0,0,0,0,0,0,1.023698825655988,1.0236988256559783
601088,1,19,59,5,1,122,1.53379512746361,1.5669972808110657
601100,0,0,0,0,0,0,15.69134132511149,15.691341325111543
601128,0,0,0,0,0,0,1.7510369173727534,1.7510369173727618
601138,0,0,0,0,0,0,4.131972808246126,4.131972808246132
601166,0,0,0,0,0,0,4.656815045020245,4.9138202840293905
601169,0,0,0,0,0,0,1.1507673997129724,1.150767399712978
601187,0,0,0,0,0,0,0.9945203133419275,0.9945203133419297
601225,0,0,0,0,0,0,10.055661975694793,10.055661975694777
601229,0,0,0,0,0,0,1.3833549920675416,1.3833549920675525
601288,0,0,0,0,0,0,5.448918429779653,5.448918429779664
601318,1,19,59,0,1,122,3.6653225838175727,3.6879433773815555
601328,0,0,0,0,0,0,1.3665205330378905,1.4229637724459732
601398,0,0,0,0,0,0,5.780190163181151,5.864342931733339
601515,0,0,0,0,0,0,0.93570926628078,0.9357092662807803
601528,0,0,0,0,0,0,0.6360027466525904,0.6360027466525894
601577,0,0,0,0,0,0,1.117233001744332,1.117233001744331
601658,0,0,0,0,0,0,1.226189594629806,1.226189594629813
601665,0,0,0,0,0,0,1.0308764514662752,1.0308764514662714
601717,1,19,59,0,1,122,1.6023674976691198,1.6046595708127296
601818,0,0,0,0,0,0,1.7766525497439891,1.7766525497439911
601825,0,0,0,0,0,0,1.0554264831833169,1.055426483183323
601838,0,0,0,0,0,0,2.6561025424275027,2.6561025424275
601857,0,0,0,0,0,0,0.45136246884221937,0.45136246884222064
601860,0,0,0,0,0,0,0.7215795444539399,0.7215795444539398
601888,0,0,0,0,0,0,7.643818630341013,7.643818630341006
601899,0,0,0,0,0,0,5.522059456842988,5.52205945684303
601916,0,0,0,0,0,0,0.7982376023188623,0.847263218839234
601939,0,0,0,0,0,0,2.9673931389200217,3.021562609750115
601958,0,0,0,0,0,0,1.751497579869096,1.7514975798690966
601963,0,0,0,0,0,0,0.9068608720393724,0.9068608720393739
601965,1,19,59,1,1,122,3.559785783615737,3.619917300230886
601988,0,0,0,0,0,0,3.923331414749199,4.051119923686718
601997,0,0,0,0,0,0,0.9676703679792676,0.967670367979269
601998,0,0,0,0,0,0,1.3261925388789295,1.394278316544592
603067,0,0,0,0,0,0,11.517606119421723,11.517606119421727
603129,0,0,0,0,0,0,16.696881542287347,16.696881542287265
603156,0,0,0,0,0,0,1.701640272779633,1.7016402727796285
603160,0,0,0,0,0,0,1.9464741776426084,1.9464741776426107
603195,0,0,0,0,0,0,1.7053495417650337,1.7053495417650357
603259,0,0,0,0,0,0,12.786680076843698,12.7866800768437
603279,0,0,0,0,0,0,1.2442627002716566,1.2442627002716544
603288,0,0,0,0,0,0,4.891738750162503,4.891738750162508
603323,0,0,0,0,0,0,0.9867793179084996,0.9867793179084942
603338,0,0,0,0,0,0,10.208937304766852,10.20893730476694
603369,0,0,0,0,0,0,3.406338211967768,3.4063382119677614
603392,0,0,0,0,0,0,7.006333158994057,7.006333158994033
603501,1,19,59,0,1,122,12.213752803389996,12.227019008462475
603505,0,0,0,0,0,0,11.914842248459378,11.914842248459387
603508,1,19,59,1,1,122,1.2250795510113104,1.2365007132932562
603529,0,0,0,0,0,0,1.2487239561088914,1.2487239561088925
603556,0,0,0,0,0,0,1.2399136872305867,1.2399136872305847
603596,0,0,0,0,0,0,2.6358168777010995,2.6358168777011026
603605,0,0,0,0,0,0,5.60425406414785,5.604254064147827
603606,0,0,0,0,0,0,16.506006296124273,16.50600629612429
603806,1,19,59,1,1,122,2.738239229119458,2.758021018381034
603855,0,0,0,0,0,0,2.208719279403977,2.208719279403966
603868,0,0,0,0,0,0,1.5625480993515464,1.5625480993515386
603899,0,0,0,0,0,0,2.8884696501876377,2.8884696501876337
603993,0,0,0,0,0,0,8.108825457092532,8.108825457092497
605117,0,0,0,0,0,0,13.908328516701955,13.90832851670201
605305,0,0,0,0,0,0,1.519955779206695,1.5199557792066951
605499,0,0,0,0,0,0,3.3823737954831827,3.3823737954831983
688008,0,0,0,0,0,0,2.969895507333223,2.969895507333224
688012,0,0,0,0,0,0,6.802226343418851,6.802226343418869
688018,0,0,0,0,0,0,2.4797437057339162,2.4797437057339144
688019,0,0,0,0,0,0,5.1927291607294315,5.192729160729416
688041,0,0,0,0,0,0,4.940916247107205,4.9409162471071895
688072,0,0,0,0,0,0,16.469504268298063,16.469504268298067
688082,0,0,0,0,0,0,2.2598738889497514,2.259873888949756
688100,0,0,0,0,0,0,0.8127879355881352,0.8127879355881332
688111,0,0,0,0,0,0,2.1466940057852986,2.1466940057853003
688120,0,0,0,0,0,0,5.40957975910055,5.409579759100544
688122,0,0,0,0,0,0,1.4642855906368901,1.4642855906368895
688188,0,0,0,0,0,0,1.7645217836987828,1.764521783698774
688190,0,0,0,0,0,0,0.5877643573807,0.587764357380701
688200,0,0,0,0,0,0,4.012934930017606,4.012934930017583
688208,0,0,0,0,0,0,0.6123986301638176,0.6123986301638166
688235,0,0,0,0,0,0,1.8594235308734004,1.8594235308733982
688256,0,0,0,0,0,0,8.424754102267693,8.424754102267716
688271,0,0,0,0,0,0,0.6258573811358361,0.625857381135836
688278,0,0,0,0,0,0,1.646354428448207,1.6463544284482061
688281,0,0,0,0,0,0,1.0726665809034621,1.0726665809034603
688300,0,0,0,0,0,0,10.220509932741567,10.220509932741546
688301,0,0,0,0,0,0,2.414624374028638,2.414624374028641
688516,0,0,0,0,0,0,2.311500529900053,2.3115005299000573
688563,0,0,0,0,0,0,0.8339056627459097,0.8339056627459096
688617,0,0,0,0,0,0,1.7482921465700425,1.7482921465700436
688630,0,0,0,0,0,0,9.914339448700476,9.91433944870047
688692,0,0,0,0,0,0,1.491199063975101,1.4911990639751012
688708,0,0,0,0,0,0,0.6942420374027648,0.6942420374027639
688775,0,0,0,0,0,0,0.7624293785310734,0.7624293785310745
688777,0,0,0,0,0,0,1.4530977542516519,1.4530977542516557
688981,0,0,0,0,0,0,1.5496864447660395,1.5496864447660434
689009,0,0,0,0,0,0,1.1097140484052297,1.1097140484052308
920394,0,0,0,0,0,0,4.3697633957113,4.369763395711287
920599,0,0,0,0,0,0,2.739777152697654,2.7397771526976515
920982,0,0,0,0,0,0,1.8280240894872088,1.8280240894872133
