group,arm,start,cagr_pct,cagr_delta_pp,mdd_pct,mdd_delta_pp
full,BASE,2009-11-01,36.72675572522481,0.0,47.25948444984387,0.0
full,BASE,2011-11-01,38.200690634764726,0.0,47.15720592151237,0.0
full,BOTH1,2009-11-01,32.98880645192908,-3.7379492732957376,47.41588296264231,0.15639851279843908
full,BOTH1,2011-11-01,35.01728643138553,-3.183404203379192,48.11418954678047,0.9569836252681041
full,BOTH2,2009-11-01,34.97041494556004,-1.7563407796647779,48.65294882007475,1.393464370230879
full,BOTH2,2011-11-01,33.83497970605216,-4.365710928712563,48.0773014036154,0.9200954821030338
full,BOTH3,2009-11-01,31.71637565305283,-5.010380072171983,48.448324541472246,1.1888400916283737
full,BOTH3,2011-11-01,34.85263858895797,-3.3480520458067486,48.509256169262216,1.3520502477498475
full,MA20_1,2009-11-01,33.351810647412464,-3.3749450778123524,45.402341288556414,-1.8571431612874556
full,MA20_1,2011-11-01,38.28671728483781,0.08602665007308996,47.25682150674715,0.0996155852347802
full,MA60_1,2009-11-01,41.131110802178064,4.404355076953248,46.33419684599303,-0.925287603850844
full,MA60_1,2011-11-01,43.50697148706395,5.306280852299228,47.18123414752095,0.02402822600857668
A,BASE,2009-11-01,42.6033684018537,0.0,49.04962448591497,0.0
A,BASE,2011-11-01,49.61183684430932,0.0,49.10206159542475,0.0
A,BOTH1,2009-11-01,36.76764407655511,-5.835724325298597,52.072450850843644,3.022826364928677
A,BOTH1,2011-11-01,41.16877233598355,-8.44306450832577,50.72266877452396,1.6206071790992094
A,BOTH2,2009-11-01,35.54624495061138,-7.05712345124232,51.2673435752223,2.217719089307335
A,BOTH2,2011-11-01,40.09452552950346,-9.517311314805866,51.7222886929185,2.6202270974937436
A,BOTH3,2009-11-01,35.02772806255463,-7.575640339299072,52.09374535356761,3.0441208676526443
A,BOTH3,2011-11-01,41.23038197817548,-8.381454866133842,52.118990607673055,3.016929012248304
A,MA20_1,2009-11-01,37.65882962627134,-4.944538775582363,45.751998048347055,-3.297626437567913
A,MA20_1,2011-11-01,42.75794218463598,-6.853894659673343,45.76696880214096,-3.3350927932837893
A,MA60_1,2009-11-01,41.319614654515945,-1.283753747337757,48.895646126031345,-0.15397835988362196
A,MA60_1,2011-11-01,48.25160710113303,-1.3602297431762889,50.026263889415844,0.9242022939910943
U1,BASE,2009-11-01,42.6033684018537,0.0,49.04962448591497,0.0
U1,BASE,2011-11-01,49.61183684430932,0.0,49.10206159542475,0.0
U1,BOTH1,2009-11-01,36.76764407655511,-5.835724325298597,52.072450850843644,3.022826364928677
U1,BOTH1,2011-11-01,41.16877233598355,-8.44306450832577,50.72266877452396,1.6206071790992094
U1,BOTH2,2009-11-01,35.54624495061138,-7.05712345124232,51.2673435752223,2.217719089307335
U1,BOTH2,2011-11-01,40.09452552950346,-9.517311314805866,51.7222886929185,2.6202270974937436
U1,BOTH3,2009-11-01,35.02772806255463,-7.575640339299072,52.09374535356761,3.0441208676526443
U1,BOTH3,2011-11-01,41.23038197817548,-8.381454866133842,52.118990607673055,3.016929012248304
U1,MA20_1,2009-11-01,37.65882962627134,-4.944538775582363,45.751998048347055,-3.297626437567913
U1,MA20_1,2011-11-01,42.75794218463598,-6.853894659673343,45.76696880214096,-3.3350927932837893
U1,MA60_1,2009-11-01,41.319614654515945,-1.283753747337757,48.895646126031345,-0.15397835988362196
U1,MA60_1,2011-11-01,48.25160710113303,-1.3602297431762889,50.026263889415844,0.9242022939910943
