code,event_date,previous_quote,next_quote,cash,bonus,rights,subscription
000001,1994-07-09,1994-07-08,1994-07-11,0.0,0.0,0.1,5.0
000408,2008-05-30,2007-12-14,2008-10-16,0.0,0.8,0.0,0.0
000423,2007-05-31,2007-05-15,2007-06-01,0.2,0.0,0.0,0.0
000425,2008-07-11,2008-06-12,2008-07-25,0.06,0.0,0.0,0.0
000426,2015-08-25,2015-07-07,2015-10-08,0.02,0.0,0.0,0.0
000426,2015-09-23,2015-07-07,2015-10-08,0.0,1.0,0.0,0.0
000426,2018-08-16,2018-06-15,2018-08-27,0.019902,0.0,0.0,0.0
000651,2016-07-07,2016-02-19,2016-09-02,1.5,0.0,0.0,0.0
000708,2015-06-19,2015-05-12,2015-10-20,0.2,0.0,0.0,0.0
000778,2015-07-15,2015-06-12,2015-09-15,0.04,0.0,0.0,0.0
000786,2015-06-11,2015-04-09,2015-10-26,0.425,1.0,0.0,0.0
000792,2006-05-29,2006-05-22,2006-06-29,0.5,0.0,0.0,0.0
000792,2007-07-12,2007-07-11,2007-07-13,0.88,0.0,0.0,0.0
000792,2008-07-14,2008-06-25,2008-12-26,1.2,0.0,0.0,0.0
000792,2009-06-26,2009-06-25,2009-07-27,1.672,0.0,0.0,0.0
000893,2006-08-31,2006-07-28,2006-09-25,0.02054,0.0,0.0,0.0
000893,2014-05-22,2014-03-25,2014-08-26,0.15,0.5,0.0,0.0
000895,2006-03-28,2006-03-02,2006-05-23,0.5,0.0,0.0,0.0
000895,2007-06-13,2006-05-31,2007-06-29,0.8,0.0,0.0,0.0
000895,2010-07-14,2010-03-19,2010-11-29,1.0,0.0,0.0,0.0
000999,2013-07-26,2013-05-31,2013-08-19,0.26,0.0,0.0,0.0
001872,2015-07-22,2015-04-22,2015-10-21,0.324,0.0,0.0,0.0
001872,2018-05-23,2017-11-17,2018-07-10,1.319,0.0,0.0,0.0
002022,2015-07-07,2015-07-06,2015-07-14,0.2,0.0,0.0,0.0
002032,2005-06-22,2005-06-17,2005-07-01,0.2,0.30000000000000004,0.0,0.0
002049,2017-06-14,2017-02-17,2017-07-17,0.056,0.0,0.0,0.0
002050,2011-05-27,2011-05-26,2011-05-30,0.5,0.0,0.0,0.0
002063,2014-05-22,2014-03-10,2014-06-24,0.05,0.0,0.0,0.0
002128,2017-06-15,2017-03-16,2017-08-14,0.3,0.0,0.0,0.0
002252,2010-05-18,2010-05-17,2010-05-19,0.75,0.0,0.0,0.0
002252,2013-05-16,2013-03-25,2013-07-02,0.05,0.0,0.0,0.0
002252,2017-06-20,2017-04-20,2017-09-21,0.03,0.0,0.0,0.0
002252,2018-06-28,2018-02-22,2018-12-07,0.017,0.0,0.0,0.0
002270,2018-06-29,2018-05-02,2018-07-03,0.12,0.5,0.0,0.0
002352,2016-05-26,2016-04-01,2016-05-31,0.14,1.0,0.0,0.0
002409,2017-05-16,2017-04-21,2017-11-02,0.02,0.0,0.0,0.0
002414,2015-06-03,2015-05-12,2015-09-14,0.02,0.0,0.0,0.0
002507,2016-05-11,2016-03-28,2016-06-15,0.2,0.6000000000000001,0.0,0.0
002532,2015-06-02,2015-06-01,2015-06-29,0.05,0.0,0.0,0.0
002532,2018-05-09,2018-02-28,2018-06-15,0.2,0.0,0.0,0.0
002607,2015-05-28,2015-03-11,2015-06-24,0.0,0.30000000000000004,0.0,0.0
002683,2015-07-10,2015-05-08,2015-12-28,0.3,1.5,0.0,0.0
300054,2016-04-20,2016-04-14,2016-04-22,0.05,0.0,0.0,0.0
300059,2015-03-20,2015-02-06,2015-04-16,0.06,0.3999999999999999,0.0,0.0
300124,2015-04-22,2015-04-20,2015-04-23,0.499967,0.0,0.0,0.0
300146,2018-04-04,2018-01-30,2018-07-31,0.33,0.0,0.0,0.0
300274,2013-05-28,2013-05-27,2013-05-29,0.05,0.0,0.0,0.0
300308,2016-08-01,2016-03-10,2016-09-30,0.01,0.0,0.0,0.0
600015,2006-03-31,2006-02-24,2006-04-06,0.11,0.0,0.0,0.0
600031,2007-04-23,2007-04-20,2007-04-24,0.2,1.0,0.0,0.0
600132,2006-06-30,2006-06-23,2006-07-06,0.05,0.0,0.0,0.0
600176,2006-07-05,2006-06-23,2006-07-10,0.1,0.0,0.0,0.0
600176,2015-04-23,2015-04-21,2015-05-07,0.165,0.0,0.0,0.0
600309,2018-01-26,2017-12-04,2018-06-04,1.5,0.0,0.0,0.0
600315,2011-04-29,2010-12-03,2011-09-07,0.25,0.0,0.0,0.0
600519,2006-05-19,2006-04-25,2006-05-25,0.3,1.0,0.0,0.0
600690,2008-06-25,2008-06-24,2008-06-27,0.2,0.0,0.0,0.0
600717,2026-06-18,2026-06-08,2026-06-23,0.102,0.0,0.0,0.0
600750,2018-06-20,2018-04-27,2018-08-01,0.45,0.3999999999999999,0.0,0.0
600763,2015-12-04,2015-05-22,2015-12-15,0.0,1.0,0.0,0.0
600887,2006-04-11,2006-03-10,2006-04-24,0.26,0.32000000000000006,0.0,0.0
600900,2008-07-22,2008-05-07,2009-05-18,0.29682,0.0,0.0,0.0
600900,2015-06-30,2015-06-12,2015-11-16,0.3791,0.0,0.0,0.0
600970,2015-05-29,2015-04-30,2015-06-01,0.041,0.0,0.0,0.0
600988,2014-06-25,2014-05-08,2014-08-11,0.0,1.0,0.0,0.0
600993,2006-07-13,2006-06-22,2006-07-19,0.65,0.0,0.0,0.0
601088,2017-07-10,2017-06-02,2017-09-01,0.46,0.0,0.0,0.0
601318,2010-07-13,2010-06-28,2010-09-02,0.3,0.0,0.0,0.0
601717,2017-07-24,2017-04-21,2017-10-12,0.011,0.0,0.0,0.0
601965,2014-05-23,2014-05-12,2014-05-26,0.2,0.0,0.0,0.0
603501,2018-08-10,2018-05-14,2018-09-12,0.045,0.0,0.0,0.0
603508,2018-05-28,2018-02-27,2018-06-28,0.3125,0.0,0.0,0.0
603806,2015-05-21,2015-05-13,2015-06-05,0.45,0.0,0.0,0.0
