arm,method,horizon,year,n,median
CURRENT_BASE,daily,250,2011,10,-0.1704065111273131
CURRENT_BASE,daily,250,2012,187,0.07476299742080483
CURRENT_BASE,daily,250,2013,221,0.024440996261142045
CURRENT_BASE,daily,250,2014,235,0.4537037037037035
CURRENT_BASE,daily,250,2015,154,-0.2111693801053003
CURRENT_BASE,daily,250,2016,203,0.42019454465167994
CURRENT_BASE,daily,250,2017,185,0.4297830309451287
CURRENT_BASE,daily,250,2018,110,0.26361930048269755
CURRENT_BASE,daily,250,2019,204,0.343268840228275
CURRENT_BASE,daily,250,2020,232,0.334576763530129
CURRENT_BASE,daily,250,2021,206,0.11033305510033387
CURRENT_BASE,daily,250,2022,225,0.10971239536281319
CURRENT_BASE,daily,250,2023,239,0.39862986612698736
CURRENT_BASE,daily,250,2024,239,0.26098074525755166
CURRENT_BASE,daily,250,2025,149,0.4984189949691187
CURRENT_BASE,daily,750,2011,10,-0.18766730204474452
CURRENT_BASE,daily,750,2012,187,0.7239686054235828
CURRENT_BASE,daily,750,2013,221,0.637503367100341
CURRENT_BASE,daily,750,2014,235,1.0005449275706622
CURRENT_BASE,daily,750,2015,154,-0.023476465329785978
CURRENT_BASE,daily,750,2016,203,0.33262861602398486
CURRENT_BASE,daily,750,2017,185,1.2709897774115237
CURRENT_BASE,daily,750,2018,110,0.8643390772565637
CURRENT_BASE,daily,750,2019,204,1.0065161748276044
CURRENT_BASE,daily,750,2020,232,0.9645166710436472
CURRENT_BASE,daily,750,2021,206,0.9366475490048614
CURRENT_BASE,daily,750,2022,225,0.8439712836071311
CURRENT_BASE,daily,750,2023,115,1.2132523344979433
CURRENT_BASE,ma60_episode,250,2011,2,-0.14233007187921864
CURRENT_BASE,ma60_episode,250,2012,19,0.0637801545880563
CURRENT_BASE,ma60_episode,250,2013,25,-0.05513774007456507
CURRENT_BASE,ma60_episode,250,2014,25,0.5873734517308937
CURRENT_BASE,ma60_episode,250,2015,26,-0.09231345391216955
CURRENT_BASE,ma60_episode,250,2016,25,0.39979165567541664
CURRENT_BASE,ma60_episode,250,2017,14,0.5682563754496278
CURRENT_BASE,ma60_episode,250,2018,18,0.2917535633356386
CURRENT_BASE,ma60_episode,250,2019,26,0.32081887836755096
CURRENT_BASE,ma60_episode,250,2020,23,0.2411673748175267
CURRENT_BASE,ma60_episode,250,2021,35,0.08121981815438017
CURRENT_BASE,ma60_episode,250,2022,43,0.22567743925292572
CURRENT_BASE,ma60_episode,250,2023,36,0.3606335379125468
CURRENT_BASE,ma60_episode,250,2024,44,0.29036439569112327
CURRENT_BASE,ma60_episode,250,2025,24,0.2633953087825025
CURRENT_BASE,ma60_episode,750,2011,2,0.4522643079590385
CURRENT_BASE,ma60_episode,750,2012,19,0.8978507009922061
CURRENT_BASE,ma60_episode,750,2013,25,0.2703089572879971
CURRENT_BASE,ma60_episode,750,2014,25,1.0766366923606165
CURRENT_BASE,ma60_episode,750,2015,26,0.30115028217249507
CURRENT_BASE,ma60_episode,750,2016,25,0.7318594306273167
CURRENT_BASE,ma60_episode,750,2017,14,2.0703707847158626
CURRENT_BASE,ma60_episode,750,2018,18,0.8989914782713844
CURRENT_BASE,ma60_episode,750,2019,26,0.7490481392939435
CURRENT_BASE,ma60_episode,750,2020,23,0.4904631440191165
CURRENT_BASE,ma60_episode,750,2021,35,0.6601003359449407
CURRENT_BASE,ma60_episode,750,2022,43,0.8092025609842977
CURRENT_BASE,ma60_episode,750,2023,14,1.185491226589988
CURRENT_BASE,ma60_nonoverlap,250,2011,2,-0.14233007187921864
CURRENT_BASE,ma60_nonoverlap,250,2012,10,0.042325020535793234
CURRENT_BASE,ma60_nonoverlap,250,2013,11,-0.05722046509425005
CURRENT_BASE,ma60_nonoverlap,250,2014,13,0.6650541412621742
CURRENT_BASE,ma60_nonoverlap,250,2015,11,-0.00015473032714408141
CURRENT_BASE,ma60_nonoverlap,250,2016,11,0.31289610910549537
CURRENT_BASE,ma60_nonoverlap,250,2017,4,0.47101222545724764
CURRENT_BASE,ma60_nonoverlap,250,2018,5,0.2611723210779129
CURRENT_BASE,ma60_nonoverlap,250,2019,7,0.008309048184990564
CURRENT_BASE,ma60_nonoverlap,250,2020,11,0.11168843208893264
CURRENT_BASE,ma60_nonoverlap,250,2021,11,-0.02581420410448232
CURRENT_BASE,ma60_nonoverlap,250,2022,17,0.18460966542750956
