arm,method,horizon,code,n,median
CURRENT_BASE,daily,250,000001,13,0.16373614812729542
CURRENT_BASE,daily,250,000022,1,0.7443181818181817
CURRENT_BASE,daily,250,000333,10,0.8437480608116954
CURRENT_BASE,daily,250,000338,260,0.09989950176204943
CURRENT_BASE,daily,250,000568,4,0.32199146879313856
CURRENT_BASE,daily,250,000651,230,0.22419075049470616
CURRENT_BASE,daily,250,000792,85,-0.23138319689733367
CURRENT_BASE,daily,250,000858,3,0.4261775591338042
CURRENT_BASE,daily,250,000933,230,-0.04807942544846883
CURRENT_BASE,daily,250,002001,14,-0.2679148627173292
CURRENT_BASE,daily,250,002128,353,0.33834045429375736
CURRENT_BASE,daily,250,002152,24,0.44930488141350744
CURRENT_BASE,daily,250,002236,4,0.16351354484601632
CURRENT_BASE,daily,250,002304,51,0.5810125498847976
CURRENT_BASE,daily,250,002466,146,0.5243852743231907
CURRENT_BASE,daily,250,002532,6,0.47203005121981867
CURRENT_BASE,daily,250,002714,6,0.6735855254095274
CURRENT_BASE,daily,250,002833,8,0.21607613506723689
CURRENT_BASE,daily,250,002841,4,0.2751527166044936
CURRENT_BASE,daily,250,300059,2,0.9887727168921626
CURRENT_BASE,daily,250,600000,11,-0.17100123536678624
CURRENT_BASE,daily,250,600009,1,1.0710910679250452
CURRENT_BASE,daily,250,600015,1,0.18460966542750956
CURRENT_BASE,daily,250,600016,5,-0.12655201528685056
CURRENT_BASE,daily,250,600031,17,-0.18115495491666833
CURRENT_BASE,daily,250,600036,2,0.432202990746534
CURRENT_BASE,daily,250,600066,45,0.3972485320203416
CURRENT_BASE,daily,250,600176,16,0.2910454165890396
CURRENT_BASE,daily,250,600188,12,-0.020624311665289996
CURRENT_BASE,daily,250,600309,82,0.5668334362830981
CURRENT_BASE,daily,250,600426,2,0.7933238479156954
CURRENT_BASE,daily,250,600519,3,0.5123465225781778
CURRENT_BASE,daily,250,600566,4,-0.20365205309352674
CURRENT_BASE,daily,250,600585,224,0.07199190701469182
CURRENT_BASE,daily,250,600660,30,0.07869894238051323
CURRENT_BASE,daily,250,600750,1,0.3052891770077566
CURRENT_BASE,daily,250,600897,23,-0.08497267214416349
CURRENT_BASE,daily,250,600919,9,0.1958267896398358
CURRENT_BASE,daily,250,600938,93,0.4116320873509951
CURRENT_BASE,daily,250,600970,1,0.1021106798656839
CURRENT_BASE,daily,250,601009,30,0.14069777472943545
CURRENT_BASE,daily,250,601077,5,-0.022388211382113887
CURRENT_BASE,daily,250,601088,312,0.4262575547063854
CURRENT_BASE,daily,250,601166,17,0.17464449732681508
CURRENT_BASE,daily,250,601169,16,0.0302581351579696
CURRENT_BASE,daily,250,601187,7,0.303447126336426
CURRENT_BASE,daily,250,601225,67,0.38155979935448725
CURRENT_BASE,daily,250,601229,25,0.46650069300353914
CURRENT_BASE,daily,250,601288,20,0.3077322673831391
CURRENT_BASE,daily,250,601328,99,0.11153601615678066
CURRENT_BASE,daily,250,601398,25,-0.04126332782975606
CURRENT_BASE,daily,250,601818,8,-0.027449134157189747
CURRENT_BASE,daily,250,601825,75,0.008878305505624295
CURRENT_BASE,daily,250,601838,13,0.08699939698492454
CURRENT_BASE,daily,250,601857,12,0.08205173599574744
CURRENT_BASE,daily,250,601939,19,0.3573516948941984
CURRENT_BASE,daily,250,601988,8,0.36243804716996364
CURRENT_BASE,daily,250,603156,1,0.18598979193706344
CURRENT_BASE,daily,250,603993,2,1.5858457673340378
CURRENT_BASE,daily,250,688516,2,0.15378365050003107
CURRENT_BASE,daily,750,000022,1,0.8477272727272727
CURRENT_BASE,daily,750,000333,10,2.474671299368971
