arm,method,horizon,code,signal_date,exec_date,end_date,break_date,complete,forward_return
OLD,daily,250,000001,2024-08-28,2024-08-29,2025-09-10,,True,0.22250423133179065
OLD,daily,250,000001,2024-12-16,2024-12-17,2025-12-26,,True,0.053249211955145315
OLD,daily,250,000001,2024-12-17,2024-12-18,2025-12-29,,True,0.044206879330138005
OLD,daily,250,000001,2024-12-30,2024-12-31,2026-01-13,,True,0.03164956047917511
OLD,daily,250,000001,2024-12-31,2025-01-02,2026-01-14,,True,0.0458917620877779
OLD,daily,250,000001,2026-04-14,2026-04-15,,,False,
OLD,daily,250,000001,2026-04-15,2026-04-16,,,False,
OLD,daily,250,000001,2026-04-16,2026-04-17,,,False,
OLD,daily,250,000001,2026-04-20,2026-04-21,,,False,
OLD,daily,250,000001,2026-04-27,2026-04-28,,,False,
OLD,daily,250,000001,2026-04-28,2026-04-29,,,False,
OLD,daily,250,000001,2026-04-29,2026-04-30,,,False,
OLD,daily,250,000001,2026-04-30,2026-05-06,,,False,
OLD,daily,250,000001,2026-05-06,2026-05-07,,,False,
OLD,daily,250,000001,2026-05-07,2026-05-08,,,False,
OLD,daily,250,000001,2026-05-08,2026-05-11,,,False,
OLD,ma60_episode,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,True,0.22250423133179065
OLD,ma60_episode,250,000001,2024-12-16,2024-12-17,2025-12-26,2025-01-02,True,0.053249211955145315
OLD,ma60_episode,250,000001,2026-04-14,2026-04-15,,2026-05-15,False,
OLD,ma60_nonoverlap,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,True,0.22250423133179065
OLD,ma60_nonoverlap,250,000001,2026-04-14,2026-04-15,,2026-05-15,False,
OLD,stop_episode,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,True,0.22250423133179065
OLD,stop_episode,250,000001,2024-12-16,2024-12-17,2025-12-26,2025-01-02,True,0.053249211955145315
OLD,stop_episode,250,000001,2026-04-14,2026-04-15,,2026-05-18,False,
OLD,daily,750,000001,2024-08-28,2024-08-29,,,False,
OLD,daily,750,000001,2024-12-16,2024-12-17,,,False,
OLD,daily,750,000001,2024-12-17,2024-12-18,,,False,
OLD,daily,750,000001,2024-12-30,2024-12-31,,,False,
OLD,daily,750,000001,2024-12-31,2025-01-02,,,False,
OLD,daily,750,000001,2026-04-14,2026-04-15,,,False,
