start,code,base_contrib,slope_contrib,delta_contrib
2009-11-01,000022,-0.018262000000000004,-0.026178,-0.007915999999999996
2009-11-01,000333,0.022483000000000003,0.056694,0.034211
2009-11-01,000338,0.852751,0.744016,-0.10873500000000003
2009-11-01,000423,0.004725,0.003142,-0.0015830000000000002
2009-11-01,000568,0.00214,0.005171,0.0030310000000000003
2009-11-01,000651,0.8753770000000002,1.0036470000000002,0.12827
2009-11-01,000661,0.001002,0.001002,0.0
2009-11-01,000792,-0.206826,-0.255864,-0.04903799999999997
2009-11-01,000858,-0.000106,0.011265,0.011371000000000001
2009-11-01,000933,0.968518,0.874951,-0.09356699999999996
2009-11-01,002001,-0.022493,-0.030234,-0.007741000000000001
2009-11-01,002024,0.043062,0.059150999999999995,0.016088999999999992
2009-11-01,002128,1.098839,0.762826,-0.3360129999999999
2009-11-01,002142,-0.001332,-0.001331,1.0000000000001327e-06
2009-11-01,002152,-0.0055580000000000004,-0.017241,-0.011682999999999999
2009-11-01,002304,0.135186,0.151159,0.015972999999999987
2009-11-01,002466,-0.07378100000000001,-0.07953999999999997,-0.005758999999999959
2009-11-01,002532,0.029291000000000005,0.061398,0.032107
2009-11-01,002648,0.0258,0.007821,-0.017979000000000002
2009-11-01,002714,0.090411,0.082883,-0.007528000000000007
2009-11-01,002807,0.0,1e-06,1e-06
2009-11-01,002833,-0.001145,-0.011301,-0.010156
2009-11-01,002839,0.0,0.0,0.0
2009-11-01,002948,0.0,0.0,0.0
2009-11-01,002966,-0.003294,-0.002706,0.000588
2009-11-01,300059,0.065637,0.013101999999999999,-0.052535
2009-11-01,600000,-0.00013,-0.00349,-0.00336
2009-11-01,600016,-0.000953,-4.9999999999999996e-05,0.0009029999999999999
2009-11-01,600031,0.012962,-0.0005430000000000018,-0.013505000000000001
2009-11-01,600036,-0.003022,-0.004287,-0.001265
2009-11-01,600066,-0.026684,-0.029744,-0.0030600000000000002
2009-11-01,600176,0.006286,-0.0009789999999999998,-0.007265
2009-11-01,600188,-0.053304000000000004,-0.065237,-0.011933
2009-11-01,600309,0.235311,0.350836,0.11552499999999999
2009-11-01,600519,0.001731,-0.036122,-0.037853
2009-11-01,600566,0,-0.011287,-0.011287
2009-11-01,600585,0.49195599999999995,0.38991000000000003,-0.10204599999999991
2009-11-01,600660,0.11417000000000002,0.16908700000000004,0.05491700000000002
2009-11-01,600690,0.025955,0.03538,0.009425000000000003
2009-11-01,600887,0.014835,0.0149,6.500000000000082e-05
2009-11-01,600897,-0.022001,-0.018665,0.0033359999999999987
2009-11-01,600919,0.059786,0.049529,-0.010257000000000002
2009-11-01,600926,0.0,0.0,0.0
2009-11-01,600938,0.082046,0.167623,0.085577
2009-11-01,600970,-0.085733,-0.080694,0.005039000000000002
2009-11-01,601009,0.055069,0.134243,0.079174
2009-11-01,601077,-0.000208,-6.8e-05,0.00014
2009-11-01,601088,0.9265520000000002,0.920296,-0.00625600000000015
2009-11-01,601166,0.054506,0.049577,-0.004928999999999996
2009-11-01,601169,0.124176,0.018428,-0.105748
2009-11-01,601187,0.009928,0.034802,0.024874
2009-11-01,601225,0.130836,0.316245,0.185409
2009-11-01,601229,0.015795999999999998,0.06951,0.053714000000000005
2009-11-01,601288,-0.004502,0.008307,0.012809000000000001
2009-11-01,601328,0.339675,0.25103800000000004,-0.08863699999999997
2009-11-01,601398,-0.010702000000000001,-0.00651,0.004192000000000001
2009-11-01,601577,0,0.0,0.0
2009-11-01,601658,-0.000485,1e-06,0.00048600000000000005
2009-11-01,601665,0.0007269999999999999,-0.003898,-0.004625
2009-11-01,601818,1.8e-05,-0.001569,-0.001587
2009-11-01,601825,0.020121999999999998,0.007862000000000001,-0.012259999999999997
2009-11-01,601838,0,-8.6e-05,-8.6e-05
2009-11-01,601857,0.00040500000000000003,-1.3e-05,-0.000418
2009-11-01,601916,9.999999999999999e-06,-7e-05,-7.999999999999999e-05
2009-11-01,601939,0.003698,0.017443,0.013745
2009-11-01,601963,-0.000718,-0.007042,-0.006324
2009-11-01,601988,0.126851,0.00021100000000000003,-0.12664
2009-11-01,601997,0.0,0,0.0
2009-11-01,601998,-0.010286,0.009155000000000002,0.019441
2009-11-01,603156,0.001876,-0.000773,-0.0026490000000000003
2009-11-01,603993,0.004734,0,-0.004734
2009-11-01,688516,0.425306,0.316545,-0.108761
2011-11-01,000022,4.4e-05,8.8e-05,4.4e-05
2011-11-01,000333,0.024284999999999998,0.056076,0.031791
2011-11-01,000338,0.7491109999999999,0.726776,-0.022334999999999883
2011-11-01,000423,0,0.003137,0.003137
2011-11-01,000568,0.004776,0.004798,2.2000000000000318e-05
2011-11-01,000651,0.6146629999999997,0.7937149999999998,0.1790520000000001
2011-11-01,000661,0.001002,0,-0.001002
2011-11-01,000792,-0.20557599999999998,-0.135505,0.070071
2011-11-01,000858,-0.000165,0.011816,0.011981
2011-11-01,000933,0.727012,0.67995,-0.04706199999999994
2011-11-01,002001,-0.039218,0,0.039218
2011-11-01,002024,0.03209,0.044409,0.012318999999999997
2011-11-01,002128,1.2102169999999999,0.7533810000000001,-0.4568359999999998
2011-11-01,002142,-0.001332,-0.001331,1.0000000000001327e-06
2011-11-01,002152,-0.003658,-0.017227,-0.013569
2011-11-01,002304,0.128804,0.160863,0.032059000000000004
2011-11-01,002466,-0.06289600000000001,-0.136363,-0.073467
2011-11-01,002532,0.019561,0.053502999999999995,0.033942
2011-11-01,002648,0.021435,0.007174,-0.014261
2011-11-01,002714,0.080682,0.082977,0.0022949999999999915
2011-11-01,002807,2e-06,0.0,-2e-06
2011-11-01,002833,-0.001593,-0.013041,-0.011448
2011-11-01,002839,0.0,0.0,0.0
2011-11-01,002948,0.0,0.0,0.0
2011-11-01,002966,-0.003301,-0.002187,0.001114
2011-11-01,300059,0.046266,0.013255999999999999,-0.033010000000000005
2011-11-01,600000,-2e-06,-0.00348,-0.003478
2011-11-01,600015,0,-0.000908,-0.000908
2011-11-01,600016,-0.000587,-6.599999999999999e-05,0.000521
2011-11-01,600031,0.0008139999999999999,0.0007929999999999988,-2.100000000000116e-05
2011-11-01,600036,-0.003009,-0.001372,0.001637
2011-11-01,600066,-0.025737000000000003,-0.051195,-0.025457999999999995
2011-11-01,600176,0.005004,0.002503,-0.0025009999999999998
2011-11-01,600188,-0.048269,-0.067291,-0.019022000000000004
2011-11-01,600309,0.098162,0.3397260000000001,0.24156400000000008
2011-11-01,600519,0.001778,-0.038297000000000005,-0.040075000000000006
2011-11-01,600566,0,-0.011292,-0.011292
2011-11-01,600585,0.464851,0.373737,-0.09111400000000003
2011-11-01,600660,0.224498,0.106795,-0.117703
2011-11-01,600690,0.002049,0.038722,0.036673
2011-11-01,600887,0.014656,0.014865,0.00020899999999999912
2011-11-01,600897,-0.017126999999999996,0.047498000000000005,0.064625
2011-11-01,600919,0.059932,0.046352000000000004,-0.013579999999999995
2011-11-01,600926,0.0,0,0.0
2011-11-01,600938,0.07913600000000001,0.250633,0.17149699999999998
2011-11-01,600970,-0.08039199999999999,-0.093775,-0.013383000000000006
2011-11-01,601009,0.034282,0.14440399999999998,0.11012199999999997
2011-11-01,601077,-0.00017,-5e-06,0.000165
