group,lower,upper,metric,paired_delta_median,positive_starts,starts
full,PC60SSEP08,PC70SSEP08,年化,-0.04652838414558047,1,14
full,PC60SSEP08,PC70SSEP08,滚动5年年化中位,-0.09767562374106131,1,14
full,PC60SSEP08,PC70SSEP08,互不重叠5年块中位,-0.06646021202476793,1,14
full,PC70SSEP08,PC80SSEP08,年化,-0.03941887936295507,2,14
full,PC70SSEP08,PC80SSEP08,滚动5年年化中位,-0.07340709090064546,1,14
full,PC70SSEP08,PC80SSEP08,互不重叠5年块中位,-0.0516030489207423,4,14
full,PC80SSEP08,PC90SSEP08,年化,-0.030533236867265834,1,14
full,PC80SSEP08,PC90SSEP08,滚动5年年化中位,-0.05791109722297294,3,14
full,PC80SSEP08,PC90SSEP08,互不重叠5年块中位,-0.05198910883012381,1,14
full,PC90SSEP08,PC100SSEP08,年化,-0.014434804271216573,4,14
full,PC90SSEP08,PC100SSEP08,滚动5年年化中位,-0.02654479144686228,3,14
full,PC90SSEP08,PC100SSEP08,互不重叠5年块中位,-0.06201343450224317,4,14
A,PC60SSEP08,PC70SSEP08,年化,0.028993456408404894,13,14
A,PC60SSEP08,PC70SSEP08,滚动5年年化中位,0.042989945318668954,13,14
A,PC60SSEP08,PC70SSEP08,互不重叠5年块中位,0.05299571714666085,13,14
A,PC70SSEP08,PC80SSEP08,年化,-0.005229711399607928,6,14
A,PC70SSEP08,PC80SSEP08,滚动5年年化中位,-0.00921211735136207,6,14
A,PC70SSEP08,PC80SSEP08,互不重叠5年块中位,-0.012172426568561656,5,14
A,PC80SSEP08,PC90SSEP08,年化,-0.005886322064143301,4,14
A,PC80SSEP08,PC90SSEP08,滚动5年年化中位,0.010432917621405191,9,14
A,PC80SSEP08,PC90SSEP08,互不重叠5年块中位,0.003178373010218727,7,14
A,PC90SSEP08,PC100SSEP08,年化,-0.0049978082557388115,5,14
A,PC90SSEP08,PC100SSEP08,滚动5年年化中位,0.001143764831594063,7,14
A,PC90SSEP08,PC100SSEP08,互不重叠5年块中位,-0.007485615058103801,6,14
