group,arm,reference,start,cagr,reference_cagr,delta_cagr,delta_roll5,delta_nonoverlap5
full,BASE,BASE,2009-11-01,0.31367085096878133,0.31367085096878133,0.0,0.0,0.0
full,BASE,BASE,2010-05-01,0.38489175716636725,0.38489175716636725,0.0,0.0,0.0
full,BASE,BASE,2010-11-01,0.323746530123739,0.323746530123739,0.0,0.0,0.0
full,BASE,BASE,2011-05-01,0.3153620966159747,0.3153620966159747,0.0,0.0,0.0
full,BASE,BASE,2011-11-01,0.35929213628297796,0.35929213628297796,0.0,0.0,0.0
full,BASE,BASE,2012-05-01,0.3631263206426567,0.3631263206426567,0.0,0.0,0.0
full,BASE,BASE,2012-11-01,0.46003958605696127,0.46003958605696127,0.0,0.0,0.0
full,BASE,BASE,2013-05-01,0.47077227598313964,0.47077227598313964,0.0,0.0,0.0
full,BASE,BASE,2013-11-01,0.45307555049095805,0.45307555049095805,0.0,0.0,0.0
full,BASE,BASE,2014-05-01,0.4601510201617345,0.4601510201617345,0.0,0.0,0.0
full,BASE,BASE,2014-11-01,0.4791761673894679,0.4791761673894679,0.0,0.0,0.0
full,BASE,BASE,2015-05-01,0.4807762757549656,0.4807762757549656,0.0,0.0,0.0
full,BASE,BASE,2015-11-01,0.6167599051697947,0.6167599051697947,0.0,0.0,0.0
full,BASE,BASE,2016-05-01,0.6501413301128931,0.6501413301128931,0.0,0.0,0.0
full,BASE,PC60SSEP08,2009-11-01,0.31367085096878133,0.31415756991365784,-0.00048671894487650746,-0.0014423211553848958,1.8919734223965534e-05
full,BASE,PC60SSEP08,2010-05-01,0.38489175716636725,0.38489175716636725,0.0,0.0,0.0
full,BASE,PC60SSEP08,2010-11-01,0.323746530123739,0.35189308206209735,-0.028146551938358355,-0.09876220764642607,-0.11045534681482305
full,BASE,PC60SSEP08,2011-05-01,0.3153620966159747,0.3153620966159747,0.0,0.0,0.0
full,BASE,PC60SSEP08,2011-11-01,0.35929213628297796,0.3354637799991984,0.02382835628377955,0.005954645664050462,0.0359679827812186
