group,arm,reference,metric,median,paired_delta_median,positive_starts,starts
full,BASE,BASE,滚动5年年化中位,0.5120379561159653,0.0,0,14
full,BASE,BASE,滚动5年年化P25,0.3839423654490838,0.0,0,14
full,BASE,BASE,滚动5年年化最差,0.11513745634735473,0.0,0,14
full,BASE,BASE,滚动5年回撤中位,0.46420338775730896,0.0,0,14
full,BASE,BASE,滚动5年Calmar中位,1.06035846082976,0.0,0,14
full,BASE,BASE,滚动5年Sharpe中位,1.026096436537976,0.0,0,14
full,BASE,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,BASE,年化,0.45655756827395966,0.0,0,14
full,BASE,BASE,最大回撤,0.6915421183197383,0.0,0,14
full,BASE,BASE,Calmar,0.5999784210379602,0.0,0,14
full,BASE,BASE,Sharpe,0.9556917169411325,0.0,0,14
full,BASE,BASE,互不重叠5年块中位,0.6147620892310237,0.0,0,14
full,BASE,BASE,滚动3年年化中位,0.485011664736288,0.0,0,14
full,BASE,BASE,滚动3年回撤中位,0.43783899141586896,0.0,0,14
full,BASE,BASE,逐年收益中位,0.3872647032409982,0.0,0,14
full,BASE,BASE,逐年最差,-0.2715508503888037,0.0,0,14
full,BASE,BASE,年均换手,7.014155393373942,0.0,0,14
full,BASE,BASE,平均仓位,1.646187216629815,0.0,0,14
full,BASE,BASE,持仓数中位,6.0,0.0,0,14
full,BASE,BASE,单票权重中位,0.6503445967019137,0.0,0,14
full,BASE,BASE,单票权重P90,0.8871514616910131,0.0,0,14
full,BASE,BASE,单票权重最大,1.0827451409671238,0.0,0,14
full,BASE,BASE,前三权重中位,1.452068374475039,0.0,0,14
full,BASE,BASE,单票超60%天数占比,0.7922951118317829,0.0,0,14
full,BASE,BASE,滚动10年年化中位,0.42586696630976906,0.0,0,14
full,BASE,PC60SSEP08,滚动5年年化中位,0.5120379561159653,0.0,3,14
full,BASE,PC60SSEP08,滚动5年年化P25,0.3839423654490838,0.0,2,14
full,BASE,PC60SSEP08,滚动5年年化最差,0.11513745634735473,0.0,3,14
full,BASE,PC60SSEP08,滚动5年回撤中位,0.46420338775730896,0.0,4,14
full,BASE,PC60SSEP08,滚动5年Calmar中位,1.06035846082976,0.0,2,14
full,BASE,PC60SSEP08,滚动5年Sharpe中位,1.026096436537976,0.0,3,14
full,BASE,PC60SSEP08,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,PC60SSEP08,年化,0.45655756827395966,0.0,3,14
full,BASE,PC60SSEP08,最大回撤,0.6915421183197383,0.0,2,14
full,BASE,PC60SSEP08,Calmar,0.5999784210379602,0.0,3,14
full,BASE,PC60SSEP08,Sharpe,0.9556917169411325,0.0,3,14
full,BASE,PC60SSEP08,互不重叠5年块中位,0.6147620892310237,0.0,4,14
full,BASE,PC60SSEP08,滚动3年年化中位,0.485011664736288,0.0,3,14
full,BASE,PC60SSEP08,滚动3年回撤中位,0.43783899141586896,0.0,2,14
full,BASE,PC60SSEP08,逐年收益中位,0.3872647032409982,0.0,3,14
full,BASE,PC60SSEP08,逐年最差,-0.2715508503888037,0.0,0,14
full,BASE,PC60SSEP08,年均换手,7.014155393373942,0.0,2,14
full,BASE,PC60SSEP08,平均仓位,1.646187216629815,0.0,2,14
full,BASE,PC60SSEP08,持仓数中位,6.0,0.0,1,14
full,BASE,PC60SSEP08,单票权重中位,0.6503445967019137,0.0,3,14
full,BASE,PC60SSEP08,单票权重P90,0.8871514616910131,0.0,1,14
full,BASE,PC60SSEP08,单票权重最大,1.0827451409671238,0.0,0,14
full,BASE,PC60SSEP08,前三权重中位,1.452068374475039,0.0,1,14
full,BASE,PC60SSEP08,单票超60%天数占比,0.7922951118317829,0.0,3,14
full,BASE,PC60SSEP08,滚动10年年化中位,0.42586696630976906,0.0,4,14
full,PC60SSEP08,BASE,滚动5年年化中位,0.5120379561159653,0.0,3,14
full,PC60SSEP08,BASE,滚动5年年化P25,0.3964545233757554,0.0,3,14
full,PC60SSEP08,BASE,滚动5年年化最差,0.11513745634735473,0.0,2,14
full,PC60SSEP08,BASE,滚动5年回撤中位,0.4664085434672546,0.0,2,14
full,PC60SSEP08,BASE,滚动5年Calmar中位,1.0923921939285277,0.0,4,14
full,PC60SSEP08,BASE,滚动5年Sharpe中位,1.026096436537976,0.0,3,14
full,PC60SSEP08,BASE,滚动5年为负的窗口占比,0.0,0.0,1,14
full,PC60SSEP08,BASE,年化,0.45534270408453836,0.0,3,14
full,PC60SSEP08,BASE,最大回撤,0.6915421223446483,0.0,3,14
full,PC60SSEP08,BASE,Calmar,0.6099680419849909,0.0,3,14
full,PC60SSEP08,BASE,Sharpe,0.9556917169411325,0.0,3,14
full,PC60SSEP08,BASE,互不重叠5年块中位,0.6249091104094153,0.0,2,14
full,PC60SSEP08,BASE,滚动3年年化中位,0.485011664736288,0.0,3,14
full,PC60SSEP08,BASE,滚动3年回撤中位,0.43818989836433914,0.0,4,14
full,PC60SSEP08,BASE,逐年收益中位,0.392919101874457,0.0,3,14
full,PC60SSEP08,BASE,逐年最差,-0.24757789535898533,0.0,3,14
full,PC60SSEP08,BASE,年均换手,6.910518420903045,0.0,4,14
full,PC60SSEP08,BASE,平均仓位,1.6463700361347207,0.0,4,14
full,PC60SSEP08,BASE,持仓数中位,6.0,0.0,0,14
full,PC60SSEP08,BASE,单票权重中位,0.6429540980982408,0.0,3,14
full,PC60SSEP08,BASE,单票权重P90,0.8864146607682613,0.0,4,14
full,PC60SSEP08,BASE,单票权重最大,1.0904269273996996,0.0,3,14
full,PC60SSEP08,BASE,前三权重中位,1.447576819334442,0.0,5,14
full,PC60SSEP08,BASE,单票超60%天数占比,0.7808336029592482,0.0,3,14
full,PC60SSEP08,BASE,滚动10年年化中位,0.43664002637454125,0.0,2,14
