signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2013-08-30,2013-09-02,600066,17.3000,17.7130,17.6260,0,0,0.8616,000338,0.4879,chop:flat;gap=-0.02332;run=2;slope=0.004935890162260259;cross=4,600585,33340
2013-10-24,2013-10-25,601988,2.7900,2.8000,2.8020,0,0,1.0168,600309,0.6696,chop:flat;gap=-0.00357;run=1;slope=-0.0007137758743754885;cross=5,,200
2013-11-25,2013-11-26,601988,2.8100,2.8115,2.8045,0,0,1.0578,600585,0.6567,chop:flat;gap=-0.00053;run=1;slope=0.002495988589766407;cross=5,,96400
2013-12-10,2013-12-11,601988,2.8200,2.8200,2.8120,0,0,1.0947,601088,0.5424,chop:flat;gap=-0.00000;run=1;slope=0.002844950213371167;cross=4,,96400
2013-12-11,2013-12-12,601988,2.7900,2.8205,2.8150,0,0,1.0831,601857,0.9223,chop:flat;gap=-0.01081;run=2;slope=0.00195381882770862;cross=4,,96400
2014-07-10,2014-07-11,601988,2.5400,2.5675,2.5590,0,0,0.8362,600066,0.6639,chop:flat;gap=-0.01071;run=2;slope=0.003321610003907738;cross=7,,200
2014-07-23,2014-07-24,601988,2.5600,2.5667,2.5617,0,0,0.8427,000792,0.5680,chop:flat;gap=-0.00261;run=1;slope=0.0019518288636450887;cross=5,,300
2023-08-09,2023-08-10,000338,12.7800,12.7855,12.7380,0,0,0.7709,600176,0.6070,chop:flat;gap=-0.00043;run=1;slope=0.0037289998429892446;cross=5,,59200
2023-08-10,2023-08-11,000338,12.7900,12.7920,12.7505,0,0,0.7715,000792,0.4484,chop:flat;gap=-0.00016;run=2;slope=0.003254774322575482;cross=5,601328,59200
2024-11-14,2024-11-15,601818,3.4600,3.4630,3.4750,0,0,0.8654,002236,0.6282,chop:flat;gap=-0.00087;run=1;slope=-0.0034532374100719743;cross=5,,100
2024-11-15,2024-11-18,601818,3.4500,3.4600,3.4750,0,0,0.8629,002236,0.6361,chop:flat;gap=-0.00289;run=2;slope=-0.004316546762589968;cross=5,600919,100
2025-06-13,2025-06-16,601658,5.3100,5.3415,5.3315,0,0,0.7573,002532,0.5273,chop:flat;gap=-0.00590;run=1;slope=0.0018756447528838205;cross=5,601187,100
2025-09-18,2025-09-19,601658,6.0700,6.1905,6.1745,0,0,0.9057,600938,0.7084,chop:flat;gap=-0.01947;run=1;slope=0.0025913029395090437;cross=5,,100
2025-09-19,2025-09-22,601658,6.0400,6.1815,6.1860,0,0,0.9012,600938,0.7149,chop:flat;gap=-0.02289;run=2;slope=-0.0007274490785647014;cross=5,,100
2025-12-04,2025-12-05,601665,6.0600,6.0785,6.0935,0,0,0.8930,000651,0.6813,chop:flat;gap=-0.00304;run=2;slope=-0.002461639451874942;cross=4,002466,200
