arm,year,synthetic_pp,actual_sign_stable,excess_sign_stable,actual_opposite_synthetic_all_tolerances,distinct_pairs,0.04_actual_pp,0.04_excess_pp,0.10_actual_pp,0.10_excess_pp,0.15_actual_pp,0.15_excess_pp
BASE,2012,17.587559071101,True,True,True,4,-4.243095685710413,-8.593722474749201,-21.48396561633788,-27.899920952769875,-21.48396561633788,-12.710353897148396
BASE,2013,-15.165880510393237,True,True,False,17,-11.207387112140022,-9.826669860897471,-17.065785270730444,-9.135381561872613,-17.065785270730444,-9.341647171215953
BASE,2014,-10.249800385154318,True,True,False,19,-20.74392840456819,-27.549597079466697,-17.190397501549082,-12.762705705836058,-15.088953380401971,-8.98394645167311
BASE,2015,-15.896519306298739,True,True,False,11,-37.216283375706894,-67.64842958978092,-7.395265278943364,-16.54078782329612,-1.5637062487805387,-11.391458003722011
BASE,2016,20.01004155269146,False,True,False,12,-6.801876952090269,-11.619641817314786,-6.801876952090269,-16.457597344075616,2.9267223029569855,-12.5346378845128
BASE,2020,43.60375907928582,True,True,True,12,-23.155489966007163,-32.56000482213553,-16.2365097100006,-27.028409445715106,-15.848797736888104,-25.722958594302753
BASE,2022,10.967114744339796,True,True,False,8,2.541374336081148,-6.747496451328478,1.977781286739666,-3.578067841977517,1.977781286739666,-3.257860298629034
BASE,2023,-4.928900384117007,True,True,False,12,-40.707601957098625,-20.524256679314,-16.22452403560243,-17.287773937907783,-15.438545439713014,-18.99417936786325
BASE,2024,-17.685025364404076,True,True,False,18,-9.646871629168107,-0.1869949433184248,-2.16397772355188,-7.512810774899581,-2.16397772355188,-3.150541221454306
BASE,2025,72.14625015778404,True,False,False,23,43.7755802648556,1.5897776062798963,20.303625169028237,-4.230168486967534,20.303625169028237,-0.6675159189769297
C030R35,2012,17.587559071101,True,True,True,4,-4.243095685710413,-8.593722474749201,-21.48396561633788,-27.899920952769875,-21.48396561633788,-12.710353897148396
C030R35,2013,-15.165880510393237,True,True,False,17,-11.207387112140022,-9.826669860897471,-17.065785270730444,-9.135381561872613,-17.065785270730444,-9.341647171215953
C030R35,2014,-10.249800385154318,True,True,False,19,-20.74392840456819,-27.549597079466697,-17.190397501549082,-12.762705705836058,-15.088953380401971,-8.98394645167311
C030R35,2015,-15.896519306298739,True,True,True,11,49.12338457954875,44.275218982663205,41.27028639290131,48.28289262161913,39.26629657145857,44.9272104658605
C030R35,2016,20.01004155269146,False,False,False,15,-18.019221170836254,-22.527826439581343,50.68370757038699,28.444118432585892,34.789133222883265,13.089571683629925
C030R35,2020,43.60375907928582,False,True,False,7,-30.074470222013726,-44.263157316205024,-17.699489222354952,-35.92307855386877,6.856126888209552,-25.722958594302753
C030R35,2022,10.967114744339796,True,True,False,8,1.977781286739666,-10.75435544986063,0.22975911383968928,-4.128699816763359,0.22975911383968928,-3.34335939552739
C030R35,2023,-4.928900384117007,True,True,False,9,-68.42237446855857,-79.43244415317574,-24.837387271938915,-33.29542986684068,-23.507658367893967,-25.735572761601933
C030R35,2024,-17.685025364404076,True,True,False,20,-5.07508699862349,-5.391669587417125,-5.07508699862349,-5.040767979880611,-5.07508699862349,-5.327109507678019
C030R35,2025,72.14625015778404,True,False,False,19,37.57323162434375,5.291161497717941,22.398216641308757,-5.879889537653033,22.398216641308757,-0.7632056923012859
