group,start,begin,end,BASE_pct,C030R35_pct,delta_pp
full,2009-11-01,2021-07,2026-07,71.99441609193056,63.93662271679696,-8.057793375133592
full,2009-11-01,2016-07,2021-07,55.02948197762605,52.9593862208241,-2.0700957568019485
full,2009-11-01,2011-07,2016-07,2.9029485548093925,6.096264782050209,3.1933162272408167
full,2010-05-01,2021-07,2026-07,66.28361816349569,64.52193366385137,-1.7616844996443115
full,2010-05-01,2016-07,2021-07,50.20954940809348,55.676147729320945,5.466598321227467
full,2010-05-01,2011-07,2016-07,3.746082505808346,5.923163577901214,2.177081072092868
full,2010-11-01,2021-07,2026-07,64.0041510738182,61.17972866403822,-2.824422409779981
full,2010-11-01,2016-07,2021-07,41.40516063112081,46.91561894703864,5.510458315917832
full,2010-11-01,2011-07,2016-07,2.6806958366559552,4.885306625451702,2.2046107887957467
full,2011-05-01,2021-07,2026-07,57.19971025853168,60.575573471543805,3.3758632130121313
full,2011-05-01,2016-07,2021-07,43.730021399095165,45.91269332937931,2.1826719302841413
full,2011-05-01,2011-07,2016-07,2.8834309454843776,7.473822449055079,4.590391503570701
full,2011-11-01,2021-07,2026-07,64.69102552438935,67.19448357046211,2.5034580460727707
full,2011-11-01,2016-07,2021-07,48.17770502444447,45.680911980149276,-2.496793044295198
full,2012-05-01,2021-07,2026-07,73.06043652782897,65.3832675980952,-7.6771689297337575
full,2012-05-01,2016-07,2021-07,56.021853605127234,45.81362562269853,-10.208227982428708
full,2012-11-01,2021-07,2026-07,64.6960282748796,64.67771995936975,-0.01830831550984069
full,2012-11-01,2016-07,2021-07,48.62172627343675,47.85841498633832,-0.7633112870984338
full,2013-05-01,2021-07,2026-07,65.10930340367094,65.88365028121801,0.7743468775470719
full,2013-05-01,2016-07,2021-07,68.96732474158793,53.87492680404282,-15.09239793754511
full,2013-11-01,2021-07,2026-07,71.36621062451876,66.45234519147918,-4.913865433039577
full,2013-11-01,2016-07,2021-07,59.36234719305868,54.97747696904196,-4.384870224016724
full,2014-05-01,2021-07,2026-07,65.40318416387403,63.08693647413841,-2.3162476897356177
full,2014-05-01,2016-07,2021-07,70.49684690601067,74.48926775518396,3.9924208491732838
full,2014-11-01,2021-07,2026-07,71.88741204052396,66.608820524718,-5.278591515805964
full,2014-11-01,2016-07,2021-07,67.55376218992464,66.24220826975218,-1.311553920172459
full,2015-05-01,2021-07,2026-07,72.0580140675966,63.83391108567722,-8.22410298191938
full,2015-05-01,2016-07,2021-07,69.15366449744738,70.26653522949526,1.1128707320478881
full,2015-11-01,2021-07,2026-07,71.41882498016597,66.23627348762567,-5.182551492540299
full,2015-11-01,2016-07,2021-07,69.07230974133094,64.73928419049048,-4.3330255508404525
full,2016-05-01,2021-07,2026-07,73.27734661377367,66.90601858379586,-6.3713280299778186
full,2016-05-01,2016-07,2021-07,63.59214843689216,57.04542260934322,-6.546725827548938
A,2009-11-01,2021-07,2026-07,71.40004805965758,69.5700075168276,-1.8300405428299804
A,2009-11-01,2016-07,2021-07,60.55408086383485,68.90138709415629,8.34730623032145
A,2009-11-01,2011-07,2016-07,3.61314972852802,9.494781456892575,5.881631728364556
A,2010-05-01,2021-07,2026-07,69.13852763965839,70.53803076528004,1.3995031256216484
A,2010-05-01,2016-07,2021-07,58.17096751639441,68.19747697909968,10.026509462705269
A,2010-05-01,2011-07,2016-07,2.2223140172612066,9.964293588874607,7.7419795716134
A,2010-11-01,2021-07,2026-07,73.72592438298669,69.28582355623098,-4.4401008267557
A,2010-11-01,2016-07,2021-07,60.860743987137035,69.43255008029791,8.571806093160884
A,2010-11-01,2011-07,2016-07,10.983900585312224,10.612835094838303,-0.3710654904739208
A,2011-05-01,2021-07,2026-07,72.64759403492438,70.38207507135151,-2.2655189635728767
A,2011-05-01,2016-07,2021-07,64.57558920551574,60.6685217687996,-3.9070674367161384
A,2011-05-01,2011-07,2016-07,6.798918850362812,10.814526023660974,4.0156071732981635
A,2011-11-01,2021-07,2026-07,69.36407263901036,72.42354034880623,3.05946770979586
A,2011-11-01,2016-07,2021-07,61.713454167338355,68.72069926499424,7.00724509765589
A,2012-05-01,2021-07,2026-07,72.4834912977654,71.25208023747392,-1.2314110602914763
A,2012-05-01,2016-07,2021-07,61.290962737924204,68.94262904914585,7.65166631122165
A,2012-11-01,2021-07,2026-07,71.32947887237877,69.67435390432726,-1.6551249680515134
A,2012-11-01,2016-07,2021-07,50.66409472523512,67.11602466073698,16.451929935501862
A,2013-05-01,2021-07,2026-07,70.26859126313138,71.6187881276594,1.3501968645280193
A,2013-05-01,2016-07,2021-07,64.8245462517351,71.08106495129528,6.256518699560165
A,2013-11-01,2021-07,2026-07,73.08870082774288,69.45514413488654,-3.6335566928563434
A,2013-11-01,2016-07,2021-07,56.56896953701529,69.79986305610606,13.23089351909077
A,2014-05-01,2021-07,2026-07,72.08240116587284,72.34513336227279,0.2627321963999618
A,2014-05-01,2016-07,2021-07,62.28064662898629,70.70053339499145,8.419886766005158
A,2014-11-01,2021-07,2026-07,72.5692091708149,72.11592022740983,-0.4532889434050835
A,2014-11-01,2016-07,2021-07,61.51028134767509,67.79466794155562,6.284386593880531
A,2015-05-01,2021-07,2026-07,71.99643572442893,70.80903486002926,-1.1874008643996792
A,2015-05-01,2016-07,2021-07,57.585593484458556,61.8071263006996,4.221532816241047
A,2015-11-01,2021-07,2026-07,71.69838639899817,68.31538141888322,-3.3830049801149453
A,2015-11-01,2016-07,2021-07,57.623729702521075,71.03677479738305,13.413045094861964
A,2016-05-01,2021-07,2026-07,73.39902138827419,70.2320521155815,-3.166969272692688
A,2016-05-01,2016-07,2021-07,59.13498544559354,62.408346766263676,3.2733613206701317
