K,cagr_delta_pp,P_delta_pp,mdd_delta_pp,p25_delta_pp,worst5_delta_pp,roll5dd_delta_pp,exposure_delta_pp,cagr_positive_starts,mdd_shallower_starts
1,0.43718105162532384,-1.6222880950000018,-7.394350623994978,3.5166530190010703,5.068248335923586,-1.458614745324821,-3.524397826377468,7,13
3,-0.002497325371830783,-2.8620878900000033,-6.397180572825994,0.8128183160397873,2.7250276408400387,-1.8094016649005396,-4.012287240066481,7,11
5,3.974876744068989,4.443075425000001,-6.987036202627306,3.3547663561212304,5.210134804948796,0.7687061673343709,-5.217217285128362,13,13
10,5.4735252053336625,6.761428154999999,-12.413790674024995,6.359838772165405,7.098862790657268,-1.9604666739419574,-6.790987356459899,14,14
