group,start,BASE_peak_date,BASE_trough_date,BASE_same_interval_mdd_pct,BASE_interval_return_pct,C030R35_same_interval_mdd_pct,C030R35_interval_return_pct,same_interval_mdd_delta_pp
full,2009-11-01,2015-06-09,2016-02-01,56.367923885606565,-56.367923885606565,37.988542592354015,-37.988542592354015,-18.37938129325255
full,2011-11-01,2015-06-12,2016-02-01,52.63633731278936,-52.63633731278936,38.5373989150127,-38.5373989150127,-14.098938397776656
A,2009-11-01,2011-03-28,2014-03-20,61.85600076473219,-61.85600076473219,45.711640312714785,-44.994845094678304,-16.144360452017402
A,2011-11-01,2015-06-15,2016-05-26,55.9468001217861,-55.9468001217861,45.67741389735643,-43.78393048902397,-10.269386224429667
