tolerance,epoch,metric,BASE_days,BASE_median_pp,BASE_positive_days,BASE_years,BASE_positive_years,C030R35_days,C030R35_median_pp,C030R35_positive_days,C030R35_years,C030R35_positive_years,paired_delta_days,paired_delta_median_pp,paired_delta_positive_days,paired_delta_years,paired_delta_positive_years
0.04,early,actual,29,-19.705005666710672,6,5,0,31,-18.019221170836254,8,5,1,27,0.0,0,5,0
0.04,early,buy,29,-15.988810889774484,6,5,1,31,-14.00121179130207,8,5,1,27,0.0,0,5,0
0.04,early,sell,29,6.106573028142015,20,5,4,31,6.106573028142015,21,5,4,27,0.0,0,5,0
0.04,early,excess,29,-22.527826439581343,8,5,0,31,-22.20241052575093,10,5,1,27,0.0,0,5,0
0.04,late,actual,63,3.10496738542263,36,6,2,57,-2.7297944011285047,26,7,2,42,0.0,6,6,0
0.04,late,buy,63,-2.851996528497458,26,6,1,57,-3.744056987048716,23,7,1,42,0.0,5,6,0
0.04,late,sell,63,1.7549579567682994,32,6,4,57,8.082406438900303,36,7,5,42,0.0,2,6,0
0.04,late,excess,63,-3.4088865908053045,24,6,1,57,-10.880737608033975,19,7,1,42,0.0,6,6,0
0.10,early,actual,78,-17.020357668755988,21,5,0,91,-9.717049105118502,39,5,2,73,0.0,5,5,0
0.10,early,buy,78,-5.580326416109796,30,5,1,91,1.7302571332038719,48,5,2,73,0.0,5,5,1
0.10,early,sell,78,5.9323797825079625,49,5,4,91,6.223899704432723,55,5,5,73,0.0,5,5,1
0.10,early,excess,78,-14.147562420760696,24,5,0,91,-3.4422760793218266,42,5,2,73,0.0,5,5,0
0.10,late,actual,82,2.660297821049884,47,8,4,75,-3.9918923435106946,33,7,2,57,0.0,8,6,0
0.10,late,buy,82,-4.37131819327502,36,8,2,75,-5.836051120953556,30,7,2,57,0.0,7,6,0
0.10,late,sell,82,1.288870840435169,44,8,5,75,8.158390112165403,51,7,6,57,0.0,5,6,0
0.10,late,excess,82,-7.884842468310682,34,8,1,75,-10.015002174691778,27,7,0,57,0.0,8,6,0
0.15,early,actual,85,-15.088953380401971,27,5,1,99,-4.643672499339524,46,5,2,80,0.0,5,5,0
0.15,early,buy,85,-0.3287091010264531,42,5,2,99,4.971737768123496,60,5,3,80,0.0,5,5,1
0.15,early,sell,85,6.533813275801359,56,5,5,99,7.386392424324906,62,5,5,80,0.0,6,5,1
0.15,early,excess,85,-8.98394645167311,28,5,0,99,-2.93143693594764,47,5,2,80,0.0,5,5,0
0.15,late,actual,85,3.4727664259488145,50,8,4,79,-2.7297944011285047,37,8,4,60,0.0,8,7,0
0.15,late,buy,85,-4.206852025581275,35,8,1,79,-6.779186729950615,29,8,1,60,0.0,7,7,0
0.15,late,sell,85,2.8892933449746305,46,8,5,79,8.13007129375849,55,8,5,60,0.0,5,7,0
0.15,late,excess,85,-3.3985428566537634,34,8,2,79,-14.161338201340822,26,8,1,60,0.0,8,7,0
