horizon,metric,arm,year,days,median_pp,positive_days,years,positive_years
250,selection,BASE,2012,5,-6.267766148773535,2,1,0
250,selection,BASE,2013,5,6.518191277612395,3,1,1
250,selection,BASE,2014,17,3.3609416804420422,9,1,1
250,selection,BASE,2015,6,27.125825245362524,5,1,1
250,selection,BASE,2016,11,12.870393876461872,9,1,1
250,selection,BASE,2019,4,-5.004648306266768,2,1,0
250,selection,BASE,2020,14,-1.5963589231442783,6,1,0
250,selection,BASE,2021,4,4.193743627259439,2,1,1
250,selection,BASE,2022,14,8.726795006826674,10,1,1
250,selection,BASE,2023,11,0.18348871509004105,6,1,1
250,selection,BASE,2024,18,2.5971138993385545,10,1,1
250,selection,BASE,2025,16,-1.7627617611298108,8,1,0
250,selection,C030R35,2012,5,-6.267766148773535,2,1,0
250,selection,C030R35,2013,5,6.518191277612395,3,1,1
250,selection,C030R35,2014,17,3.3609416804420422,9,1,1
250,selection,C030R35,2015,6,-14.305945815870913,3,1,0
250,selection,C030R35,2016,12,9.877604111006688,9,1,1
250,selection,C030R35,2019,2,22.285926268858912,1,1,1
250,selection,C030R35,2020,11,6.901882010646954,6,1,1
250,selection,C030R35,2021,4,15.2887353622852,3,1,1
250,selection,C030R35,2022,14,2.2048544573524786,7,1,1
250,selection,C030R35,2023,11,11.851502726386975,9,1,1
250,selection,C030R35,2024,16,5.491972921457011,12,1,1
250,selection,C030R35,2025,13,3.9418300378985416,8,1,1
250,selection,paired_delta,2012,5,0.0,0,1,0
250,selection,paired_delta,2013,5,0.0,0,1,0
250,selection,paired_delta,2014,17,0.0,0,1,0
250,selection,paired_delta,2015,5,-29.419667166247944,0,1,0
250,selection,paired_delta,2016,7,0.0,2,1,0
250,selection,paired_delta,2020,5,0.0,2,1,0
250,selection,paired_delta,2021,1,24.669593263136168,1,1,1
250,selection,paired_delta,2022,8,0.0,0,1,0
250,selection,paired_delta,2023,6,0.0,1,1,0
250,selection,paired_delta,2024,9,0.0,2,1,0
250,selection,paired_delta,2025,8,1.4714623705893326,6,1,1
250,swap,BASE,2012,4,-21.48396561633788,1,1,0
250,swap,BASE,2013,20,-17.065785270730444,6,1,0
250,swap,BASE,2014,35,-15.088953380401971,7,1,0
250,swap,BASE,2015,12,-1.5637062487805387,6,1,0
250,swap,BASE,2016,15,12.655321558004239,8,1,1
250,swap,BASE,2017,2,19.88143484531476,2,1,1
250,swap,BASE,2018,2,52.129386119578136,2,1,1
250,swap,BASE,2019,2,-59.512659012392255,0,1,0
250,swap,BASE,2020,11,-15.461085763775607,4,1,0
250,swap,BASE,2021,3,-65.03109340571653,1,1,0
250,swap,BASE,2022,11,1.977781286739666,7,1,1
250,swap,BASE,2023,15,-15.438545439713014,7,1,0
250,swap,BASE,2024,28,1.4484984194666484,16,1,1
250,swap,BASE,2025,19,20.303625169028237,17,1,1
250,swap,C030R35,2012,4,-21.48396561633788,1,1,0
250,swap,C030R35,2013,20,-17.065785270730444,6,1,0
250,swap,C030R35,2014,35,-15.088953380401971,7,1,0
250,swap,C030R35,2015,16,39.26629657145857,15,1,1
250,swap,C030R35,2016,25,39.20411179135741,18,1,1
250,swap,C030R35,2018,1,54.40422465692632,1,1,1
250,swap,C030R35,2019,8,-26.591156462978233,0,1,0
250,swap,C030R35,2020,9,19.03676199911528,5,1,1
250,swap,C030R35,2021,3,-65.03109340571653,0,1,0
250,swap,C030R35,2022,11,0.22975911383968928,6,1,1
250,swap,C030R35,2023,15,-23.507658367893967,6,1,0
250,swap,C030R35,2024,29,-3.0680145596065245,13,1,0
250,swap,C030R35,2025,12,22.398216641308757,11,1,1
250,swap,paired_delta,2012,4,0.0,0,1,0
250,swap,paired_delta,2013,20,0.0,0,1,0
250,swap,paired_delta,2014,35,0.0,0,1,0
250,swap,paired_delta,2015,10,0.0,4,1,0
250,swap,paired_delta,2016,12,0.0,1,1,0
250,swap,paired_delta,2018,1,0.0,0,1,0
250,swap,paired_delta,2019,2,18.245293580084045,1,1,1
250,swap,paired_delta,2020,7,0.0,1,1,0
250,swap,paired_delta,2021,2,0.0,0,1,0
250,swap,paired_delta,2022,9,0.0,0,1,0
250,swap,paired_delta,2023,13,0.0,1,1,0
250,swap,paired_delta,2024,23,0.0,3,1,0
250,swap,paired_delta,2025,11,0.0,3,1,0
250,1_vs_2_5,BASE,2011,5,-5.9836283724293065,0,1,0
250,1_vs_2_5,BASE,2012,124,10.670512468695145,69,1,1
250,1_vs_2_5,BASE,2013,189,-8.789451610445143,57,1,0
250,1_vs_2_5,BASE,2014,215,-10.50088551195164,65,1,0
250,1_vs_2_5,BASE,2015,134,-14.272937505737552,45,1,0
250,1_vs_2_5,BASE,2016,173,7.545185094421125,100,1,1
250,1_vs_2_5,BASE,2017,99,-28.05841013521386,28,1,0
250,1_vs_2_5,BASE,2018,19,20.57498202402652,19,1,1
250,1_vs_2_5,BASE,2019,172,4.978753439531097,90,1,1
250,1_vs_2_5,BASE,2020,184,14.85222930654086,113,1,1
250,1_vs_2_5,BASE,2021,165,11.209646834354514,103,1,1
250,1_vs_2_5,BASE,2022,207,-1.277346393400719,100,1,0
250,1_vs_2_5,BASE,2023,231,9.947439620787257,154,1,1
250,1_vs_2_5,BASE,2024,233,2.5422911072023213,123,1,1
250,1_vs_2_5,BASE,2025,150,23.420084638343976,131,1,1
250,1_vs_2_5,C030R35,2011,5,-5.9836283724293065,0,1,0
250,1_vs_2_5,C030R35,2012,124,10.670512468695145,69,1,1
250,1_vs_2_5,C030R35,2013,189,-8.789451610445143,57,1,0
250,1_vs_2_5,C030R35,2014,215,-10.50088551195164,65,1,0
250,1_vs_2_5,C030R35,2015,134,-14.272937505737552,45,1,0
250,1_vs_2_5,C030R35,2016,173,7.545185094421125,100,1,1
250,1_vs_2_5,C030R35,2017,99,-28.05841013521386,28,1,0
250,1_vs_2_5,C030R35,2018,19,20.57498202402652,19,1,1
250,1_vs_2_5,C030R35,2019,172,4.978753439531097,90,1,1
250,1_vs_2_5,C030R35,2020,184,14.85222930654086,113,1,1
250,1_vs_2_5,C030R35,2021,165,11.209646834354514,103,1,1
250,1_vs_2_5,C030R35,2022,207,-1.277346393400719,100,1,0
250,1_vs_2_5,C030R35,2023,231,9.947439620787257,154,1,1
250,1_vs_2_5,C030R35,2024,233,2.5422911072023213,123,1,1
250,1_vs_2_5,C030R35,2025,150,23.420084638343976,131,1,1
250,1_vs_2_5,paired_delta,2011,5,0.0,0,1,0
250,1_vs_2_5,paired_delta,2012,124,0.0,0,1,0
250,1_vs_2_5,paired_delta,2013,189,0.0,0,1,0
