group,start,year,first,last,full_year,BASE_pct,C030R35_pct,delta_pp
full,2009-11-01,2009,2009-11-02,2009-12-31,False,1.1084441649999999,1.1998127513333179,0.09136858633331801
full,2009-11-01,2010,2010-01-04,2010-12-31,True,25.74262648772727,48.37040194655575,22.62777545882848
full,2009-11-01,2011,2011-01-04,2011-12-30,True,-25.16849826771309,-26.389988949244202,-1.2214906815311122
full,2009-11-01,2012,2012-01-04,2012-12-31,True,15.121112999386032,16.96310007927695,1.8419870798909166
full,2009-11-01,2013,2013-01-04,2013-12-31,True,7.143935031221793,5.252920153452334,-1.891014877769459
full,2009-11-01,2014,2014-01-02,2014-12-31,True,59.656301015286964,64.67951535162997,5.023214336343007
full,2009-11-01,2015,2015-01-05,2015-12-31,True,9.512421505435631,28.11376094687845,18.60133944144282
full,2009-11-01,2016,2016-01-04,2016-12-30,True,-2.6270506851220565,-19.215010192015335,-16.58795950689328
full,2009-11-01,2017,2017-01-03,2017-12-29,True,135.3919900055089,135.75122656158584,0.35923655607694727
full,2009-11-01,2018,2018-01-02,2018-12-28,True,-10.286406077046973,-6.6330554478053365,3.6533506292416362
full,2009-11-01,2019,2019-01-02,2019-12-31,True,169.58187355398485,201.2814666786075,31.699593124622627
full,2009-11-01,2020,2020-01-02,2020-12-31,True,-0.0015740137574771218,12.424761352696944,12.426335366454422
full,2009-11-01,2021,2021-01-04,2021-12-31,True,96.17684449574908,54.944088895891795,-41.232755599857285
full,2009-11-01,2022,2022-01-04,2022-12-30,True,24.098109433608595,11.544096921199243,-12.55401251240935
full,2009-11-01,2023,2023-01-03,2023-12-29,True,41.911187194355584,38.303907931199376,-3.6072792631562045
full,2009-11-01,2024,2024-01-02,2024-12-31,True,76.21596053163762,52.04882343354418,-24.167137098093438
full,2009-11-01,2025,2025-01-02,2025-12-31,True,111.04670180249134,105.44716008599381,-5.599541716497525
full,2009-11-01,2026,2026-01-05,2026-08-28,False,51.1540535359015,60.93970001273452,9.785646476833021
full,2010-05-01,2010,2010-05-04,2010-12-31,False,35.48847491873928,53.34015658484586,17.85168166610658
full,2010-05-01,2011,2011-01-04,2011-12-30,True,-25.183861189531566,-25.606139896521118,-0.42227870698955394
full,2010-05-01,2012,2012-01-04,2012-12-31,True,19.487936703550822,16.7278466820618,-2.7600900214890256
full,2010-05-01,2013,2013-01-04,2013-12-31,True,4.965028325736087,4.93663732903642,-0.028390996699667603
full,2010-05-01,2014,2014-01-02,2014-12-31,True,59.44271662563856,62.37300251808844,2.93028589244988
full,2010-05-01,2015,2015-01-05,2015-12-31,True,10.436101800064401,26.47180244940126,16.03570064933686
full,2010-05-01,2016,2016-01-04,2016-12-30,True,-0.48291977591922164,-17.545185142458365,-17.062265366539144
full,2010-05-01,2017,2017-01-03,2017-12-29,True,137.76080996975907,136.2017030407562,-1.5591069290028514
full,2010-05-01,2018,2018-01-02,2018-12-28,True,-14.062911709548409,-6.62504729877319,7.437864410775219
full,2010-05-01,2019,2019-01-02,2019-12-31,True,180.92401372217304,201.32671628224492,20.402702560071884
full,2010-05-01,2020,2020-01-02,2020-12-31,True,3.766556646196628,18.29450315360759,14.52794650741096
full,2010-05-01,2021,2021-01-04,2021-12-31,True,65.36876398547345,58.381495687946085,-6.98726829752736
full,2010-05-01,2022,2022-01-04,2022-12-30,True,22.288484429101963,14.223083133480085,-8.065401295621877
full,2010-05-01,2023,2023-01-03,2023-12-29,True,41.1362602480559,38.69473400198806,-2.4415262460678377
full,2010-05-01,2024,2024-01-02,2024-12-31,True,55.80080337821685,55.86164136258767,0.060837984370820664
full,2010-05-01,2025,2025-01-02,2025-12-31,True,90.14740548619741,102.47621053564124,12.328805049443826
full,2010-05-01,2026,2026-01-05,2026-08-28,False,55.92210804375186,57.95090688635829,2.0287988426064274
full,2010-11-01,2010,2010-11-01,2010-12-31,False,1.609932868999997,0.9322805713333437,-0.6776522976666532
full,2010-11-01,2011,2011-01-04,2011-12-30,True,-26.00448694673416,-23.672510579746696,2.331976366987465
full,2010-11-01,2012,2012-01-04,2012-12-31,True,9.218572236677014,-1.40438523485934,-10.622957471536354
full,2010-11-01,2013,2013-01-04,2013-12-31,True,-1.7277064076669513,-3.079551471962949,-1.3518450642959978
full,2010-11-01,2014,2014-01-02,2014-12-31,True,61.18539741879605,61.26542391179759,0.0800264930015393
full,2010-11-01,2015,2015-01-05,2015-12-31,True,8.382005265122139,42.06347533139934,33.6814700662772
full,2010-11-01,2016,2016-01-04,2016-12-30,True,-11.9313123078288,-17.320474818531505,-5.389162510702706
full,2010-11-01,2017,2017-01-03,2017-12-29,True,113.3100688343966,120.01913434014315,6.709065505746548
full,2010-11-01,2018,2018-01-02,2018-12-28,True,-14.761031193841735,-9.440164603491386,5.320866590350349
full,2010-11-01,2019,2019-01-02,2019-12-31,True,183.6868374556352,189.3096963467546,5.622858891119398
full,2010-11-01,2020,2020-01-02,2020-12-31,True,3.5798620223379762,7.706680032988755,4.126818010650779
full,2010-11-01,2021,2021-01-04,2021-12-31,True,51.13291362097387,56.186982030884366,5.054068409910495
full,2010-11-01,2022,2022-01-04,2022-12-30,True,18.45128977787711,18.496826999508542,0.045537221631430924
full,2010-11-01,2023,2023-01-03,2023-12-29,True,39.39866522699589,43.33102595290504,3.9323607259091453
full,2010-11-01,2024,2024-01-02,2024-12-31,True,53.036921693561844,35.90446274322117,-17.132458950340677
full,2010-11-01,2025,2025-01-02,2025-12-31,True,98.52332101921174,87.91333202293903,-10.609988996272701
full,2010-11-01,2026,2026-01-05,2026-08-28,False,43.09198198183566,54.476592931609844,11.384610949774189
full,2011-05-01,2011,2011-05-03,2011-12-30,False,-16.608615059975907,-15.367009921381058,1.241605138594848
full,2011-05-01,2012,2012-01-04,2012-12-31,True,-1.42615647132448,-1.3584752506893616,0.0676812206351185
full,2011-05-01,2013,2013-01-04,2013-12-31,True,-2.8928683390683996,-2.889556802494686,0.003311536573713525
full,2011-05-01,2014,2014-01-02,2014-12-31,True,67.0561023775446,61.40518745383705,-5.650914923707551
