margin,verdict,reasons,full_cagr_delta_pp,full_P_delta_pp,full_mdd_delta_pp,full_p25_delta_pp,full_worst5_delta_pp,full_roll5dd_delta_pp,full_exposure_delta_pp,A_cagr_delta_pp,A_P_delta_pp,A_mdd_delta_pp,A_p25_delta_pp,A_worst5_delta_pp,A_roll5dd_delta_pp,A_exposure_delta_pp
0.1,不采纳,主读数 -4.23pp < −1pp,-1.1256582335985699,-4.230299715000005,-3.099168263822316,-1.8115493424964435,3.0303265361415033,-5.9498087154879915,-4.60597354522273,3.917737514613784,4.631003725000002,-6.915062968936731,4.137746029438327,5.998219478117539,-0.8198898038521807,-4.787951465455498
0.11,报用户裁定,主读数两表反向（-0.93／+6.38）,0.8606165413128752,-0.9302250200000001,-2.120323842561367,-0.9751417218828551,2.437682755731063,-5.570829718021969,-4.272954844196574,4.415117286202753,6.375610140000002,-7.832859779433532,5.961637923811869,5.020527451241962,1.3012218461625424,-5.261625962502947
0.12,不采纳,主读数 -1.45pp < −1pp,0.8312987822412854,-1.4473812549999965,-2.7306799534782877,-0.35115446126997574,3.2871877388043647,-6.483640838122251,-4.369644009399809,4.325775287810174,6.164928672999999,-7.761043677118906,5.204267049253774,4.922409937657313,1.1467174603333463,-5.5800038990244545
0.13,可采纳·回撤通道,ΔMDD -7.4／-7.6pp；回撤段 2011-03~2014-03×2 -12.1、2015-06~2016-06×21 -7.1、2018-07~2019-01×1 +1.1、2020-01~2020-03×3 -9.0、2024-05~2024-09×1 -4.1,2.091894266003902,-0.9212503449999965,-7.393575512804823,-0.5097244927195654,3.9602927055120976,-4.895223525644549,-4.488010922555019,4.724829622490945,6.291181609999996,-7.618539773684302,4.975403805735745,6.238504830879443,0.9874291622621045,-5.206762355889072
0.14,不采纳,主读数 -3.15pp < −1pp；回撤通道未过：主读数 -3.15pp < −1pp,0.8074455827790317,-3.1532514199999975,-8.331035055847124,-2.0081552549423787,3.5065346990670543,-2.913544061802936,-4.397997996670611,4.767594318926916,6.449282265499999,-7.067454122812455,4.929040782243666,6.414627093239456,0.6230487464734813,-4.9885362208367585
0.15,可采纳·回撤通道,ΔMDD -8.6／-7.0pp；回撤段 2011-03~2014-03×2 -12.7、2015-06~2016-06×22 -8.3、2018-07~2019-01×1 +1.1、2020-01~2020-03×3 -0.3,0.042706624862609566,-0.8533507100000032,-8.638296656710176,-1.2828542594384262,2.0257957227296117,-2.119753286165771,-4.66333071874484,3.974876744068989,4.443075425000001,-6.987036202627306,3.3547663561212304,5.210134804948796,0.7687061673343709,-5.217217285128362
0.16,不采纳,主读数 -1.12pp < −1pp；回撤通道未过：主读数 -1.12pp < −1pp；复利读数 -0.59pp < −0.15pp,-0.5949516138909261,-1.1235858350000016,-6.330560487442261,-2.0080878480403186,2.372156222057092,-2.5351461953416976,-4.2719127168428965,4.694484234231533,6.599915710000001,-6.46251458958032,3.9039170725306382,3.644355794679288,0.9027751243316395,-5.4837092346919025
0.17,不采纳,主读数 -1.10pp < −1pp；回撤通道未过：主读数 -1.10pp < −1pp,0.34361344841865593,-1.1013120249999953,-7.0134742312926655,-1.3811400772090754,1.6650190027634904,-2.372253896043419,-4.815499838879522,0.9978129930083401,-0.42634670499999694,-6.441762921352906,1.954047730936237,8.005384035027774,-2.9570818857318217,-5.187343016144752
0.18,可采纳,,1.677876609627993,0.3134651000000016,-8.605509965812935,1.5351220207175609,4.730093103084432,-2.144266021297836,-4.469528658473609,2.0061383165681623,1.4004299894999999,-6.425192607507285,3.1530348425560906,5.598084427640254,-4.595429982981986,-5.401759504600023
0.19,可采纳,,2.317309520286359,1.684447475000006,-7.769301232964665,4.095924959699381,4.093285385507817,0.0030760308221911004,-4.561569324501679,1.365166121994088,0.22162470500000087,-7.972606838513552,2.983642985885404,7.034549225917752,-4.738415185993894,-5.4644079869748285
0.2,可采纳·回撤通道,ΔMDD -9.7／-6.6pp；回撤段 2011-03~2014-03×2 -12.2、2015-06~2016-06×21 -7.9、2020-01~2020-03×3 -4.4、2024-05~2024-09×2 -2.6,2.4109395765601893,1.057820209999999,-9.667175264220967,4.1116772845101845,3.642854388176997,0.2166882021797656,-4.405558548962285,1.6809453502158123,-0.343994860000002,-6.629484534692653,2.1332577103570394,6.5781273815808285,-3.068642423250567,-5.062681948524306
