arm,family,ref,verdict,reasons,U,U_excellent,U_inferior,full_cagr_delta_pp,full_P_delta_pp,full_mdd_delta_pp,full_p25_delta_pp,full_worst5_delta_pp,full_roll5dd_delta_pp,full_exposure_delta_pp,A_cagr_delta_pp,A_P_delta_pp,A_mdd_delta_pp,A_p25_delta_pp,A_worst5_delta_pp,A_roll5dd_delta_pp,A_exposure_delta_pp,U_cagr_delta_pp,U_P_delta_pp,U_mdd_delta_pp,U_p25_delta_pp,U_worst5_delta_pp,U_roll5dd_delta_pp,U_exposure_delta_pp
BASE,control,BASE,可采纳,,A,True,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C030R35,center,BASE,可采纳·回撤通道,ΔMDD -8.6／-7.0pp；回撤段 2011-03~2014-03×2 -12.7、2015-06~2016-06×22 -8.3、2018-07~2019-01×1 +1.1、2020-01~2020-03×3 -0.3,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.7687061673343709, ""beyond_limit"": false}]",0.042706624862609566,-0.8533507100000032,-8.638296656710176,-1.2828542594384262,2.0257957227296117,-2.119753286165771,-4.66333071874484,3.974876744068989,4.443075425000001,-6.987036202627306,3.3547663561212304,5.210134804948796,0.7687061673343709,-5.217217285128362,3.974876744068989,4.443075425000001,-6.987036202627306,3.3547663561212304,5.210134804948796,0.7687061673343709,-5.217217285128362
N020R300,neighborhood,BASE,可采纳,,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.17652309909388375, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.3352959824068802, ""beyond_limit"": false}]",4.260570020954102,1.873788855,-8.684752753108727,3.2312742533397,5.224809041734852,-3.2202819051785516,-4.2844708321691405,2.6800068024421697,3.9099350250000025,-6.413913555635753,3.4923543248948086,4.6486503064631535,0.17652309909388375,-5.663697020498615,2.6800068024421697,3.9099350250000025,-6.413913555635753,3.4923543248948086,4.6486503064631535,0.17652309909388375,-5.663697020498615
N020R325,neighborhood,BASE,可采纳,,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.20002148600821168, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.3352959824068802, ""beyond_limit"": false}]",5.3208080573524,1.873788855,-8.400696853908446,3.2312742533397,4.343838396119759,-3.067804296958471,-4.2844708321691405,2.6800068024421697,3.9099350250000025,-6.413913555635753,3.520832284987041,4.6486503064631535,0.20002148600821168,-5.663697020498615,2.6800068024421697,3.9099350250000025,-6.413913555635753,3.520832284987041,4.6486503064631535,0.20002148600821168,-5.663697020498615
N020R350,neighborhood,BASE,可采纳,,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.20002148600821168, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.3352959824068802, ""beyond_limit"": false}]",4.42350234903196,1.2472066650000029,-8.620169609173505,2.3098240042981333,5.087532772236692,-2.9338974682716126,-4.827911998999868,2.8982773648937976,3.593322990000003,-6.39145064549313,3.4824813439222946,4.519291059307218,0.20002148600821168,-5.771594114072509,2.8982773648937976,3.593322990000003,-6.39145064549313,3.4824813439222946,4.519291059307218,0.20002148600821168,-5.771594114072509
N020R375,neighborhood,BASE,可采纳,,U1,True,"[{""metric"": ""逐年最差"", ""oriented_delta"": -0.3352959824068802, ""beyond_limit"": false}]",2.460688997046001,1.0605328999999997,-8.881947719054462,0.643073116679338,6.413429332371978,-3.2246466912411895,-4.952389616954367,2.723807646371623,3.945740720000007,-6.382773927027197,3.3779894630732055,4.515405648015203,0.07090738526526752,-5.979787548606296,2.723807646371623,3.945740720000007,-6.382773927027197,3.3779894630732055,4.515405648015203,0.07090738526526752,-5.979787548606296
N020R400,neighborhood,BASE,可采纳,,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.19982033332512916, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.34349725782781837, ""beyond_limit"": false}]",2.460688997046001,1.0605328999999997,-8.881947719054462,0.643073116679338,6.413429332371978,-3.2246466912411895,-4.952389616954367,2.745108199858537,3.9095689350000074,-6.510193042545348,3.390350344762727,4.515405648015203,0.19982033332512916,-6.16265610679535,2.745108199858537,3.9095689350000074,-6.510193042545348,3.390350344762727,4.515405648015203,0.19982033332512916,-6.16265610679535
N025R300,neighborhood,BASE,不采纳,主读数 -4.23pp < −1pp；回撤通道未过：主读数 -4.23pp < −1pp；复利读数 -1.62pp < −0.15pp,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.8435850758969909, ""beyond_limit"": false}]",-1.6190998405803292,-4.225343735000001,-8.532860299454725,-3.2047078570181964,2.604359383008287,-2.6123077117811144,-4.637899104358379,3.3411817148970013,4.57611295,-6.799626057671027,3.406110425264941,6.244168040954645,0.8435850758969909,-5.310954381970023,3.3411817148970013,4.57611295,-6.799626057671027,3.406110425264941,6.244168040954645,0.8435850758969909,-5.310954381970023
N025R325,neighborhood,BASE,不采纳,主读数 -4.23pp < −1pp；回撤通道未过：主读数 -4.23pp < −1pp；复利读数 -0.72pp < −0.15pp,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.15773145530523225, ""beyond_limit"": false}]",-0.7207084778467876,-4.225343735000001,-8.77171521344206,-3.2047078570181964,2.760582966032704,-2.6123077117811144,-4.637899104358379,3.836512192778496,4.989896129999999,-6.799626057671027,3.7307852136288067,6.244168040954645,0.15773145530523225,-5.310954381970023,3.836512192778496,4.989896129999999,-6.799626057671027,3.7307852136288067,6.244168040954645,0.15773145530523225,-5.310954381970023
N025R350,neighborhood,BASE,不采纳,主读数 -1.89pp < −1pp；回撤通道未过：主读数 -1.89pp < −1pp；复利读数 -0.22pp < −0.15pp,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.15773145530523225, ""beyond_limit"": false}]",-0.21788992924979267,-1.8850505399999995,-8.545324047972414,-2.2320859304189256,2.760582966032704,-2.6123077117811144,-4.932223493801735,2.848440979473421,4.436961004999998,-6.772848941598387,3.2877333710353396,5.780239329265314,0.15773145530523225,-5.495955385609519,2.848440979473421,4.436961004999998,-6.772848941598387,3.2877333710353396,5.780239329265314,0.15773145530523225,-5.495955385609519
