arm,family,ref,verdict,reasons,U,U_excellent,U_inferior,full_cagr_delta_pp,full_P_delta_pp,full_mdd_delta_pp,full_p25_delta_pp,full_worst5_delta_pp,full_roll5dd_delta_pp,full_exposure_delta_pp,A_cagr_delta_pp,A_P_delta_pp,A_mdd_delta_pp,A_p25_delta_pp,A_worst5_delta_pp,A_roll5dd_delta_pp,A_exposure_delta_pp,U_cagr_delta_pp,U_P_delta_pp,U_mdd_delta_pp,U_p25_delta_pp,U_worst5_delta_pp,U_roll5dd_delta_pp,U_exposure_delta_pp
N025R375,neighborhood,BASE,不采纳,主读数 -3.22pp < −1pp；回撤通道未过：主读数 -3.22pp < −1pp；复利读数 -2.59pp < −0.15pp,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.4901727164047853, ""beyond_limit"": false}]",-2.5947587254265825,-3.2151801949999976,-8.62637037831216,-2.5004824012436977,3.377429127551679,-2.6123077117811144,-5.098373584144078,3.0288850173762816,3.9284902200000027,-6.747022731565067,3.63517642953346,5.606015027944567,0.4901727164047853,-5.354571914883177,3.0288850173762816,3.9284902200000027,-6.747022731565067,3.63517642953346,5.606015027944567,0.4901727164047853,-5.354571914883177
N025R400,neighborhood,BASE,不采纳,主读数 -3.22pp < −1pp；回撤通道未过：主读数 -3.22pp < −1pp；复利读数 -2.59pp < −0.15pp,U1,True,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.9541391237751273, ""beyond_limit"": false}]",-2.5947587254265825,-3.2151801949999976,-8.62637037831216,-2.5004824012436977,3.377429127551679,-2.6123077117811144,-5.098373584144078,3.399426184300214,3.789937069999999,-6.832880075224812,3.1094216885961035,5.606015027944567,0.9541391237751273,-5.324428070942111,3.399426184300214,3.789937069999999,-6.832880075224812,3.1094216885961035,5.606015027944567,0.9541391237751273,-5.324428070942111
N030R300,neighborhood,BASE,不采纳,主读数 -1.38pp < −1pp；回撤通道未过：主读数 -1.38pp < −1pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -1.0918617577163836, ""beyond_limit"": true}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.19052295389121454, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.7236501034859066, ""beyond_limit"": false}]",0.17455526965539647,-1.3843650400000032,-8.549092308547145,-0.7030827522177652,3.52010324924511,-1.972797724426123,-4.21867316080089,2.7656081029745705,3.304739890000001,-7.010507119121328,2.3727314286240753,4.517260679737634,1.0918617577163836,-4.832647664666434,2.7656081029745705,3.304739890000001,-7.010507119121328,2.3727314286240753,4.517260679737634,1.0918617577163836,-4.832647664666434
N030R325,neighborhood,BASE,可采纳·回撤通道,ΔMDD -8.8／-7.0pp；回撤段 2011-03~2014-03×2 -12.7、2015-06~2016-06×22 -8.5、2018-07~2019-01×1 +1.1、2020-01~2020-03×3 -0.3,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.7687061673343709, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.19052295389121454, ""beyond_limit"": false}]",0.6332019473800243,-0.8714734449999983,-8.777410377419258,-1.3066691992842494,1.4568796056501743,-1.9118609270689924,-4.21867316080089,2.7656081029745705,3.304739890000001,-7.010507119121328,2.3463548309631266,4.517260679737634,0.7687061673343709,-4.832647664666434,2.7656081029745705,3.304739890000001,-7.010507119121328,2.3463548309631266,4.517260679737634,0.7687061673343709,-4.832647664666434
N030R375,neighborhood,BASE,不采纳,主读数 -2.99pp < −1pp；回撤通道未过：主读数 -2.99pp < −1pp；复利读数 -1.33pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -1.104421579317022, ""beyond_limit"": true}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.7236501034859066, ""beyond_limit"": false}]",-1.3308472619415368,-2.990258435000004,-8.158492409960367,-2.349568073884589,4.334254367831624,-1.925639166852322,-4.7375135019560695,2.7084861305817443,3.5144069400000033,-6.9550031957899385,3.5262920091124306,5.1385074446370975,1.104421579317022,-5.175112579890007,2.7084861305817443,3.5144069400000033,-6.9550031957899385,3.5262920091124306,5.1385074446370975,1.104421579317022,-5.175112579890007
N030R400,neighborhood,BASE,不采纳,主读数 -2.99pp < −1pp；回撤通道未过：主读数 -2.99pp < −1pp；复利读数 -1.33pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -1.0429563074363435, ""beyond_limit"": true}]",-1.3308472619415368,-2.990258435000004,-8.158492409960367,-2.349568073884589,4.334254367831624,-1.925639166852322,-4.7375135019560695,3.3644762820398966,3.850014474999999,-7.083359237616104,3.5487880307589315,5.1385074446370975,1.0429563074363435,-5.124996555835959,3.3644762820398966,3.850014474999999,-7.083359237616104,3.5487880307589315,5.1385074446370975,1.0429563074363435,-5.124996555835959
N035R300,neighborhood,BASE,报用户裁定,主读数两表反向（-0.35／+1.77）；复利读数两表反向（-0.29／+1.91）；回撤通道未过：复利读数 -0.29pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.9643950725368333, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -1.1407484889820574, ""beyond_limit"": true}]",-0.29467846129250796,-0.3501805050000001,-8.101709956171332,-0.2848554092463651,2.0072812204060932,-1.6209137045812894,-3.9229339105427696,1.9082589497629088,1.7716603449999992,-7.244782371617086,1.1722765106571442,3.5710147294488515,0.9643950725368333,-4.5594246615565766,1.9082589497629088,1.7716603449999992,-7.244782371617086,1.1722765106571442,3.5710147294488515,0.9643950725368333,-4.5594246615565766
N035R325,neighborhood,BASE,报用户裁定,主读数两表反向（-0.41／+1.13）；复利读数两表反向（-0.29／+1.71）；回撤通道未过：复利读数 -0.29pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.9643950725368333, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -1.1407484889820574, ""beyond_limit"": true}]",-0.29467846129250796,-0.4050099300000054,-8.23723913314715,-0.8219998742336476,1.9348549421458638,-2.456349534230007,-3.9229339105427696,1.7106207430513831,1.1326840999999976,-7.244782371617086,0.814334557971319,3.5710147294488515,0.9643950725368333,-4.5594246615565766,1.7106207430513831,1.1326840999999976,-7.244782371617086,0.814334557971319,3.5710147294488515,0.9643950725368333,-4.5594246615565766
N035R350,neighborhood,BASE,不采纳,主读数 -3.02pp < −1pp；回撤通道未过：主读数 -3.02pp < −1pp；复利读数 -1.29pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.9729177818131429, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.6608151723078437, ""beyond_limit"": false}]",-1.2940449870685766,-3.024430960000002,-8.443479461212029,-2.6811427147542477,1.9348549421458638,-1.0507741212702204,-4.392035792846405,2.627563225472551,2.47292278,-7.22748217444385,2.75378505318159,4.646553177008905,0.9729177818131429,-4.558366232862355,2.627563225472551,2.47292278,-7.22748217444385,2.75378505318159,4.646553177008905,0.9729177818131429,-4.558366232862355
N035R375,neighborhood,BASE,不采纳,主读数 -3.66pp < −1pp；回撤通道未过：主读数 -3.66pp < −1pp；复利读数 -2.49pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.9908876331666261, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.6603831115379433, ""beyond_limit"": false}]",-2.493764318709979,-3.6618250150000047,-8.250819842611056,-2.5534993753950186,3.455343656202192,-1.0507741212702204,-4.392035792846405,2.5928572458444155,3.481458414999994,-7.191566684545508,2.3923623477368317,4.859483831499395,0.9908876331666261,-4.487397029344886,2.5928572458444155,3.481458414999994,-7.191566684545508,2.3923623477368317,4.859483831499395,0.9908876331666261,-4.487397029344886
N035R400,neighborhood,BASE,不采纳,主读数 -3.66pp < −1pp；回撤通道未过：主读数 -3.66pp < −1pp；复利读数 -2.49pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.5280052575154681, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.17986038655121717, ""beyond_limit"": false}]",-2.493764318709979,-3.6618250150000047,-8.250819842611056,-2.5534993753950186,3.455343656202192,-1.0507741212702204,-4.392035792846405,2.5928572458444155,3.481458414999994,-7.084808282371796,2.6916706037806604,4.859483831499395,0.5280052575154681,-4.531427670851995,2.5928572458444155,3.481458414999994,-7.084808282371796,2.6916706037806604,4.859483831499395,0.5280052575154681,-4.531427670851995
N040R300,neighborhood,BASE,报用户裁定,复利读数两表反向（-0.20／+1.01）；回撤通道未过：复利读数 -0.20pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.8691576032277215, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.8440608083048917, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.43315896451002756, ""beyond_limit"": false}]",-0.19591020409576165,-0.13470781000000098,-8.398862919593192,-0.6840013641994491,1.8823377441157085,-1.9839320966727025,-3.8461852527597262,1.0117849767331544,0.41233723999999916,-7.446538225407062,0.5063008365635668,3.206170298524713,0.8691576032277215,-4.027373245670251,1.0117849767331544,0.41233723999999916,-7.446538225407062,0.5063008365635668,3.206170298524713,0.8691576032277215,-4.027373245670251
N040R325,neighborhood,BASE,不采纳,主读数一表 -0.45pp 而另一表不到 +1pp；回撤通道未过：复利读数 -0.26pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.8691576032277215, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.4911241583567372, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.43315896451002756, ""beyond_limit"": false}]",-0.25781950258406683,-0.4533904200000022,-8.393428610296061,-1.305380818644053,2.133635757807167,-1.7118111896255839,-3.8461852527597262,1.379379590156482,0.7098237200000024,-7.446538225407062,0.4229827028705113,3.206170298524713,0.8691576032277215,-4.027373245670251,1.379379590156482,0.7098237200000024,-7.446538225407062,0.4229827028705113,3.206170298524713,0.8691576032277215,-4.027373245670251
N040R350,neighborhood,BASE,不采纳,主读数 -1.13pp < −1pp；回撤通道未过：主读数 -1.13pp < −1pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.8809744124019636, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.5486378250545987, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.43315896451002756, ""beyond_limit"": false}]",0.1853921842092876,-1.1261864349999957,-8.393428610296061,-1.4087412995233528,2.133635757807167,-0.5243845527302615,-4.085887879249228,2.109634666687521,2.0883040749999973,-7.426295814389972,1.5265674157273312,3.146265107232804,0.8809744124019636,-4.227147472027659,2.109634666687521,2.0883040749999973,-7.426295814389972,1.5265674157273312,3.146265107232804,0.8809744124019636,-4.227147472027659
N040R375,neighborhood,BASE,不采纳,主读数 -1.44pp < −1pp；回撤通道未过：主读数 -1.44pp < −1pp；复利读数 -0.35pp < −0.15pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.35381928712514, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""oriented_delta"": -0.48170743261455873, ""beyond_limit"": false}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.5233355512624382, ""beyond_limit"": false}]",-0.3508138116791182,-1.4410625999999982,-8.398862919593192,-1.294135329793289,2.9956199282942797,-0.9176304866007012,-4.085887879249228,0.9109730190085985,0.5027356449999992,-7.385933378847192,1.454124952008773,3.1666174337403374,0.35381928712514,-4.207272848492682,0.9109730190085985,0.5027356449999992,-7.385933378847192,1.454124952008773,3.1666174337403374,0.35381928712514,-4.207272848492682
N040R400,neighborhood,BASE,不采纳,主读数 -1.44pp < −1pp；回撤通道未过：主读数 -1.44pp < −1pp；复利读数 -0.35pp < −0.15pp,U1,True,"[{""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.5250609102807335, ""beyond_limit"": false}]",-0.3508138116791182,-1.4410625999999982,-8.398862919593192,-1.294135329793289,2.9956199282942797,-0.9176304866007012,-4.085887879249228,1.257449565094304,0.6302605450000026,-7.417464468068957,1.3783409824465354,3.1666174337403374,0.10041549679152828,-4.131711518271263,1.257449565094304,0.6302605450000026,-7.417464468068957,1.3783409824465354,3.1666174337403374,0.10041549679152828,-4.131711518271263
BM10,margin_control,BASE,不采纳,主读数 -1.75pp < −1pp,A,False,"[{""metric"": ""滚动5年年化中位"", ""oriented_delta"": -2.554637475220123, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""oriented_delta"": -1.5994329264419682, ""beyond_limit"": true}, {""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -0.2770027260251384, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""oriented_delta"": -0.09554678100261227, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""oriented_delta"": -0.03829733562420112, ""beyond_limit"": true}, {""metric"": ""年化"", ""oriented_delta"": -1.9389153200130682, ""beyond_limit"": true}, {""metric"": ""最大回撤"", ""oriented_delta"": -0.4977482602901151, ""beyond_limit"": false}, {""metric"": ""Calmar"", ""oriented_delta"": -0.04735372700288665, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""oriented_delta"": -0.036920217653402476, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""oriented_delta"": -2.8608342420422925, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""oriented_delta"": -2.3871779844070184, ""beyond_limit"": true}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.7062671325711589, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -2.348098342802812, ""beyond_limit"": true}]",-0.6216413621856431,0.07200390750000119,-0.005036482045817081,-1.5890501394132062,0.23954513328956484,-0.050293148822705414,-0.7340115302426176,-1.9389153200130682,-1.7463765250000014,0.4977482602901151,-1.5994329264419682,-0.11933600257730825,0.2770027260251384,-0.37609128480566856,-1.9389153200130682,-1.7463765250000014,0.4977482602901151,-1.5994329264419682,-0.11933600257730825,0.2770027260251384,-0.37609128480566856
CM10,margin,BASE,不采纳,主读数 -2.76pp < −1pp,U2,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -1.3350609158881643, ""beyond_limit"": true}, {""metric"": ""逐年最差"", ""oriented_delta"": -2.9143620189681583, ""beyond_limit"": true}]",-0.817284847986588,-2.759723109999998,-4.327587592153625,-1.8423534810595,2.3074538086592824,-2.7766675768348623,-5.868062822441733,1.5697285949653028,1.7045517449999985,-6.627521538727432,1.6153912713195218,5.016211437583951,1.3350609158881643,-5.313138613484258,2.272523388155645,1.7686528550000054,-6.627521538727432,1.6153912713195218,5.016211437583951,1.3350609158881643,-5.3195697094774115
BM11,margin_control,BASE,不采纳,主读数 -3.77pp < −1pp,A,False,"[{""metric"": ""滚动5年年化中位"", ""oriented_delta"": -3.0162147261526773, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""oriented_delta"": -1.3820096683287542, ""beyond_limit"": true}, {""metric"": ""滚动5年年化最差"", ""oriented_delta"": -0.7648307759790862, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""oriented_delta"": -0.08044982879234103, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""oriented_delta"": -0.04571120928768285, ""beyond_limit"": true}, {""metric"": ""年化"", ""oriented_delta"": -2.8830762537808363, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""oriented_delta"": -0.04036206070917586, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""oriented_delta"": -0.053116899433273024, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""oriented_delta"": -3.580186626185694, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""oriented_delta"": -3.3458348433389573, ""beyond_limit"": true}, {""metric"": ""滚动3年回撤中位"", ""oriented_delta"": -0.18246298459801413, ""beyond_limit"": false}, {""metric"": ""逐年最差"", ""oriented_delta"": -2.140419357629203, ""beyond_limit"": true}]",-2.8573433750347266,-1.5105617299999985,0.2925520669925463,-3.7781528907916972,0.012523184236806761,0.5795845459285354,-0.5059992630863319,-2.8830762537808363,-3.7694874950000012,0.1325579800020349,-1.3820096683287542,-0.7648307759790862,-0.15252128907484175,-0.010814292058192176,-2.8830762537808363,-3.7694874950000012,0.1325579800020349,-1.3820096683287542,-0.7648307759790862,-0.15252128907484175,-0.010814292058192176
CM11,margin,BASE,不采纳,主读数 -3.80pp < −1pp,U3,True,[],-2.880128914630564,-3.803518055000002,-2.421014518335285,-3.6447024453174937,1.9257337270857544,-2.7449531034244634,-4.60909273902822,1.8013253320093292,3.6181870999999948,-6.551079466493487,3.4249019970069905,5.428085344132938,1.2530593200855256,-5.239898844650536,3.5976923612931255,5.7449782,-5.801351918854691,4.322299048410305,3.2131119873995972,-3.5447122809627087,-7.26115888187625
BM12,margin_control,BASE,不采纳,主读数 -2.05pp < −1pp；闸门：回撤 Δ +3.2pp,A,False,"[{""metric"": ""滚动5年年化中位"", ""oriented_delta"": -2.6043206657351936, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""oriented_delta"": -1.3433176544468073, ""beyond_limit"": true}, {""metric"": ""滚动5年Calmar中位"", ""oriented_delta"": -0.04292074386315087, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""oriented_delta"": -0.027240490774497417, ""beyond_limit"": false}, {""metric"": ""年化"", ""oriented_delta"": -1.71580137821572, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""oriented_delta"": -0.028846843640840614, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""oriented_delta"": -0.03621404292844754, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""oriented_delta"": -2.437613256459131, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""oriented_delta"": -2.328712575837133, ""beyond_limit"": true}, {""metric"": ""逐年最差"", ""oriented_delta"": -0.9585313451437205, ""beyond_limit"": false}]",-3.22322077702355,-1.708543174999999,0.3136268262604991,-4.060891904722119,-0.05074316427630676,3.2012906946334354,-0.17339936810303325,-1.71580137821572,-2.052074064999998,0.03558967328262108,-1.3433176544468073,-0.1120472008102058,-0.010346215516565671,-0.027078700263594158,-1.71580137821572,-2.052074064999998,0.03558967328262108,-1.3433176544468073,-0.1120472008102058,-0.010346215516565671,-0.027078700263594158
CM12,margin,BASE,不采纳,主读数 -3.28pp < −1pp,U1,False,"[{""metric"": ""滚动5年回撤中位"", ""oriented_delta"": -1.2127775229604287, ""beyond_limit"": true}, {""metric"": ""逐年最差"", ""oriented_delta"": -2.101403491655418, ""beyond_limit"": true}]",-1.2818929457983685,-3.2825162850000007,-0.8844979210972492,-1.6499008925789815,3.2606484077469466,-2.128254342684721,-4.599253460233554,1.7907876016015067,3.0145805049999974,-6.437840383707222,2.8521175235353025,4.777869081510488,1.2127775229604287,-5.72790952785438,1.7907876016015067,3.0145805049999974,-6.437840383707222,2.8521175235353025,4.777869081510488,1.2127775229604287,-5.72790952785438
BM13,margin_control,BASE,不采纳,主读数 -2.54pp < −1pp,A,False,"[{""metric"": ""滚动5年年化中位"", ""oriented_delta"": -3.036195983721013, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""oriented_delta"": -1.3558215165251686, ""beyond_limit"": true}, {""metric"": ""滚动5年年化最差"", ""oriented_delta"": -0.5072767561199343, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""oriented_delta"": -0.0733891897345686, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""oriented_delta"": -0.04623971382709213, ""beyond_limit"": true}, {""metric"": ""年化"", ""oriented_delta"": -2.1314072856776, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""oriented_delta"": -0.02378855117667822, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""oriented_delta"": -0.034053416226461686, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""oriented_delta"": -3.61678573761815, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""oriented_delta"": -2.7937747033134563, ""beyond_limit"": true}, {""metric"": ""逐年最差"", ""oriented_delta"": -1.0580889811842409, ""beyond_limit"": true}]",-1.4507608520059723,0.8680059400000009,0.9435367333691491,-0.6274254823192105,-0.0385114858855895,2.295696833006561,-0.1686524979101489,-2.1314072856776,-2.54487635,0.03558967328262108,-1.3558215165251686,-0.5072767561199343,0.002003578514359061,-0.11738174224069642,-2.1314072856776,-2.54487635,0.03558967328262108,-1.3558215165251686,-0.5072767561199343,0.002003578514359061,-0.11738174224069642
