group,arm,ref,metric,level_median,paired_delta_median,positive_starts
full,BASE,BASE,年化,0.46544187294887385,0.0,0
full,BASE,BASE,最大回撤,0.5508931054523626,0.0,0
full,BASE,BASE,Sharpe,1.0038356294347204,0.0,0
full,BASE,BASE,Calmar,0.8333635380424529,0.0,0
full,BASE,BASE,平均仓位,1.620724664263457,0.0,0
full,BASE,BASE,年均换手,6.534083537856631,0.0,0
full,BASE,BASE,持仓数中位,7.0,0.0,0
full,BASE,BASE,单票权重中位,0.6306357301191918,0.0,0
full,BASE,BASE,单票权重P90,0.746792862109978,0.0,0
full,BASE,BASE,单票权重最大,0.9531775632103525,0.0,0
full,BASE,BASE,前三权重中位,1.4210367736154308,0.0,0
full,BASE,BASE,单票超60%天数占比,0.7198076595018765,0.0,0
full,BASE,BASE,滚动3年年化中位,0.4979943217229439,0.0,0
full,BASE,BASE,滚动3年回撤中位,0.43404959452958614,0.0,0
full,BASE,BASE,滚动3年Calmar中位,1.1334386005359702,0.0,0
full,BASE,BASE,滚动3年Sharpe中位,1.0383479304627907,0.0,0
full,BASE,BASE,滚动3年为负的窗口占比,0.0,0.0,0
full,BASE,BASE,滚动5年年化中位,0.5087574927834937,0.0,0
full,BASE,BASE,滚动5年年化P25,0.4381097133613221,0.0,0
full,BASE,BASE,滚动5年年化最差,0.19713889215837976,0.0,0
full,BASE,BASE,滚动5年回撤中位,0.47199612971470933,0.0,0
full,BASE,BASE,滚动5年Calmar中位,1.123430122486294,0.0,0
full,BASE,BASE,滚动5年Sharpe中位,1.036618340788589,0.0,0
full,BASE,BASE,滚动5年为负的窗口占比,0.0,0.0,0
full,BASE,BASE,滚动5年窗口数,102.0,0.0,0
full,BASE,BASE,互不重叠5年块中位,0.6495271198763342,0.0,0
full,BASE,BASE,滚动10年年化中位,0.4797303590336247,0.0,0
full,BASE,BASE,滚动10年窗口数,42.0,0.0,0
full,BASE,BASE,逐年收益中位,0.37212549037184617,0.0,0
full,BASE,BASE,逐年为正比例,0.7928571428571429,0.0,0
full,BASE,BASE,逐年最差,-0.15665277932432325,0.0,0
full,BASE,BASE,完整自然年数,12.5,0.0,0
full,BASE,BASE,强平次数,0.0,0.0,0
full,BASE,BASE,最低担保比例,1.8712874542923101,0.0,0
full,BASE,BASE,最低股票同跌缓冲,0.3052904584380387,0.0,0
full,BASE,BASE,最低总资产冲击缓冲,0.30529045843803876,0.0,0
full,BASE,BASE,rf覆盖率,1.0,0.0,0
full,BASE,BASE,年化_交易日口径,0.467027937768996,0.0,0
full,BASE,BASE,最低担保比例日,20165470.0,0.0,0
full,BASE,BASE,最低股票同跌缓冲日,20165470.0,0.0,0
full,BASE,BASE,滚动5年年化最差窗口末日,20181228.0,0.0,0
full,BASE,BASE,最大回撤起日,20150610.5,0.0,0
full,BASE,BASE,最大回撤止日,20160530.0,0.0,0
full,BASE,BASE,末次净值日,20260828.0,0.0,0
full,BASE,BASE,最低现金,-5.684341886080802e-14,0.0,0
full,BASE,BASE,负现金日数,0.0,0.0,0
full,BASE,BASE,最低现金日,20146108.0,0.0,0
full,BASE,BASE,滚动5年窗口年化,,0.0,0
full,C030R35,BASE,年化,0.4502438915883087,0.00042706624862609566,7
full,C030R35,BASE,最大回撤,0.46033539500985643,-0.08638296656710176,1
full,C030R35,BASE,Sharpe,1.0127338611578685,0.01847466525880448,8
full,C030R35,BASE,Calmar,0.9599468888189311,0.14027002266640098,12
full,C030R35,BASE,平均仓位,1.5741454140053617,-0.0466333071874484,0
full,C030R35,BASE,年均换手,6.401344261502748,-0.070649293520328,5
full,C030R35,BASE,持仓数中位,7.0,0.0,0
full,C030R35,BASE,单票权重中位,0.6318335692769415,-0.0006591622812917031,6
full,C030R35,BASE,单票权重P90,0.7298971380454626,-0.011839104336418327,5
full,C030R35,BASE,单票权重最大,0.9208451064703156,-0.00047196279402905716,4
full,C030R35,BASE,前三权重中位,1.426369562539903,0.006063108517626148,8
full,C030R35,BASE,单票超60%天数占比,0.7114058542077117,-0.014820185235986438,5
full,C030R35,BASE,滚动3年年化中位,0.4709574002337651,-0.018275646104291776,5
full,C030R35,BASE,滚动3年回撤中位,0.4289959265137482,-0.0039795647449993865,6
full,C030R35,BASE,滚动3年Calmar中位,1.084825088680335,0.021032120473774785,8
full,C030R35,BASE,滚动3年Sharpe中位,1.000170034485689,-0.004972456786370316,7
full,C030R35,BASE,滚动3年为负的窗口占比,0.0,0.0,1
full,C030R35,BASE,滚动5年年化中位,0.4661827357665842,-0.023591641553455056,5
full,C030R35,BASE,滚动5年年化P25,0.4104300358571248,-0.012828542594384262,5
full,C030R35,BASE,滚动5年年化最差,0.2620559383755683,0.02025795722729612,10
full,C030R35,BASE,滚动5年回撤中位,0.44935635458293915,-0.02119753286165771,4
full,C030R35,BASE,滚动5年Calmar中位,1.0563383764182575,0.05533585548672143,9
full,C030R35,BASE,滚动5年Sharpe中位,1.0198690911963522,-0.0020043845328211463,7
full,C030R35,BASE,滚动5年为负的窗口占比,0.0,0.0,0
full,C030R35,BASE,滚动5年窗口数,102.0,0.0,0
full,C030R35,BASE,互不重叠5年块中位,0.5815849315896806,-0.0268258423739558,5
full,C030R35,BASE,滚动10年年化中位,0.4492450488244174,-0.01394022772151815,6
full,C030R35,BASE,滚动10年窗口数,42.0,0.0,0
full,C030R35,BASE,逐年收益中位,0.40263170747572374,0.0365023238440394,10
