year,OFF_return_pct,OFF_end_wealth,OFF_exposure_pct,OFF_debt_days,BASE_return_pct,BASE_end_wealth,BASE_exposure_pct,BASE_debt_days,relative_wealth,log_relative_return
2011,-3.366652753999988,2899000.4173800005,9.146382430918756,0,-3.366652753999988,2899000.4173800005,9.146382430918756,0,1.0,0.0
2012,-1.1342934862946907,2866117.244478003,124.07020900580763,219,-1.1342934862946907,2866117.244478003,124.07020900580763,219,1.0,0.0
2013,-2.9824058661249375,2780637.995648673,173.66682115188766,238,-2.9824058661249375,2780637.995648673,173.66682115188766,238,1.0,0.0
2014,66.15702347957695,4620225.327312003,168.59535593655372,245,66.15702347957695,4620225.327312003,168.59535593655372,245,1.0,0.0
2015,-23.502412250655734,3534360.923977928,184.08972562033955,244,7.308631003007204,4957900.547992719,135.92681070058734,125,1.402771435808145,0.3384498768069292
2016,10.288699478947061,3898000.697947353,168.4643349670943,244,1.72360897932331,5043355.3670238415,164.8193332848604,244,1.2938313145196767,-0.0808420489478302
2017,208.48011141544256,12024556.896002723,167.9162722868508,244,143.56591225689738,12283894.508048816,168.93377261526828,244,1.0215673321095353,-0.2362697798174932
2018,-17.594891639577458,9908849.140011705,155.8744008934896,243,-14.09268750074293,10552763.642108573,150.3152100072589,228,1.0649837829800795,0.04162152375509498
2019,201.41363600055948,29866622.47871945,171.48635551025822,244,182.09254042249506,29768559.04280549,171.91731941330778,244,0.996716621171884,-0.06624835274111884
2020,22.577718358978306,36609824.385304034,165.16704803651544,243,3.9800628821044404,30953366.411805533,167.44554716910935,243,0.8454934414880961,-0.16454608669179976
2021,86.79537842674961,68385460.00189713,173.13332369766806,243,54.25267300686771,47746395.075820014,172.89394054710672,243,0.6981951291180237,-0.1914217930413069
2022,13.436582537382957,77574128.77862105,168.56092564920033,242,19.467230557708405,57041295.88822423,167.72009191956073,242,0.7353133936058391,0.05179817588989
2023,41.894404442249346,110073348.03168789,168.54269028117224,242,38.99498164428308,79284538.74949847,168.985606311578,242,0.720288245676638,-0.02064532108201267
2024,59.28218376295482,175327232.4858699,168.73401603517436,242,54.73511112801699,122681019.14137216,171.23395298920167,242,0.6997259775446427,-0.028962675360318102
2025,95.77159193579772,343240914.13456464,168.51553206106482,243,102.186890067326,248044937.3048413,168.25225062947254,243,0.7226555083919787,0.03224383560304711
2026,51.934310097560314,521500714.86291015,167.78405182891737,159,41.443975895060035,350844621.3303765,167.70374140222825,159,0.6727596172569102,-0.07154454841090252
