observed_on,pe_ttm,index_close,source
2005-04-29,13.99,932.4,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-05-31,12.58,855.95,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-06-30,12.76,878.69,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-07-29,12.94,888.16,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-08-31,12.88,927.92,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-09-30,12.63,917.39,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-10-31,11.78,876.28,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-11-30,11.85,873.83,https://legulegu.com/stockdata/hs300-ttm-lyr
2005-12-30,12.61,923.45,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-01-25,13.56,1009.6,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-02-28,14.08,1053.01,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-03-31,14.03,1061.09,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-04-28,15.8,1172.35,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-05-31,17.7,1365.45,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-06-30,17.79,1393.96,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-07-31,18.52,1294.33,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-08-31,18.61,1338.69,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-09-29,19.39,1403.27,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-10-31,18.3,1464.47,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-11-30,23.21,1714.36,https://legulegu.com/stockdata/hs300-ttm-lyr
2006-12-29,30.66,2041.05,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-01-31,34.95,2385.34,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-02-28,35.15,2544.57,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-03-30,36.37,2781.78,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-04-30,34.88,3558.71,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-05-31,39.27,3927.95,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-06-29,37.29,3764.08,https://legulegu.com/stockdata/hs300-ttm-lyr
2007-07-31,43.81,4460.56,https://legulegu.com/stockdata/hs300-ttm-lyr
