group,bucket,code,n,median
pv_daily,"(0,0.6)",000001,14,0.23726524085209022
pv_daily,"(0,0.6)",000063,8,0.9197635291538283
pv_daily,"(0,0.6)",000333,77,0.8641204673723701
pv_daily,"(0,0.6)",000338,846,0.40786240186753053
pv_daily,"(0,0.6)",000651,227,0.4115630712979894
pv_daily,"(0,0.6)",000661,39,0.5476505057116963
pv_daily,"(0,0.6)",000733,30,0.363658051598465
pv_daily,"(0,0.6)",000792,672,0.07619013970766353
pv_daily,"(0,0.6)",000933,1033,0.15342715555069897
pv_daily,"(0,0.6)",002024,14,0.31859283082293344
pv_daily,"(0,0.6)",002128,1315,0.3596382891651666
pv_daily,"(0,0.6)",002236,39,0.4581188038692423
pv_daily,"(0,0.6)",002304,286,0.5896794233486965
pv_daily,"(0,0.6)",002460,17,0.06479701622865264
pv_daily,"(0,0.6)",002466,933,0.28048867052335225
pv_daily,"(0,0.6)",002532,78,0.7984674158184955
pv_daily,"(0,0.6)",002648,2,0.5535660460912203
pv_daily,"(0,0.6)",002812,5,-0.2839956507481415
pv_daily,"(0,0.6)",300316,25,0.7013703138713592
pv_daily,"(0,0.6)",300435,2,0.778662411326612
pv_daily,"(0,0.6)",600031,386,0.22859409240211437
pv_daily,"(0,0.6)",600066,66,0.570634892899725
pv_daily,"(0,0.6)",600176,223,-0.0437449647642556
pv_daily,"(0,0.6)",600188,270,0.47893519996980516
pv_daily,"(0,0.6)",600309,238,0.5220031313263327
pv_daily,"(0,0.6)",600426,34,0.8580097665373739
pv_daily,"(0,0.6)",600585,581,-0.006401220182269296
pv_daily,"(0,0.6)",600660,41,0.2584458974172654
pv_daily,"(0,0.6)",600938,326,0.4787081613604469
pv_daily,"(0,0.6)",600970,122,0.09129235028387839
pv_daily,"(0,0.6)",601088,808,0.2544826216165864
pv_daily,"(0,0.6)",601166,26,0.4225309316429625
pv_daily,"(0,0.6)",601225,88,0.6566202491812883
pv_daily,"(0,0.6)",601825,242,0.11707352565818241
pv_daily,"(0,0.6)",603993,2,2.256173250344398
pv_daily,"(0,0.6)",688516,128,0.7563517968099176
pv_daily,"[0.6,0.8)",000001,316,0.05324881650701441
pv_daily,"[0.6,0.8)",000022,35,0.35222672064777294
pv_daily,"[0.6,0.8)",000063,136,0.2778451428682337
pv_daily,"[0.6,0.8)",000333,76,0.36188675352706057
pv_daily,"[0.6,0.8)",000338,1402,0.20176973322115932
pv_daily,"[0.6,0.8)",000423,28,0.35332109640752685
pv_daily,"[0.6,0.8)",000568,313,0.31752602571953714
pv_daily,"[0.6,0.8)",000651,1333,0.24903391744122816
pv_daily,"[0.6,0.8)",000661,246,-0.05846776887132299
pv_daily,"[0.6,0.8)",000733,135,0.22414643649666033
pv_daily,"[0.6,0.8)",000786,35,0.30179675449195886
pv_daily,"[0.6,0.8)",000792,558,0.034842441377609945
pv_daily,"[0.6,0.8)",000858,216,0.4464741131231965
pv_daily,"[0.6,0.8)",000933,96,-0.1854542359611634
pv_daily,"[0.6,0.8)",000951,3,0.3120115812650319
pv_daily,"[0.6,0.8)",002001,232,0.13320759820931904
pv_daily,"[0.6,0.8)",002024,204,0.24648950759153665
pv_daily,"[0.6,0.8)",002128,1081,-0.005433761657269609
pv_daily,"[0.6,0.8)",002158,12,0.5492913326884113
pv_daily,"[0.6,0.8)",002236,282,0.20518001477778403
pv_daily,"[0.6,0.8)",002304,188,0.17422284152278755
pv_daily,"[0.6,0.8)",002460,137,-0.1169877591903663
pv_daily,"[0.6,0.8)",002466,96,0.8191691051851371
pv_daily,"[0.6,0.8)",002532,299,0.61209020409921
pv_daily,"[0.6,0.8)",002648,231,0.3207480257877027
pv_daily,"[0.6,0.8)",002807,12,0.2511197314598428
pv_daily,"[0.6,0.8)",002812,58,-0.274039832307961
pv_daily,"[0.6,0.8)",002833,72,0.3293047976130855
pv_daily,"[0.6,0.8)",002839,54,0.1647267748422221
pv_daily,"[0.6,0.8)",002841,1,0.03622617278597606
pv_daily,"[0.6,0.8)",002966,21,0.016032171851136257
pv_daily,"[0.6,0.8)",300059,99,1.27996259276315
pv_daily,"[0.6,0.8)",300274,15,1.5239186484116138
pv_daily,"[0.6,0.8)",300316,181,0.15916578102525247
pv_daily,"[0.6,0.8)",300435,101,0.5886487528107716
pv_daily,"[0.6,0.8)",600000,24,0.04213608180437134
pv_daily,"[0.6,0.8)",600015,193,0.1937319900574126
pv_daily,"[0.6,0.8)",600016,273,-0.20589644877435398
pv_daily,"[0.6,0.8)",600031,196,0.07481447992078682
pv_daily,"[0.6,0.8)",600036,220,0.3662760507533258
pv_daily,"[0.6,0.8)",600066,535,0.43825373974419213
pv_daily,"[0.6,0.8)",600176,328,-0.0008603038755078396
pv_daily,"[0.6,0.8)",600188,445,-0.010451452351852963
pv_daily,"[0.6,0.8)",600309,939,0.2262597641166615
pv_daily,"[0.6,0.8)",600415,19,0.5993114139447677
pv_daily,"[0.6,0.8)",600426,157,0.2401601320988691
pv_daily,"[0.6,0.8)",600486,8,0.059006061655409225
pv_daily,"[0.6,0.8)",600519,45,0.7199442665655236
pv_daily,"[0.6,0.8)",600566,55,-0.0051481664742416555
pv_daily,"[0.6,0.8)",600585,1111,0.24856364795742603
pv_daily,"[0.6,0.8)",600660,620,0.15517427937530992
pv_daily,"[0.6,0.8)",600690,1,1.2511033339295112
pv_daily,"[0.6,0.8)",600897,430,0.112482311950587
pv_daily,"[0.6,0.8)",600919,441,0.33624961223370775
pv_daily,"[0.6,0.8)",600938,360,0.1379841860786375
