group,bucket,signal_year,n,median
pv_daily,"(0,0.6)",2011,20,-0.00047000259242913067
pv_daily,"(0,0.6)",2012,382,0.1293340690107726
pv_daily,"(0,0.6)",2013,1059,-0.03250044973338406
pv_daily,"(0,0.6)",2014,1748,0.5516473691396624
pv_daily,"(0,0.6)",2015,343,0.02116402116402316
pv_daily,"(0,0.6)",2016,469,0.47753819376569684
pv_daily,"(0,0.6)",2018,256,0.5473785702910902
pv_daily,"(0,0.6)",2019,458,0.242985780385661
pv_daily,"(0,0.6)",2020,599,0.5476830555389594
pv_daily,"(0,0.6)",2021,226,-0.0852072874003213
pv_daily,"(0,0.6)",2022,464,0.12562840936510766
pv_daily,"(0,0.6)",2023,1265,0.1767120060157601
pv_daily,"(0,0.6)",2024,1144,0.27303652100665265
pv_daily,"(0,0.6)",2025,810,0.757064531959835
pv_daily,"[0.6,0.8)",2011,194,0.0020063561318406364
pv_daily,"[0.6,0.8)",2012,1382,-0.013110545230199777
pv_daily,"[0.6,0.8)",2013,1670,0.08174071415782036
pv_daily,"[0.6,0.8)",2014,1646,0.4295963061902325
pv_daily,"[0.6,0.8)",2015,783,-0.013285962926038675
pv_daily,"[0.6,0.8)",2016,805,0.505262629683991
pv_daily,"[0.6,0.8)",2017,242,0.5302921330909881
pv_daily,"[0.6,0.8)",2018,406,0.31875695283152394
pv_daily,"[0.6,0.8)",2019,902,0.31542058733656186
pv_daily,"[0.6,0.8)",2020,1190,0.06927429150223663
pv_daily,"[0.6,0.8)",2021,1153,0.09974108503434453
pv_daily,"[0.6,0.8)",2022,3197,0.1699598567342111
pv_daily,"[0.6,0.8)",2023,3548,0.3093233509933192
pv_daily,"[0.6,0.8)",2024,5075,0.27081560951675754
pv_daily,"[0.6,0.8)",2025,2833,0.1448406401595872
pv_daily,"[0.8,1.0454]",2011,219,-0.10974053731962075
pv_daily,"[0.8,1.0454]",2012,1854,0.08355605807879951
pv_daily,"[0.8,1.0454]",2013,2114,0.02810993479252355
pv_daily,"[0.8,1.0454]",2014,2940,0.6263649708582711
pv_daily,"[0.8,1.0454]",2015,1737,0.026756547673579822
pv_daily,"[0.8,1.0454]",2016,2521,0.24042141651919735
pv_daily,"[0.8,1.0454]",2017,657,0.4712268682145264
pv_daily,"[0.8,1.0454]",2018,522,0.2041547906311758
pv_daily,"[0.8,1.0454]",2019,1310,0.08568499871447921
pv_daily,"[0.8,1.0454]",2020,3417,0.010902521146425537
pv_daily,"[0.8,1.0454]",2021,3387,-0.019659141798639257
pv_daily,"[0.8,1.0454]",2022,4611,0.06591101395150067
pv_daily,"[0.8,1.0454]",2023,5278,0.11550447741937109
pv_daily,"[0.8,1.0454]",2024,6508,0.20736797982089195
pv_daily,"[0.8,1.0454]",2025,4075,0.10140647237667655
pv_daily,all_cheap,2011,433,-0.045157442252846014
pv_daily,all_cheap,2012,3618,0.055130941687525414
pv_daily,all_cheap,2013,4843,0.032300003034638314
pv_daily,all_cheap,2014,6334,0.5560088261595906
pv_daily,all_cheap,2015,2863,0.019925346984172032
pv_daily,all_cheap,2016,3795,0.34000381388253165
pv_daily,all_cheap,2017,899,0.4787212741200211
pv_daily,all_cheap,2018,1184,0.2932942108429254
pv_daily,all_cheap,2019,2670,0.19141394683516244
pv_daily,all_cheap,2020,5206,0.058921101549525345
pv_daily,all_cheap,2021,4766,-0.007022303916013384
pv_daily,all_cheap,2022,8272,0.11182355211209216
pv_daily,all_cheap,2023,10091,0.21371269871117993
pv_daily,all_cheap,2024,12727,0.2349296027536132
pv_daily,all_cheap,2025,7718,0.14061278631955076
pv_monthly,"(0,0.6)",2011,1,-0.027264359687512063
pv_monthly,"(0,0.6)",2012,20,0.13961319851347198
pv_monthly,"(0,0.6)",2013,54,-0.013278997460391295
pv_monthly,"(0,0.6)",2014,85,0.5170193707311619
pv_monthly,"(0,0.6)",2015,21,0.038062283737025915
pv_monthly,"(0,0.6)",2016,25,0.48955162415649767
pv_monthly,"(0,0.6)",2018,15,0.5586429232411301
pv_monthly,"(0,0.6)",2019,22,0.20247171516737839
pv_monthly,"(0,0.6)",2020,30,0.4780651694327315
pv_monthly,"(0,0.6)",2021,11,-0.09554994039273323
pv_monthly,"(0,0.6)",2022,25,0.1367748530539281
pv_monthly,"(0,0.6)",2023,65,0.16368882278095342
pv_monthly,"(0,0.6)",2024,50,0.20186698556248794
pv_monthly,"(0,0.6)",2025,38,0.7220588144531649
pv_monthly,"[0.6,0.8)",2011,11,0.03426940224737374
pv_monthly,"[0.6,0.8)",2012,70,-0.001837822578833359
pv_monthly,"[0.6,0.8)",2013,87,0.10260602215606918
pv_monthly,"[0.6,0.8)",2014,83,0.38672950939367867
pv_monthly,"[0.6,0.8)",2015,41,0.11570081634150364
pv_monthly,"[0.6,0.8)",2016,38,0.4886524935423714
pv_monthly,"[0.6,0.8)",2017,11,0.28490835766930944
pv_monthly,"[0.6,0.8)",2018,21,0.300803220688298
pv_monthly,"[0.6,0.8)",2019,45,0.2730304161156214
pv_monthly,"[0.6,0.8)",2020,68,0.05682402449329571
pv_monthly,"[0.6,0.8)",2021,69,0.09510632140347064
pv_monthly,"[0.6,0.8)",2022,174,0.1725543611487984
pv_monthly,"[0.6,0.8)",2023,181,0.3033524675117576
pv_monthly,"[0.6,0.8)",2024,267,0.2559575572498509
pv_monthly,"[0.6,0.8)",2025,135,0.14634660453451898
pv_monthly,"[0.8,1.0454]",2011,9,0.0798381727863966
pv_monthly,"[0.8,1.0454]",2012,91,0.08191452305808689
pv_monthly,"[0.8,1.0454]",2013,103,0.02292681432466548
pv_monthly,"[0.8,1.0454]",2014,142,0.6331997268547613
pv_monthly,"[0.8,1.0454]",2015,82,0.052052086659779784
pv_monthly,"[0.8,1.0454]",2016,128,0.25164864044779467
pv_monthly,"[0.8,1.0454]",2017,30,0.4869096574284638
pv_monthly,"[0.8,1.0454]",2018,28,0.19966714646818573
pv_monthly,"[0.8,1.0454]",2019,68,0.06445451426505999
pv_monthly,"[0.8,1.0454]",2020,177,0.023314188248399592
pv_monthly,"[0.8,1.0454]",2021,162,-0.018386299780730975
pv_monthly,"[0.8,1.0454]",2022,222,0.064189687115495
pv_monthly,"[0.8,1.0454]",2023,258,0.11119458492649281
pv_monthly,"[0.8,1.0454]",2024,311,0.19667854246598604
pv_monthly,"[0.8,1.0454]",2025,186,0.116675852076353
pv_monthly,all_cheap,2011,21,0.03426940224737374
pv_monthly,all_cheap,2012,181,0.05487516262829262
pv_monthly,all_cheap,2013,244,0.033960652879198694
pv_monthly,all_cheap,2014,310,0.5287613479386768
pv_monthly,all_cheap,2015,144,0.05216448137731233
pv_monthly,all_cheap,2016,191,0.36759403900522303
pv_monthly,all_cheap,2017,41,0.482413612682431
pv_monthly,all_cheap,2018,64,0.30838886589238024
pv_monthly,all_cheap,2019,135,0.16631683932641894
pv_monthly,all_cheap,2020,275,0.06093210049500586
pv_monthly,all_cheap,2021,242,-0.002072460947492749
pv_monthly,all_cheap,2022,421,0.12085972850678872
pv_monthly,all_cheap,2023,504,0.2136591377916478
pv_monthly,all_cheap,2024,628,0.217645472574312
pv_monthly,all_cheap,2025,359,0.15188409118485957
trend_daily,"(0,0.6)",2012,71,0.2729040097205353
trend_daily,"(0,0.6)",2013,121,-0.06807858156122337
trend_daily,"(0,0.6)",2014,522,0.2820486997183842
trend_daily,"(0,0.6)",2015,19,-0.08985566599427286
trend_daily,"(0,0.6)",2016,61,0.4201945446516806
trend_daily,"(0,0.6)",2018,10,0.45458797915110116
trend_daily,"(0,0.6)",2019,159,0.34187409179817907
trend_daily,"(0,0.6)",2020,133,0.4035305823359514
trend_daily,"(0,0.6)",2021,31,0.3669662064723822
trend_daily,"(0,0.6)",2022,130,0.026304668903964545
trend_daily,"(0,0.6)",2023,275,0.4040236375313082
trend_daily,"(0,0.6)",2024,232,0.19088620062654105
trend_daily,"(0,0.6)",2025,145,0.48219699072788735
trend_daily,"[0.6,0.8)",2012,259,-0.0027359183245347918
trend_daily,"[0.6,0.8)",2013,463,0.07181914069427897
trend_daily,"[0.6,0.8)",2014,642,0.2880245079737297
trend_daily,"[0.6,0.8)",2015,170,-0.18944727936378364
trend_daily,"[0.6,0.8)",2016,272,0.5497314462454627
trend_daily,"[0.6,0.8)",2017,97,0.54372402530907
trend_daily,"[0.6,0.8)",2018,21,0.45585031917263863
trend_daily,"[0.6,0.8)",2019,361,0.35535589148920477
trend_daily,"[0.6,0.8)",2020,299,0.3592921994688745
trend_daily,"[0.6,0.8)",2021,225,0.10774659405788145
trend_daily,"[0.6,0.8)",2022,523,0.1669237153851959
trend_daily,"[0.6,0.8)",2023,1166,0.31302119581361887
trend_daily,"[0.6,0.8)",2024,1674,0.2776081955365318
trend_daily,"[0.6,0.8)",2025,1113,0.0823804096509817
trend_daily,"[0.8,1.0454]",2011,15,-0.13116141449784413
trend_daily,"[0.8,1.0454]",2012,311,0.028378804920444534
trend_daily,"[0.8,1.0454]",2013,441,0.026526628258457308
trend_daily,"[0.8,1.0454]",2014,1339,0.5056202354586747
trend_daily,"[0.8,1.0454]",2015,534,0.0002840967210876455
trend_daily,"[0.8,1.0454]",2016,774,0.258664534106827
trend_daily,"[0.8,1.0454]",2017,306,0.462430761877338
trend_daily,"[0.8,1.0454]",2018,99,0.18119532381474124
trend_daily,"[0.8,1.0454]",2019,384,0.08662963762205778
trend_daily,"[0.8,1.0454]",2020,792,-0.02934837803612439
trend_daily,"[0.8,1.0454]",2021,528,-0.015156736887247224
trend_daily,"[0.8,1.0454]",2022,976,0.017749487076515136
trend_daily,"[0.8,1.0454]",2023,1423,0.10975360889823182
trend_daily,"[0.8,1.0454]",2024,2837,0.19534339364648412
trend_daily,"[0.8,1.0454]",2025,1809,0.05492708191358986
trend_daily,all_cheap,2011,15,-0.13116141449784413
trend_daily,all_cheap,2012,641,0.028378804920444534
trend_daily,all_cheap,2013,1025,0.03451864537226301
trend_daily,all_cheap,2014,2503,0.4214667427622685
trend_daily,all_cheap,2015,723,-0.01623506480849879
trend_daily,all_cheap,2016,1107,0.3513822894168457
trend_daily,all_cheap,2017,403,0.4790493506222542
trend_daily,all_cheap,2018,130,0.2556870579432483
trend_daily,all_cheap,2019,904,0.22201646822266752
trend_daily,all_cheap,2020,1224,0.06912660922080993
trend_daily,all_cheap,2021,784,0.05836763717106952
trend_daily,all_cheap,2022,1629,0.06477153861353879
trend_daily,all_cheap,2023,2864,0.25371196404607466
trend_daily,all_cheap,2024,4743,0.21699264590830913
trend_daily,all_cheap,2025,3067,0.07398950097344881
trend_ma60_episode,"(0,0.6)",2012,5,0.2729040097205353
trend_ma60_episode,"(0,0.6)",2013,10,-0.12219576397026871
trend_ma60_episode,"(0,0.6)",2014,28,0.6251689362704187
trend_ma60_episode,"(0,0.6)",2015,4,-0.09231345391216866
trend_ma60_episode,"(0,0.6)",2016,5,0.3997916556754173
trend_ma60_episode,"(0,0.6)",2018,2,0.7385694178177448
trend_ma60_episode,"(0,0.6)",2019,10,0.3264121855294103
trend_ma60_episode,"(0,0.6)",2020,11,0.39574674132401033
trend_ma60_episode,"(0,0.6)",2021,5,0.4990295824437463
trend_ma60_episode,"(0,0.6)",2022,10,0.20515279939688047
trend_ma60_episode,"(0,0.6)",2023,20,0.3680940230379396
trend_ma60_episode,"(0,0.6)",2024,11,0.15082140649496956
trend_ma60_episode,"(0,0.6)",2025,12,0.7728487913968883
trend_ma60_episode,"[0.6,0.8)",2012,18,-0.05837347412211091
trend_ma60_episode,"[0.6,0.8)",2013,23,0.05652030168993982
trend_ma60_episode,"[0.6,0.8)",2014,24,0.44210887314566927
trend_ma60_episode,"[0.6,0.8)",2015,12,0.04157506345914497
trend_ma60_episode,"[0.6,0.8)",2016,11,0.5820792444031795
trend_ma60_episode,"[0.6,0.8)",2017,7,0.7312565310911388
trend_ma60_episode,"[0.6,0.8)",2018,5,0.5141014572456153
trend_ma60_episode,"[0.6,0.8)",2019,17,0.39591422654630204
trend_ma60_episode,"[0.6,0.8)",2020,13,-0.04756043036601276
trend_ma60_episode,"[0.6,0.8)",2021,27,0.08836444250341757
trend_ma60_episode,"[0.6,0.8)",2022,72,0.1949730871125176
trend_ma60_episode,"[0.6,0.8)",2023,71,0.29347912842206103
trend_ma60_episode,"[0.6,0.8)",2024,73,0.33992729759144247
trend_ma60_episode,"[0.6,0.8)",2025,50,0.08247208386744431
trend_ma60_episode,"[0.8,1.0454]",2011,2,-0.14233007187921887
trend_ma60_episode,"[0.8,1.0454]",2012,25,0.09898897058823652
trend_ma60_episode,"[0.8,1.0454]",2013,27,0.010178447678447666
trend_ma60_episode,"[0.8,1.0454]",2014,52,0.7699718378661824
trend_ma60_episode,"[0.8,1.0454]",2015,24,0.03302961838232965
trend_ma60_episode,"[0.8,1.0454]",2016,41,0.2128998943349738
trend_ma60_episode,"[0.8,1.0454]",2017,10,0.5248633443145722
trend_ma60_episode,"[0.8,1.0454]",2018,12,0.2726413692046211
trend_ma60_episode,"[0.8,1.0454]",2019,20,0.18803159526798818
trend_ma60_episode,"[0.8,1.0454]",2020,57,-0.02182944987725688
trend_ma60_episode,"[0.8,1.0454]",2021,46,-0.013342344160032271
trend_ma60_episode,"[0.8,1.0454]",2022,68,0.013422699037727637
trend_ma60_episode,"[0.8,1.0454]",2023,94,0.10479788205204432
trend_ma60_episode,"[0.8,1.0454]",2024,104,0.21814113141958702
trend_ma60_episode,"[0.8,1.0454]",2025,72,0.12417210979889026
trend_ma60_episode,all_cheap,2011,2,-0.14233007187921887
trend_ma60_episode,all_cheap,2012,48,0.057132080197432655
trend_ma60_episode,all_cheap,2013,60,0.018052128953811475
trend_ma60_episode,all_cheap,2014,104,0.6233724699593363
trend_ma60_episode,all_cheap,2015,40,0.03164626360462974
