group,horizon,year,n,median
rank1_daily,250,2011,10,-0.1704065111273131
rank1_daily,250,2012,190,-0.06099359726964082
rank1_daily,250,2013,226,0.030543427385001598
rank1_daily,250,2014,237,0.5089686780381013
rank1_daily,250,2015,158,0.014891696195582504
rank1_daily,250,2016,192,0.5281103867178282
rank1_daily,250,2017,191,0.27885022808390425
rank1_daily,250,2018,126,0.31185976059288223
rank1_daily,250,2019,209,0.320222326025402
rank1_daily,250,2020,232,0.3957794612170815
rank1_daily,250,2021,210,0.3266828134606745
rank1_daily,250,2022,226,0.16328578356097367
rank1_daily,250,2023,239,0.39738993544290424
rank1_daily,250,2024,239,0.16356088169749383
rank1_daily,250,2025,148,0.4815422375566851
rank1_daily,750,2011,10,-0.1876673020447444
rank1_daily,750,2012,190,0.16933690471072194
rank1_daily,750,2013,226,0.32450428985238433
rank1_daily,750,2014,237,1.4319081029643677
rank1_daily,750,2015,158,1.1804804106389823
rank1_daily,750,2016,192,0.6861395616133892
rank1_daily,750,2017,191,0.8873978169541534
rank1_daily,750,2018,126,0.9395988955692992
rank1_daily,750,2019,209,0.8339161271555302
rank1_daily,750,2020,232,1.1504177464885301
rank1_daily,750,2021,210,0.9569797846536771
rank1_daily,750,2022,226,0.7330758782504765
rank1_daily,750,2023,115,1.3004143477153698
rank1_ma60_episode,250,2011,2,-0.14233007187921864
rank1_ma60_episode,250,2012,23,0.020869886483530165
rank1_ma60_episode,250,2013,27,-0.04712826311317009
rank1_ma60_episode,250,2014,26,0.4958322236284405
rank1_ma60_episode,250,2015,18,-0.05124981213940499
rank1_ma60_episode,250,2016,22,0.4166038350755167
rank1_ma60_episode,250,2017,11,0.12583855679773293
rank1_ma60_episode,250,2018,23,0.2953573475596314
rank1_ma60_episode,250,2019,29,0.25015049866257866
rank1_ma60_episode,250,2020,19,0.32757516921996355
rank1_ma60_episode,250,2021,29,0.18656703436879396
rank1_ma60_episode,250,2022,38,0.27128346400570214
rank1_ma60_episode,250,2023,30,0.39909558944331913
rank1_ma60_episode,250,2024,43,0.26560149598753013
rank1_ma60_episode,250,2025,22,0.386506887236155
rank1_ma60_episode,750,2011,2,0.45226430795903877
rank1_ma60_episode,750,2012,23,0.62210590429431
rank1_ma60_episode,750,2013,27,0.26795552039192394
rank1_ma60_episode,750,2014,26,1.344816355932474
rank1_ma60_episode,750,2015,18,0.7613498145183569
rank1_ma60_episode,750,2016,22,0.6893891308783998
rank1_ma60_episode,750,2017,11,0.8808004938014813
rank1_ma60_episode,750,2018,23,0.8251902803734186
rank1_ma60_episode,750,2019,29,0.709196701678912
rank1_ma60_episode,750,2020,19,0.49046314401911695
rank1_ma60_episode,750,2021,29,0.809481215627575
rank1_ma60_episode,750,2022,38,0.8862252757998784
rank1_ma60_episode,750,2023,15,1.0936271624740987
rank1_ma60_nonoverlap,250,2011,2,-0.14233007187921864
rank1_ma60_nonoverlap,250,2012,10,0.05008388665367092
rank1_ma60_nonoverlap,250,2013,10,-0.08330459275720703
rank1_ma60_nonoverlap,250,2014,16,0.5352267217386156
rank1_ma60_nonoverlap,250,2015,6,0.0465971392744135
rank1_ma60_nonoverlap,250,2016,11,0.3662693720427781
rank1_ma60_nonoverlap,250,2017,5,0.08787346221441106
rank1_ma60_nonoverlap,250,2018,7,0.43760689137505815
rank1_ma60_nonoverlap,250,2019,8,0.18243184237372112
rank1_ma60_nonoverlap,250,2020,8,0.18218414761826063
rank1_ma60_nonoverlap,250,2021,11,-0.0745733932624123
rank1_ma60_nonoverlap,250,2022,12,0.19774849049936172
rank1_ma60_nonoverlap,250,2023,14,0.22526635288062302
rank1_ma60_nonoverlap,250,2024,24,0.2842083407999235
rank1_ma60_nonoverlap,250,2025,9,0.30286881037516133
rank1_ma60_nonoverlap,750,2011,2,0.45226430795903877
rank1_ma60_nonoverlap,750,2012,10,0.8587211585005843
rank1_ma60_nonoverlap,750,2013,5,0.18148972288396203
rank1_ma60_nonoverlap,750,2014,7,1.9731203017687413
rank1_ma60_nonoverlap,750,2015,4,0.37233080976628563
rank1_ma60_nonoverlap,750,2016,6,0.9298210233541797
rank1_ma60_nonoverlap,750,2017,1,-0.25116777311932537
rank1_ma60_nonoverlap,750,2018,3,0.8251902803734186
rank1_ma60_nonoverlap,750,2019,8,0.6312975403170511
rank1_ma60_nonoverlap,750,2020,2,0.9152552017721478
