group,horizon,code,n,median
rank1_daily,250,000001,5,0.0458917620877779
rank1_daily,250,000022,4,0.1926902700057449
rank1_daily,250,000063,8,0.2639532012520498
rank1_daily,250,000333,187,0.41301179590448656
rank1_daily,250,000338,314,0.07155360515140807
rank1_daily,250,000568,3,0.6143765474905196
rank1_daily,250,000651,296,0.24627467529825464
rank1_daily,250,000661,2,-0.24841781276514258
rank1_daily,250,000786,7,0.5523158516476756
rank1_daily,250,000792,122,-0.24598667742681013
rank1_daily,250,000858,5,0.4699648351952026
rank1_daily,250,000933,145,-0.030042918454935785
rank1_daily,250,000951,1,0.3028151856123169
rank1_daily,250,002001,14,-0.2679148627173292
rank1_daily,250,002024,14,0.5045809672423684
rank1_daily,250,002128,263,0.3575963640148492
rank1_daily,250,002152,21,0.45384681806407046
rank1_daily,250,002158,8,0.37200486796331955
rank1_daily,250,002236,8,0.14102946245853776
rank1_daily,250,002304,36,0.5901609211472585
rank1_daily,250,002466,151,0.5048963133640552
rank1_daily,250,002508,9,0.575838595678118
rank1_daily,250,002532,3,0.38387204146314935
rank1_daily,250,002648,8,0.16997387915566076
rank1_daily,250,002833,1,0.18184578090998227
rank1_daily,250,300059,1,1.1878793814025754
rank1_daily,250,300750,3,1.0885559158739575
rank1_daily,250,600000,2,-0.20514864596952287
rank1_daily,250,600009,1,1.0710910679250452
rank1_daily,250,600016,1,-0.21351740416039833
rank1_daily,250,600031,9,0.12976640048711485
rank1_daily,250,600036,1,0.4058307424525973
rank1_daily,250,600066,83,0.02516314751781845
rank1_daily,250,600176,4,0.387953906465602
rank1_daily,250,600188,11,-0.015434791985321605
rank1_daily,250,600271,10,0.4798744618421744
rank1_daily,250,600309,86,0.1336438900096144
rank1_daily,250,600426,3,0.7926327884888242
rank1_daily,250,600519,12,0.482121033743367
rank1_daily,250,600566,4,-0.20365205309352669
rank1_daily,250,600585,144,-0.09114702135416325
rank1_daily,250,600660,15,0.07809999793721478
rank1_daily,250,600690,18,0.6011463056061386
rank1_daily,250,600809,1,0.2518318991984674
rank1_daily,250,600897,16,-0.04552941624001072
rank1_daily,250,600919,6,0.19719104453365643
rank1_daily,250,600938,50,0.34141273890362045
rank1_daily,250,601009,30,0.10018051658918348
rank1_daily,250,601077,2,0.16839035268521696
rank1_daily,250,601088,121,0.47239263803681
rank1_daily,250,601166,6,0.21540873272426786
rank1_daily,250,601169,11,-0.004236638294609296
rank1_daily,250,601187,2,0.33828119837566883
rank1_daily,250,601225,391,0.37778229175663003
rank1_daily,250,601229,12,0.3369533558220241
rank1_daily,250,601288,14,0.30903385517027626
rank1_daily,250,601328,48,0.08679422748216425
rank1_daily,250,601398,8,-0.03912180550945921
rank1_daily,250,601818,5,0.11965869747813085
rank1_daily,250,601825,47,-0.05430359114569627
rank1_daily,250,601838,8,0.09302383616735299
rank1_daily,250,601916,1,0.028816041455446362
rank1_daily,250,601939,5,0.25508015245783877
rank1_daily,250,601988,4,0.41285619117244865
rank1_daily,250,603279,1,0.2119515331733388
rank1_daily,250,603529,1,0.10043381643124882
rank1_daily,750,000022,4,1.136292998050695
rank1_daily,750,000333,187,1.8344302658230394
rank1_daily,750,000338,298,0.17252468184470982
rank1_daily,750,000568,3,2.098054364883837
rank1_daily,750,000651,269,1.5981011246057233
rank1_daily,750,000786,7,1.2780512812740197
rank1_daily,750,000792,74,-0.367098220064592
rank1_daily,750,000858,5,2.531186420535481
rank1_daily,750,000933,78,0.7940065292955265
rank1_daily,750,002001,14,0.3481498609058611
rank1_daily,750,002024,14,0.9152389094558121
rank1_daily,750,002128,169,0.9205592106967666
rank1_daily,750,002152,21,0.8477902620632853
rank1_daily,750,002304,36,1.456992351172095
rank1_daily,750,002466,103,1.4583202264863164
rank1_daily,750,002508,9,0.7713338788619684
rank1_daily,750,002833,1,0.25152916577177087
rank1_daily,750,600000,2,-0.20170848784022294
rank1_daily,750,600009,1,1.9162990993486897
rank1_daily,750,600016,1,-0.11073595004099579
rank1_daily,750,600031,9,0.4308967999550233
rank1_daily,750,600066,83,0.8698071416453232
rank1_daily,750,600188,11,0.18932862964310027
rank1_daily,750,600271,10,1.952194895158914
rank1_daily,750,600309,86,1.1627849716056493
rank1_daily,750,600519,12,1.7918492949960954
rank1_daily,750,600566,4,0.2334886848618053
rank1_daily,750,600585,144,-0.3149801665117352
rank1_daily,750,600660,15,1.0248549296593321
rank1_daily,750,600690,18,1.0219504755600213
rank1_daily,750,600809,1,0.4226115160106889
