security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,incremental_roe_basis,cash_roe0,owner_earnings0,v_zero_growth,incremental_roe_used,ame_path,nopat_ps,roic0,incremental_roic,reinvestment_rate,wacc,cost_of_debt,tax_rate,net_debt_ps,fin_net_debt_ps,minority_book_ps,ev_ps,owner_earnings_true_ps,roic_path,minority_share,minority_share_basis,roic_nopat_mode,roic_g_source,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout,v_bear,v_bull,valuation_quality_score,valuation_quality_notes,bps_operating,external_equity_ps,external_equity_cum_ps,shares_est,bps_basis_date,equity_anchor_mode,peak_weight,growth_trust,trough_weight,ttm_factor,growth_damp,maintenance_ratio,maintenance_raw_ratio,maintenance_status,maintenance_intervals,maintenance_positive_intervals,maintenance_net_reinvestment,maintenance_growth_allowance,maintenance_nopat_total,cash_blocked,wc_aggregation,wc_first_period,wc_last_period,wc_start,wc_end,wc_change,wc_financing_start,wc_financing_end,wc_conflict_years,minority_claim_status,minority_claim_event,minority_fixed_claim_ps,minority_dividend_floor_ps
000022,深赤湾A,L2,2002-03-31,2002-04-30,2002-04-30,ok,,,,,3.0271,0.2295,0.0758,0.0758,,0.075800,normalized(无TTM),,5,1.0000,,,,,2.7519,,,0.4316,0.0775,0.0910,1.2767,0.0794,0.0422,0.0552,2.7703,1.5344,0.7104,5.7275,0.3681,growth,0.2947,earnings,ttm_growth,capital,,,,0.0910,,tier,,,,0.1000,0.0300,0.0775,2.9572,2.6615,3.2530,0.20,2.3658,6.85,,0.7773,0.0000,0.9995,5.1086,69,hist12/cv20/term5/path20/legs12,3.0274,-0.0003,0.0000,381469242,2002-04-30,shares_ref|shares_backfill,0.000,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1997-12-31,2001-12-31,-12476451.9000,78627206.0000,91103657.9000,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2002-06-30,2002-08-31,2002-08-31,ok,,,,,3.1200,0.2290,0.0758,0.0758,,0.075800,normalized(无TTM),,5,1.0000,,,,,2.0364,,,0.3397,0.0775,0.0910,1.2767,0.0794,0.0422,0.0552,2.3098,1.5313,0.7089,4.5077,0.3673,growth,0.2947,earnings,"blend(λ=1.0,w=0.99,v=0.00)",capital,,0.3198,,0.0910,,tier,,,,0.1000,0.0300,0.0775,2.1979,1.9781,2.4177,0.20,1.7583,6.47,,0.7773,0.0000,0.6571,3.8911,59,hist12/cv20/term5/path10/legs12,3.0214,0.0986,0.0000,381469242,2002-08-31,shares_ref|shares_backfill,0.986,1.00,0.000,1.5914,1.0000,0.000000,,off,0,0,,,,,operating,1997-12-31,2001-12-31,-12476451.9000,78627206.0000,91103657.9000,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2002-09-30,2002-10-31,2002-10-31,ok,,,,,3.2760,0.2406,0.0758,0.0758,,0.075800,normalized(无TTM),,5,1.0000,,,,,2.9875,,,0.4525,0.0775,0.0910,1.2767,0.0794,0.0422,0.0552,2.8031,1.6090,0.7449,6.0059,0.3860,growth,0.2947,earnings,ttm_growth,capital,,,,0.0910,,tier,,,,0.1000,0.0300,0.0775,3.2027,2.8825,3.5230,0.20,2.5622,7.08,,0.7773,0.0000,1.1498,5.4586,69,hist12/cv20/term5/path20/legs12,3.1746,0.1014,0.0000,381469242,2002-10-31,shares_ref|shares_backfill,0.000,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1997-12-31,2001-12-31,-12476451.9000,78627206.0000,91103657.9000,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2002-12-31,2003-04-30,2003-04-30,ok,,0.4800,0.1522,weightavg_ttm,3.1140,0.6229,0.2000,0.0770,up,0.104360,lift2(孰高),,5,1.0000,,,,,2.4056,,,0.3795,0.0788,0.3527,0.9091,0.0851,0.0431,0.0458,2.0385,1.0227,0.9031,4.4081,0.7606,growth,0.3001,earnings,"blend(λ=1.0,w=0.98,v=0.00)",capital,,0.3634,,0.2500,,tier,,,,0.1000,0.0300,0.0788,2.3696,2.1326,2.6065,0.20,1.8957,6.24,4.94,0.8715,0.0000,0.9038,3.8365,44,hist12/cv12/term5/path10/legs5,3.1140,0.0000,0.0000,416760061,2003-04-30,annual_row|shares_backfill,0.984,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,-22464093.9200,98479108.0000,120943201.9200,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2003-03-31,2003-04-30,2003-04-30,ok,,,,,3.2670,0.3409,0.1044,0.0770,up,0.104360,normalized(无TTM),,5,1.0000,,,,,2.4748,,,0.3902,0.0788,0.3527,0.9091,0.0851,0.0431,0.0458,2.0951,1.0686,0.9437,4.5328,0.7948,growth,0.3001,earnings,cyclical_median,capital,,,,0.2500,,tier,,,,0.1000,0.0300,0.0788,2.4377,2.1940,2.6815,0.20,1.9502,6.25,,0.8715,0.0000,0.9305,3.9462,51,hist12/cv12/term5/path10/legs12,3.2540,0.0130,0.0000,416760061,2003-04-30,shares_ref|shares_backfill,1.000,1.00,0.000,1.0966,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,-22464093.9200,98479108.0000,120943201.9200,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2003-06-30,2003-08-31,2003-08-31,ok,,,,,3.4620,0.3312,0.1044,0.0770,up,0.104360,normalized(无TTM),,5,1.0000,,,,,2.6964,,,0.3771,0.0788,0.3527,0.9091,0.0851,0.0431,0.0458,1.7201,1.0327,0.9120,4.3807,0.7681,growth,0.3001,earnings,cyclical_median,capital,,0.4040,,0.2500,,tier,,,,0.1000,0.0300,0.0788,2.6606,2.3945,2.9266,0.20,2.1285,7.06,,0.8715,0.0000,1.2039,4.1184,51,hist12/cv12/term5/path10/legs12,3.1447,0.3173,0.0000,416760061,2003-08-31,shares_ref|shares_backfill,1.000,1.00,0.000,1.3030,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,-22464093.9200,98479108.0000,120943201.9200,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2003-09-30,2003-10-31,2003-10-31,ok,,,,,3.7150,0.3574,0.1044,0.0770,up,0.104360,normalized(无TTM),,5,1.0000,,,,,2.8932,,,0.4048,0.0788,0.3527,0.9091,0.0851,0.0431,0.0458,1.8477,1.1086,0.9790,4.7024,0.8245,growth,0.3001,earnings,cyclical_median,capital,,,,0.2500,,tier,,,,0.1000,0.0300,0.0788,2.8547,2.5692,3.1402,0.20,2.2838,7.05,,0.8715,0.0000,1.2911,4.4196,51,hist12/cv12/term5/path10/legs12,3.3757,0.3393,0.0000,416760061,2003-10-31,shares_ref|shares_backfill,1.000,1.00,0.000,1.5091,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,-22464093.9200,98479108.0000,120943201.9200,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2003-12-31,2004-04-30,2004-04-30,ok,,0.8230,0.2258,weightavg_ttm,3.9350,1.1321,0.2877,0.1152,up,0.163896,lift2(孰高),,5,1.0000,0.5333,n/a,,,3.2381,,,0.5609,0.0827,0.3035,0.7666,0.0815,0.0423,0.0738,3.8576,2.2342,1.2942,7.5798,1.2822,growth,0.3037,earnings,cyclical_median,capital,,0.6358,,0.2326,,tier,,,,0.1000,0.0300,0.0827,3.7222,3.3500,4.0944,0.20,2.9777,6.64,4.52,0.8708,0.0000,1.1211,6.8055,51,hist12/cv12/term5/path10/legs12,3.9350,0.0000,0.0000,381469955,2004-04-30,annual_row|shares_backfill,1.000,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,2702109.4700,-111123613.0000,-113825722.4700,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2004-03-31,2004-04-30,2004-04-30,ok,,,,,4.1880,0.6865,0.1639,0.1152,up,0.163896,normalized(无TTM),,5,1.0000,0.5333,n/a,,,3.4461,,,0.5971,0.0827,0.3035,0.7666,0.0815,0.0423,0.0738,4.1073,2.3783,1.3777,8.0687,1.3649,growth,0.3037,earnings,cyclical_median,capital,,,,0.2326,,tier,,,,0.1000,0.0300,0.0827,3.9615,3.5653,4.3576,0.20,3.1692,6.63,,0.8708,0.0000,1.1926,7.2437,51,hist12/cv12/term5/path10/legs12,4.1889,-0.0009,0.0000,381469955,2004-04-30,shares_ref|shares_backfill,1.000,1.00,0.000,1.1226,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,2702109.4700,-111123613.0000,-113825722.4700,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2004-06-30,2004-08-31,2004-08-31,ok,,,,,3.1160,0.5106,0.1639,0.1152,up,0.163896,normalized(无TTM),,5,1.0000,0.5333,n/a,,,2.5642,,,0.4441,0.0827,0.3035,0.7666,0.0815,0.0423,0.0738,3.0537,1.7689,1.0247,6.0012,1.0151,growth,0.3037,earnings,cyclical_median,capital,,0.9191,,0.2326,,tier,,,,0.1000,0.0300,0.0827,2.9475,2.6528,3.2423,0.20,2.3580,6.64,,0.8708,0.0000,0.8882,5.3887,51,hist12/cv12/term5/path10/legs12,3.1155,0.0005,0.0000,495910941,2004-08-31,shares_ref|shares_backfill,1.000,1.00,0.000,1.3194,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,2702109.4700,-111123613.0000,-113825722.4700,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2004-09-30,2004-10-31,2004-10-31,ok,,,,,3.4300,0.5621,0.1639,0.1152,up,0.163896,normalized(无TTM),,5,1.0000,0.5333,n/a,,,2.8225,,,0.4890,0.0827,0.3035,0.7666,0.0815,0.0423,0.0738,3.3624,1.9474,1.1281,6.6069,1.1176,growth,0.3037,earnings,cyclical_median,capital,,,,0.2326,,tier,,,,0.1000,0.0300,0.0827,3.2445,2.9201,3.5690,0.20,2.5956,6.64,,0.8708,0.0000,0.9773,5.9321,51,hist12/cv12/term5/path10/legs12,3.4300,0.0000,0.0000,495910941,2004-10-31,shares_ref|shares_backfill,1.000,1.00,0.000,1.5095,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,2702109.4700,-111123613.0000,-113825722.4700,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2004-12-31,2005-04-30,2005-04-30,ok,,1.1950,0.3226,weightavg_ttm,3.7340,1.5458,0.4140,0.1522,up,0.231208,lift2(孰高),,5,1.0000,0.6606,raw,,,5.8848,,,0.8983,0.1545,0.4302,0.6217,0.0798,0.0353,0.0557,6.2581,2.1111,1.4127,13.7478,2.0414,growth,0.3564,earnings,cyclical_median,capital,,0.8340,,0.2487,,tier,,,,0.1000,0.0300,0.0998,7.4896,6.7407,8.2386,0.20,5.9917,8.34,6.27,0.9397,0.0000,1.7363,20.7226,51,hist12/cv12/term5/path10/legs12,3.7340,0.0000,0.0000,495990679,2005-04-30,annual_row|shares_backfill,1.000,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,2000-12-31,2004-12-31,81355973.0000,-214139265.0000,-295495238.0000,0.0000,0.0000,0,,,0.0000,0.0000
000022,深赤湾A,L2,2005-03-31,2005-04-30,2005-04-30,ok,,,,,4.0890,0.9536,0.2312,0.1522,up,0.231208,normalized(无TTM),,5,1.0000,0.6606,raw,,,6.4429,,,0.9831,0.1545,0.4302,0.6217,0.0798,0.0353,0.0557,6.8468,2.3105,1.5461,15.0462,2.2342,growth,0.3564,earnings,cyclical_median,capital,,,,0.2487,,tier,,,,0.1000,0.0300,0.0998,8.1993,7.3794,9.0193,0.20,6.5595,8.34,,0.9397,0.0000,1.9026,22.6820,51,hist12/cv12/term5/path10/legs12,4.0866,0.0024,0.0000,495990679,2005-04-30,shares_ref|shares_backfill,1.000,1.00,0.000,1.1458,1.0000,0.000000,,off,0,0,,,,,operating,2000-12-31,2004-12-31,81355973.0000,-214139265.0000,-295495238.0000,0.0000,0.0000,0,,,0.0000,0.0000
