security_code,date,close,band_report_date,band_available_at,split_factor,cash_adjustment,intrinsic_value,band_low,band_high,valuation_ratio,upside_to_low,valuation_label,ev_ps,pv_equity,minority_claim_event
000022,2002-04-29,13.6200,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.6056,-0.8046,需更乐观假设才支撑,5.7275,4.6056,
000022,2002-04-30,13.5200,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.5718,-0.8031,需更乐观假设才支撑,5.7275,4.5718,
000022,2002-05-08,13.4000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.5313,-0.8014,需更乐观假设才支撑,5.7275,4.5313,
000022,2002-05-09,13.5000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.5651,-0.8029,需更乐观假设才支撑,5.7275,4.5651,
000022,2002-05-13,13.1300,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.4400,-0.7973,需更乐观假设才支撑,5.7275,4.4400,
000022,2002-05-14,13.0900,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.4264,-0.7967,需更乐观假设才支撑,5.7275,4.4264,
000022,2002-05-15,12.9100,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.3656,-0.7938,需更乐观假设才支撑,5.7275,4.3656,
000022,2002-05-16,12.4800,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2202,-0.7867,需更乐观假设才支撑,5.7275,4.2202,
000022,2002-05-17,12.6400,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2743,-0.7894,需更乐观假设才支撑,5.7275,4.2743,
000022,2002-05-20,12.2900,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.1559,-0.7834,需更乐观假设才支撑,5.7275,4.1559,
000022,2002-05-21,12.7500,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.3115,-0.7913,需更乐观假设才支撑,5.7275,4.3115,
000022,2002-05-22,12.4700,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2168,-0.7866,需更乐观假设才支撑,5.7275,4.2168,
000022,2002-05-23,12.7100,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2979,-0.7906,需更乐观假设才支撑,5.7275,4.2979,
000022,2002-05-24,12.4100,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.1965,-0.7855,需更乐观假设才支撑,5.7275,4.1965,
000022,2002-05-27,12.4500,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2100,-0.7862,需更乐观假设才支撑,5.7275,4.2100,
000022,2002-05-28,12.5100,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.2303,-0.7872,需更乐观假设才支撑,5.7275,4.2303,
000022,2002-05-29,12.1500,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.1086,-0.7809,需更乐观假设才支撑,5.7275,4.1086,
000022,2002-05-30,12.0000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0578,-0.7782,需更乐观假设才支撑,5.7275,4.0578,
000022,2002-05-31,11.8000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9902,-0.7744,需更乐观假设才支撑,5.7275,3.9902,
000022,2002-06-03,11.4000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.8549,-0.7665,需更乐观假设才支撑,5.7275,3.8549,
000022,2002-06-04,11.5900,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9192,-0.7704,需更乐观假设才支撑,5.7275,3.9192,
000022,2002-06-05,11.1700,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.7772,-0.7617,需更乐观假设才支撑,5.7275,3.7772,
000022,2002-06-06,11.8900,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0206,-0.7762,需更乐观假设才支撑,5.7275,4.0206,
000022,2002-06-07,11.9400,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0376,-0.7771,需更乐观假设才支撑,5.7275,4.0376,
000022,2002-06-10,11.8000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9902,-0.7744,需更乐观假设才支撑,5.7275,3.9902,
000022,2002-06-11,11.9400,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0376,-0.7771,需更乐观假设才支撑,5.7275,4.0376,
000022,2002-06-12,11.9000,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0240,-0.7763,需更乐观假设才支撑,5.7275,4.0240,
000022,2002-06-13,11.6500,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9395,-0.7715,需更乐观假设才支撑,5.7275,3.9395,
000022,2002-06-14,11.5800,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9158,-0.7702,需更乐观假设才支撑,5.7275,3.9158,
000022,2002-06-17,11.7100,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,3.9598,-0.7727,需更乐观假设才支撑,5.7275,3.9598,
000022,2002-06-18,12.0300,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0680,-0.7788,需更乐观假设才支撑,5.7275,4.0680,
000022,2002-06-19,11.8500,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0071,-0.7754,需更乐观假设才支撑,5.7275,4.0071,
000022,2002-06-20,12.0200,2002-03-31,2002-04-30,1.000000,0.0000,2.9572,2.6615,3.2530,4.0646,-0.7786,需更乐观假设才支撑,5.7275,4.0646,
