策略,期末资产,总收益,年化,年化波动,最大回撤,回撤区间,Calmar,Sharpe,平均仓位,周期数,胜率,盈亏比,平均持有天数,买入笔数,卖出笔数,年均换手,基准年化
valuation_x0.1,1056721899.4888465,351.2406331629488,0.2724339935591462,0.2917515915221678,0.6432995291014489,2008-01-18~2008-11-04,0.4234947815672707,0.8220487486289698,0.9210803853202826,70,0.9428571428571428,45.418630850050086,1112.8857142857144,8363,6433,0.2668937472950647,7.55%（同期超额 +19.70%）
valuation_x0.25,1332618984.1856668,443.20632806188894,0.28461893276776395,0.283560837915835,0.6144504718999649,2008-01-18~2008-11-04,0.46320890907233464,0.8887650769487747,0.9328486208105072,74,0.8918918918918919,47.832873954705896,967.2702702702703,3924,2999,0.26627023008354067,7.55%（同期超额 +20.91%）
valuation_x0.5,448858068.5438466,148.6193561812822,0.22845138947305,0.30590059249413126,0.6944822878090186,2008-01-18~2008-11-04,0.3289520747804496,0.6402453327676035,0.9449089881867532,57,0.8771929824561403,18.671792465777465,999.8771929824561,1973,1516,0.29713757911612115,7.55%（同期超额 +15.30%）
valuation_x1,353006821.021391,116.66894034046366,0.21638711667063992,0.3339320748671813,0.6732500217690236,2008-01-18~2008-11-04,0.32140677263115974,0.5503728682125006,0.9513883494862573,47,0.8936170212765957,8.214301267280621,1067.3829787234042,1098,800,0.3250579140977916,7.55%（同期超额 +14.09%）
valuation_x2,225216370.73387197,74.07212357795733,0.19413337780888384,0.3343967532162333,0.6736,2008-03-06~2008-11-04,0.2882027580298157,0.48305916076461586,0.9532919785991878,37,0.8378378378378378,9.472528535204406,1138.4054054054054,619,422,0.39715999073323344,7.55%（同期超额 +11.87%）
valuation_x5,300839200.8052441,99.27973360174803,0.2084218174642669,0.3662828302440664,0.6736,2008-03-06~2008-11-04,0.30941481215003996,0.48001664317509274,0.9542292236096198,37,0.8378378378378378,9.149776627949949,1051.7297297297298,329,199,0.42792735179604496,7.55%（同期超额 +13.29%）
trend_x0.1,465806653.90414304,154.26888463471434,0.23032343503219277,0.21085631617720033,0.48137058378714936,2010-11-10~2012-11-28,0.4784742624282092,0.9377166203937246,0.727881831140972,473,0.23044397463002114,16.70586990122541,150.4016913319239,473,8162,2.537410526776643,7.55%（同期超额 +15.49%）
trend_x0.25,386977046.04019386,127.99234868006462,0.22098734909568618,0.20155370487321791,0.4552735701351648,2010-11-10~2012-11-28,0.48539463652607356,0.9346758789492284,0.7080768875899848,526,0.23574144486692014,15.182004526658472,130.81178707224333,526,4253,2.6837137143581216,7.55%（同期超额 +14.55%）
trend_x0.5,384444956.7627053,127.14831892090177,0.22065808251954455,0.2015226407079049,0.46477191446220834,2010-11-10~2012-11-28,0.47476638680904365,0.9331860629708887,0.684746592279292,587,0.23339011925042588,14.061910102291934,114.33560477001704,587,2649,2.920651812219878,7.55%（同期超额 +14.52%）
trend_x1,564686942.1336519,187.22898071121728,0.24009236397626754,0.20121752613123461,0.4604695427361395,2010-11-10~2012-11-28,0.5214076973465462,1.0311845351040774,0.6878084703241203,587,0.24872231686541738,12.586689413493817,113.33901192504258,587,1651,3.283372374194571,7.55%（同期超额 +16.46%）
trend_x2,441925821.4922861,146.30860716409535,0.2276660886240207,0.20110424549718897,0.4532473652307103,2010-11-10~2012-11-28,0.5022998611544823,0.9699751753321861,0.6774460487272922,611,0.24058919803600654,12.08727087485578,107.36006546644845,611,1136,3.370332494963897,7.55%（同期超额 +15.22%）
trend_x5,437810381.54290855,144.93679384763618,0.22719427523376545,0.2020709485251222,0.4603197825585038,2010-11-08~2012-11-28,0.49355748729936555,0.9629999453965791,0.6769267564145217,640,0.2359375,12.501732901409248,100.571875,640,817,3.534922701952512,7.55%（同期超额 +15.17%）
