group,arm,metric,median,paired_delta_median,positive_starts,starts
full,BASE,年化,0.45655756827395966,0.0,0,14
full,BASE,滚动5年年化中位,0.5120379561159653,0.0,0,14
full,BASE,滚动5年年化P25,0.3839423654490838,0.0,0,14
full,BASE,互不重叠5年块中位,0.6147620892310237,0.0,0,14
full,BASE,逐年收益中位,0.3872647032409982,0.0,0,14
full,BASE,逐年最差,-0.2715508503888037,0.0,0,14
full,BASE,最大回撤,0.6915421183197383,0.0,0,14
full,BASE,滚动5年回撤中位,0.46420338775730896,0.0,0,14
full,BASE,Sharpe,0.9556917169411325,0.0,0,14
full,BASE,Calmar,0.5999784210379602,0.0,0,14
full,BASE,平均仓位,1.646187216629815,0.0,0,14
full,BASE,持仓数中位,6.0,0.0,0,14
full,BASE,年均换手,7.014155393373942,0.0,0,14
full,BASE,单票权重中位,0.6503445967019137,0.0,0,14
full,BASE,前三权重中位,1.452068374475039,0.0,0,14
full,PC20SEP08,年化,0.35289752917557315,-0.08888237899487561,0,14
full,PC20SEP08,滚动5年年化中位,0.3212153853778543,-0.1841518903116951,0,14
full,PC20SEP08,滚动5年年化P25,0.2666536431781622,-0.1310393353862026,3,14
full,PC20SEP08,互不重叠5年块中位,0.4745452945231015,-0.15165380272780293,1,14
full,PC20SEP08,逐年收益中位,0.38600882912172857,-0.08215941359635992,2,14
full,PC20SEP08,逐年最差,-0.15053306286999873,0.0750223589925898,13,14
full,PC20SEP08,最大回撤,0.6814142968749118,-0.02148420188907596,3,14
full,PC20SEP08,滚动5年回撤中位,0.3810763484665177,-0.08059869556718352,0,14
full,PC20SEP08,Sharpe,0.9453125182541009,0.02501005721328703,8,14
full,PC20SEP08,Calmar,0.5230627913222354,-0.05047088358890961,3,14
full,PC20SEP08,平均仓位,1.5065714144595508,-0.15474262579142095,0,14
full,PC20SEP08,持仓数中位,10.5,4.0,14,14
full,PC20SEP08,年均换手,7.289280291004593,0.17206609959388564,9,14
full,PC20SEP08,单票权重中位,0.2417248395000059,-0.40897248045276957,0,14
full,PC20SEP08,前三权重中位,0.6762214494444461,-0.7778486278595353,0,14
full,PC25SEP08,年化,0.3993216990418913,-0.03996993182067665,0,14
full,PC25SEP08,滚动5年年化中位,0.3584223073999844,-0.14755541497989455,0,14
full,PC25SEP08,滚动5年年化P25,0.2952588817861963,-0.09656468488350756,3,14
full,PC25SEP08,互不重叠5年块中位,0.5265268884404773,-0.07403819317014337,1,14
full,PC25SEP08,逐年收益中位,0.3952002612317037,-0.0567826183282748,5,14
full,PC25SEP08,逐年最差,-0.16878463709472524,0.09964258061826181,11,14
full,PC25SEP08,最大回撤,0.6955910717483335,-0.014052086921695739,6,14
full,PC25SEP08,滚动5年回撤中位,0.3986890004100509,-0.08507719307459022,1,14
full,PC25SEP08,Sharpe,0.9707751728003569,0.04326581110495248,12,14
full,PC25SEP08,Calmar,0.5576134066929876,-0.0341062806178391,4,14
full,PC25SEP08,平均仓位,1.5434197341630562,-0.1023905396106467,0,14
full,PC25SEP08,持仓数中位,9.0,3.0,14,14
full,PC25SEP08,年均换手,7.191316154263234,0.14336103660474775,8,14
full,PC25SEP08,单票权重中位,0.2910935042960825,-0.35735872209307706,0,14
full,PC25SEP08,前三权重中位,0.8253785765333079,-0.6198676022538884,0,14
full,PC30SEP08,年化,0.4030245650790215,-0.046669834673008115,1,14
full,PC30SEP08,滚动5年年化中位,0.3886656971936008,-0.12337225892236447,0,14
full,PC30SEP08,滚动5年年化P25,0.2981133155338276,-0.10182155992275543,3,14
full,PC30SEP08,互不重叠5年块中位,0.5552853979456541,-0.062178232062854055,1,14
full,PC30SEP08,逐年收益中位,0.38747943111083827,-0.06069529320311301,4,14
full,PC30SEP08,逐年最差,-0.22353674474995117,0.011206695968772551,8,14
full,PC30SEP08,最大回撤,0.7053173897383818,0.00023915194996387834,7,14
full,PC30SEP08,滚动5年回撤中位,0.4401138210172886,-0.027709699701858326,1,14
full,PC30SEP08,Sharpe,0.9494217637303884,0.01133563730336451,11,14
full,PC30SEP08,Calmar,0.5316294481225834,-0.029932517698778666,5,14
full,PC30SEP08,平均仓位,1.5873428159527019,-0.06099458568346794,0,14
full,PC30SEP08,持仓数中位,9.0,2.0,14,14
full,PC30SEP08,年均换手,6.707935750467495,-0.2885249824612903,4,14
full,PC30SEP08,单票权重中位,0.3427996953598299,-0.3060379502079599,0,14
full,PC30SEP08,前三权重中位,0.9695117187118203,-0.48279006281309367,0,14
A,BASE,年化,0.45401450139999744,0.0,0,14
A,BASE,滚动5年年化中位,0.43955930349153793,0.0,0,14
A,BASE,滚动5年年化P25,0.35646122698970206,0.0,0,14
A,BASE,互不重叠5年块中位,0.6011184228786703,0.0,0,14
A,BASE,逐年收益中位,0.4359909396571388,0.0,0,14
A,BASE,逐年最差,-0.22021853154333748,0.0,0,14
A,BASE,最大回撤,0.6582000242328675,0.0,0,14
A,BASE,滚动5年回撤中位,0.5449802849042681,0.0,0,14
A,BASE,Sharpe,1.0370962320141566,0.0,0,14
A,BASE,Calmar,0.6747463985677112,0.0,0,14
A,BASE,平均仓位,1.5835488218897908,0.0,0,14
A,BASE,持仓数中位,7.0,0.0,0,14
A,BASE,年均换手,5.973390000278474,0.0,0,14
A,BASE,单票权重中位,0.6137338061577555,0.0,0,14
A,BASE,前三权重中位,1.3427350921362589,0.0,0,14
A,PC20SEP08,年化,0.314447046157169,-0.13290660297734835,0,14
A,PC20SEP08,滚动5年年化中位,0.27508755170154875,-0.1532680567220649,0,14
A,PC20SEP08,滚动5年年化P25,0.1857521254535447,-0.16495077493989618,0,14
A,PC20SEP08,互不重叠5年块中位,0.382994520302908,-0.21270415582955465,0,14
A,PC20SEP08,逐年收益中位,0.2005582357223077,-0.24138328121155694,0,14
A,PC20SEP08,逐年最差,-0.06902175061878735,0.1267460084421928,14,14
A,PC20SEP08,最大回撤,0.648126576621171,-0.07543496367997826,3,14
A,PC20SEP08,滚动5年回撤中位,0.36500122461298573,-0.16531721867537347,0,14
A,PC20SEP08,Sharpe,0.9331985464003766,-0.11928724185330636,0,14
A,PC20SEP08,Calmar,0.5102561030014997,-0.14428316031891944,1,14
A,PC20SEP08,平均仓位,1.4884724877959061,-0.10542042477631963,0,14
A,PC20SEP08,持仓数中位,10.0,3.5,14,14
A,PC20SEP08,年均换手,6.776372479285218,0.7626380637488177,13,14
A,PC20SEP08,单票权重中位,0.23546922711070262,-0.3784950945876593,0,14
A,PC20SEP08,前三权重中位,0.664790167768267,-0.676628345509589,0,14
A,PC25SEP08,年化,0.3468091176959234,-0.10915231999976338,0,14
A,PC25SEP08,滚动5年年化中位,0.27292719420611555,-0.15124915834013342,0,14
A,PC25SEP08,滚动5年年化P25,0.19450798146609893,-0.1558176116421507,0,14
A,PC25SEP08,互不重叠5年块中位,0.419564419831283,-0.18476203258116686,0,14
A,PC25SEP08,逐年收益中位,0.19012461098493416,-0.23462629455704825,0,14
A,PC25SEP08,逐年最差,-0.12986254313040935,0.07478245565144115,13,14
A,PC25SEP08,最大回撤,0.6524979896381348,-0.04064586400056547,3,14
A,PC25SEP08,滚动5年回撤中位,0.4108825886829624,-0.12628440734998891,0,14
A,PC25SEP08,Sharpe,0.9260427113104828,-0.08804818129513448,0,14
