group,arm,start,cagr,baseline_cagr,delta_cagr,roll5,delta_roll5
full,BASE,20091101,0.31367085096878133,0.31367085096878133,0.0,0.3544095416924453,0.0
full,BASE,20100501,0.38489175716636725,0.38489175716636725,0.0,0.43631861480444867,0.0
full,BASE,20101101,0.323746530123739,0.323746530123739,0.0,0.3859782705524575,0.0
full,BASE,20110501,0.3153620966159747,0.3153620966159747,0.0,0.3915129252096141,0.0
full,BASE,20111101,0.35929213628297796,0.35929213628297796,0.0,0.41101873589535254,0.0
full,BASE,20120501,0.3631263206426567,0.3631263206426567,0.0,0.42024317160378377,0.0
full,BASE,20121101,0.46003958605696127,0.46003958605696127,0.0,0.5617278124450173,0.0
full,BASE,20130501,0.47077227598313964,0.47077227598313964,0.0,0.5419085641395134,0.0
full,BASE,20131101,0.45307555049095805,0.45307555049095805,0.0,0.5071997026525257,0.0
full,BASE,20140501,0.4601510201617345,0.4601510201617345,0.0,0.5168762095794048,0.0
full,BASE,20141101,0.4791761673894679,0.4791761673894679,0.0,0.6244746201222773,0.0
full,BASE,20150501,0.4807762757549656,0.4807762757549656,0.0,0.6312265110072364,0.0
full,BASE,20151101,0.6167599051697947,0.6167599051697947,0.0,0.6608624679166513,0.0
full,BASE,20160501,0.6501413301128931,0.6501413301128931,0.0,0.639114588903108,0.0
full,PC20SEP08,20091101,0.27050292521972996,0.31367085096878133,-0.04316792574905137,0.29767309422594357,-0.05673644746650175
full,PC20SEP08,20100501,0.27821496174435656,0.38489175716636725,-0.1066767954220107,0.29856526982379816,-0.1377533449806505
full,PC20SEP08,20101101,0.2950463356077666,0.323746530123739,-0.028700194515972388,0.31589431305607474,-0.07008395749638274
full,PC20SEP08,20110501,0.3090584451304754,0.3153620966159747,-0.006303651485499273,0.3205504433554336,-0.07096248185418053
full,PC20SEP08,20111101,0.32937463271614376,0.35929213628297796,-0.029917503566834203,0.33070429054805106,-0.08031444534730148
full,PC20SEP08,20120501,0.33073157212374715,0.3631263206426567,-0.032394748518909555,0.3167143436444839,-0.10352882795929985
full,PC20SEP08,20121101,0.35077633425521326,0.46003958605696127,-0.10926325180174801,0.30361684546797374,-0.2581109669770436
full,PC20SEP08,20130501,0.35501872409593305,0.47077227598313964,-0.1157535518872066,0.32128128699072245,-0.22062727714879093
full,PC20SEP08,20131101,0.3692862962758632,0.45307555049095805,-0.08378925421509487,0.3211494837649862,-0.18605021888753948
full,PC20SEP08,20140501,0.40709363787748987,0.4601510201617345,-0.053057382284244614,0.3346226478435541,-0.18225356173585072
full,PC20SEP08,20141101,0.38520066361481153,0.4791761673894679,-0.09397550377465635,0.3313341530097349,-0.2931404671125424
full,PC20SEP08,20150501,0.36334724653435857,0.4807762757549656,-0.11742902922060705,0.33796459103046317,-0.2932619199767732
full,PC20SEP08,20151101,0.39641804550926785,0.6167599051697947,-0.22034185966052688,0.34417188802908427,-0.316690579887567
full,PC20SEP08,20160501,0.4824638355869273,0.6501413301128931,-0.1676774945259658,0.36034390194432664,-0.2787706869587814
full,PC25SEP08,20091101,0.2817908144717278,0.31367085096878133,-0.03188003649705351,0.297369468083702,-0.0570400736087433
full,PC25SEP08,20100501,0.28797471886792825,0.38489175716636725,-0.096917038298439,0.29390028744069974,-0.14241832736374893
