market,security_code,security_name,period,notice_date,report_currency,revenue,operating_income,pretax,income_tax,interest_expense,total_equity,parent_equity,minority_equity,interest_debt,cash_like,capex,dep_amort,cfo,shares,buybacks,dividends_paid,net_income,tci,net_income_ytd,dividends_paid_ytd,period_type,report_label,evidence_url,source
US,ORCL,甲骨文,2009-05-31,2010-07-01,USD,23252000000.0,8321000000.0,7834000000.0,2241000000.0,630000000.0,25445000000.0,25090000000.0,355000000.0,9237000000.0,8995000000.0,0.0,1976000000.0,8255000000.0,5130000000.0,3972000000.0,250000000.0,5677000000.0,0.0,,,annual,年报（FY2009，截至 2009-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2010-05-31,2010-07-01,USD,26820000000.0,9062000000.0,8243000000.0,2108000000.0,754000000.0,31199000000.0,30798000000.0,401000000.0,11510000000.0,9914000000.0,230000000.0,2271000000.0,8681000000.0,5073000000.0,992000000.0,1004000000.0,6230000000.0,0.0,,,annual,年报（FY2010，截至 2010-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2011-05-31,2011-06-28,USD,35622000000.0,12033000000.0,11411000000.0,2864000000.0,808000000.0,40245000000.0,39776000000.0,469000000.0,15922000000.0,16163000000.0,450000000.0,2796000000.0,11214000000.0,5128000000.0,1160000000.0,1061000000.0,8547000000.0,,,,annual,年报（FY2011，截至 2011-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2012-05-31,2012-06-26,USD,37121000000.0,13706000000.0,12962000000.0,2981000000.0,766000000.0,44087000000.0,43688000000.0,399000000.0,16474000000.0,14955000000.0,648000000.0,2916000000.0,13743000000.0,5095000000.0,5856000000.0,1205000000.0,9981000000.0,,,,annual,年报（FY2012，截至 2012-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2013-05-31,2013-06-26,USD,37180000000.0,14684000000.0,13898000000.0,2973000000.0,797000000.0,45145000000.0,44648000000.0,497000000.0,18494000000.0,14613000000.0,650000000.0,2931000000.0,14224000000.0,4844000000.0,11021000000.0,1433000000.0,10925000000.0,,,,annual,年报（FY2013，截至 2013-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2014-05-31,2014-06-26,USD,38275000000.0,14759000000.0,13704000000.0,2749000000.0,914000000.0,47447000000.0,46878000000.0,569000000.0,24175000000.0,17769000000.0,580000000.0,2908000000.0,14921000000.0,4604000000.0,9813000000.0,2178000000.0,10955000000.0,,,,annual,年报（FY2014，截至 2014-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2015-05-31,2015-06-25,USD,38226000000.0,13871000000.0,12834000000.0,2896000000.0,1143000000.0,49098000000.0,48663000000.0,435000000.0,41958000000.0,21716000000.0,1391000000.0,2861000000.0,14336000000.0,4503000000.0,8087000000.0,2255000000.0,9938000000.0,,,,annual,年报（FY2015，截至 2015-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2016-05-31,2016-06-22,USD,37047000000.0,12604000000.0,11442000000.0,2541000000.0,1467000000.0,47790000000.0,47289000000.0,501000000.0,43855000000.0,20152000000.0,1189000000.0,2509000000.0,13685000000.0,4305000000.0,10440000000.0,2541000000.0,8901000000.0,,,,annual,年报（FY2016，截至 2016-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2017-05-31,2017-06-27,USD,37792000000.0,12710000000.0,11517000000.0,2182000000.0,1798000000.0,54246000000.0,53860000000.0,386000000.0,57909000000.0,21784000000.0,2021000000.0,2451000000.0,14126000000.0,4217000000.0,3561000000.0,2631000000.0,9335000000.0,9451000000.0,,,annual,年报（FY2017，截至 2017-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
US,ORCL,甲骨文,2018-05-31,2018-06-22,USD,39383000000.0,13679000000.0,12891000000.0,9066000000.0,2025000000.0,46224000000.0,45726000000.0,498000000.0,60619000000.0,67261000000.0,1736000000.0,2785000000.0,15386000000.0,4238000000.0,11347000000.0,3140000000.0,3825000000.0,2758000000.0,,,annual,年报（FY2018，截至 2018-05-31）,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json,Oracle SEC companyfacts reconciled: pretax=domestic+foreign (FY2023-26 also checked net income+tax); debt=noncurrent notes+current debt+disclosed finance leases; D&A=depreciation+intangible amortization
